Broaders Of THIST Concept;THIST Concept's PrefLabel;THIST Concept  URI;EUROVOC Concept URI;EUROVOC Concept's PrefLabel;Broaders Of  EUROVOC Concept;"E =ExactMAtch ; C= CloseMatch ; B= broaderMatch ; N= NarrowMAtch   NA= in corrispondenza di una della righe dei mapping che secondo voi non sono da accettare;  (definizioni  relazioni di mapping sono rintracciabili su http://www.w3.org/TR/skos-reference/#mapping)"
Latin America| Central America| Panama City Panama| Panama;Panama;http://linkeddata.ge.imati.cnr.it/resource/ThIST/panama;http://eurovoc.europa.eu/2224;Panama;LAES countries| LAES countries| LAES countries| LAES countries;E
Latin America| Central America| Panama City Panama| Panama;Panama City Panama;http://linkeddata.ge.imati.cnr.it/resource/ThIST/panama;http://eurovoc.europa.eu/2224;Panama;LAES countries| LAES countries| LAES countries| LAES countries;E
Latin America| Central America| Panama City Panama| Panama;Panama;http://linkeddata.ge.imati.cnr.it/resource/ThIST/panama;http://eurovoc.europa.eu/2224;Panama;OAS countries| OAS countries| OAS countries| OAS countries;E
Latin America| Central America| Panama City Panama| Panama;Panama City Panama;http://linkeddata.ge.imati.cnr.it/resource/ThIST/panama;http://eurovoc.europa.eu/2224;Panama;OAS countries| OAS countries| OAS countries| OAS countries;E
Latin America| South America;Chile;http://linkeddata.ge.imati.cnr.it/resource/ThIST/chile;http://eurovoc.europa.eu/5965;Chile;ALADI countries| ALADI countries;E
Latin America| South America;Chile;http://linkeddata.ge.imati.cnr.it/resource/ThIST/chile;http://eurovoc.europa.eu/5965;Chile;APEC countries| APEC countries;E
Latin America| South America;Chile;http://linkeddata.ge.imati.cnr.it/resource/ThIST/chile;http://eurovoc.europa.eu/5965;Chile;LAES countries| LAES countries;E
Latin America| South America;Chile;http://linkeddata.ge.imati.cnr.it/resource/ThIST/chile;http://eurovoc.europa.eu/5965;Chile;OAS countries| OAS countries;E
Latin America| South America;Chile;http://linkeddata.ge.imati.cnr.it/resource/ThIST/chile;http://eurovoc.europa.eu/5965;Chile;South America| South America;E
Latin America| South America;Colombia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/colombia;http://eurovoc.europa.eu/6036;Colombia;ALADI countries| ALADI countries;E
Latin America| South America;Colombia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/colombia;http://eurovoc.europa.eu/6036;Colombia;Andean Community countries| Andean Community countries;E
Latin America| South America;Colombia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/colombia;http://eurovoc.europa.eu/6036;Colombia;LAES countries| LAES countries;E
Latin America| South America;Colombia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/colombia;http://eurovoc.europa.eu/6036;Colombia;OAS countries| OAS countries;E
Latin America| South America;Colombia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/colombia;http://eurovoc.europa.eu/6036;Colombia;South America| South America;E
Latin America| South America;Ecuador;http://linkeddata.ge.imati.cnr.it/resource/ThIST/ecuador;http://eurovoc.europa.eu/841;Ecuador;ALADI countries| ALADI countries;E
Latin America| South America;Ecuador;http://linkeddata.ge.imati.cnr.it/resource/ThIST/ecuador;http://eurovoc.europa.eu/841;Ecuador;Andean Community countries| Andean Community countries;E
Latin America| South America;Ecuador;http://linkeddata.ge.imati.cnr.it/resource/ThIST/ecuador;http://eurovoc.europa.eu/841;Ecuador;LAES countries| LAES countries;E
Latin America| South America;Ecuador;http://linkeddata.ge.imati.cnr.it/resource/ThIST/ecuador;http://eurovoc.europa.eu/841;Ecuador;OAS countries| OAS countries;E
Latin America| South America;Ecuador;http://linkeddata.ge.imati.cnr.it/resource/ThIST/ecuador;http://eurovoc.europa.eu/841;Ecuador;South America| South America;E
Latin America| South America;Paraguay;http://linkeddata.ge.imati.cnr.it/resource/ThIST/paraguay;http://eurovoc.europa.eu/2231;Paraguay;ALADI countries| ALADI countries;E
Latin America| South America;Paraguay;http://linkeddata.ge.imati.cnr.it/resource/ThIST/paraguay;http://eurovoc.europa.eu/2231;Paraguay;LAES countries| LAES countries;E
Latin America| South America;Paraguay;http://linkeddata.ge.imati.cnr.it/resource/ThIST/paraguay;http://eurovoc.europa.eu/2231;Paraguay;Mercosur countries| Mercosur countries;E
Latin America| South America;Paraguay;http://linkeddata.ge.imati.cnr.it/resource/ThIST/paraguay;http://eurovoc.europa.eu/2231;Paraguay;OAS countries| OAS countries;E
Latin America| South America;Paraguay;http://linkeddata.ge.imati.cnr.it/resource/ThIST/paraguay;http://eurovoc.europa.eu/2231;Paraguay;South America| South America;E
Latin America| South America;Uruguay;http://linkeddata.ge.imati.cnr.it/resource/ThIST/uruguay;http://eurovoc.europa.eu/4621;Uruguay;ALADI countries| ALADI countries;E
Latin America| South America;Uruguay;http://linkeddata.ge.imati.cnr.it/resource/ThIST/uruguay;http://eurovoc.europa.eu/4621;Uruguay;LAES countries| LAES countries;E
Latin America| South America;Uruguay;http://linkeddata.ge.imati.cnr.it/resource/ThIST/uruguay;http://eurovoc.europa.eu/4621;Uruguay;Mercosur countries| Mercosur countries;E
Latin America| South America;Uruguay;http://linkeddata.ge.imati.cnr.it/resource/ThIST/uruguay;http://eurovoc.europa.eu/4621;Uruguay;OAS countries| OAS countries;E
Latin America| South America;Uruguay;http://linkeddata.ge.imati.cnr.it/resource/ThIST/uruguay;http://eurovoc.europa.eu/4621;Uruguay;South America| South America;E
Latin America| South America;Venezuela;http://linkeddata.ge.imati.cnr.it/resource/ThIST/venezuela;http://eurovoc.europa.eu/4662;Venezuela;ALADI countries| ALADI countries;E
Latin America| South America;Venezuela;http://linkeddata.ge.imati.cnr.it/resource/ThIST/venezuela;http://eurovoc.europa.eu/4662;Venezuela;LAES countries| LAES countries;E
Latin America| South America;Venezuela;http://linkeddata.ge.imati.cnr.it/resource/ThIST/venezuela;http://eurovoc.europa.eu/4662;Venezuela;Mercosur countries| Mercosur countries;E
Latin America| South America;Venezuela;http://linkeddata.ge.imati.cnr.it/resource/ThIST/venezuela;http://eurovoc.europa.eu/4662;Venezuela;OAS countries| OAS countries;E
Latin America| South America;Venezuela;http://linkeddata.ge.imati.cnr.it/resource/ThIST/venezuela;http://eurovoc.europa.eu/4662;Venezuela;OPEC countries| OPEC countries;E
Latin America| South America;Venezuela;http://linkeddata.ge.imati.cnr.it/resource/ThIST/venezuela;http://eurovoc.europa.eu/4662;Venezuela;South America| South America;E
Latina Italy;;http://linkeddata.ge.imati.cnr.it/resource/ThIST/norma;http://eurovoc.europa.eu/2077;standard;standardisation;C
Latvia;Riga Latvia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/riga;http://eurovoc.europa.eu/7864;Riga;regions of Latvia;E
Lithuania;Vilnius;http://linkeddata.ge.imati.cnr.it/resource/ThIST/vilnius;http://eurovoc.europa.eu/7878;Vilnius county;regions of Lithuania;E
Martinique;Martinique;http://linkeddata.ge.imati.cnr.it/resource/ThIST/fort-de-france;http://eurovoc.europa.eu/1822;Martinique;French West Indies;E
Martinique;Martinique;http://linkeddata.ge.imati.cnr.it/resource/ThIST/fort-de-france;http://eurovoc.europa.eu/1822;Martinique;French overseas department and region;E
Mediterranean region| Europe| Europa Island| Southern Europe;Crete;http://linkeddata.ge.imati.cnr.it/resource/ThIST/isoladicreta;http://eurovoc.europa.eu/305;Crete;regions of Greece| regions of Greece| regions of Greece| regions of Greece;E
Mediterranean region| Europe| Europa Island| Southern Europe;Greek Ionian Islands;http://linkeddata.ge.imati.cnr.it/resource/ThIST/isoleionie;http://eurovoc.europa.eu/1295;Ionian Islands;regions of Greece| regions of Greece| regions of Greece| regions of Greece;E
Mediterranean region| Europe| Europa Island| Southern Europe| Greek Aegean Islands;Dodecanese;http://linkeddata.ge.imati.cnr.it/resource/ThIST/dodecaneso;http://eurovoc.europa.eu/7896;Southern Aegean;Aegean Islands| Aegean Islands| Aegean Islands| Aegean Islands| Aegean Islands;C
Mediterranean region| Europe| Europa Island| Southern Europe| Greek Aegean Islands;Cyclades;http://linkeddata.ge.imati.cnr.it/resource/ThIST/cicladi;http://eurovoc.europa.eu/7896;Southern Aegean;Aegean Islands| Aegean Islands| Aegean Islands| Aegean Islands| Aegean Islands;E
