sBT,sNT,sRT,s,sPrefLabel,sAltLabels
,muskegs| peat bogs,wetlands| marshes| lacustrine features| geomorphology| swamps| paludal environment| fluvial features,http://linkeddata.ge.imati.cnr.it/resource/ThIST/acquitrino,bogs,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/acrididae,,
soils,,FAO-UNESCO soil classification| tropical environment,http://linkeddata.ge.imati.cnr.it/resource/ThIST/acrisol,Acrisols,
Zoantharia| Coelenterata| Invertebrata| Anthozoa,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/actiniaria,Actiniaria,
,,biotopes| paleontology| paleoecology| biologic evolution| ecology,http://linkeddata.ge.imati.cnr.it/resource/ThIST/adattamento,adaptation,
,,processes| chromatography| geochemistry| wettability| sorption| solution| desorption| absorption| clay mineralogy,http://linkeddata.ge.imati.cnr.it/resource/ThIST/adsorbimento,adsorption,
,,soils| water treatment| soil management| soil treatment,http://linkeddata.ge.imati.cnr.it/resource/ThIST/aerazione,aeration,
Llandoverian| Lower Silurian| Silurian| Paleozoic,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/aeroniano,Aeronian,
,,applied geology| environmental geology| land use,http://linkeddata.ge.imati.cnr.it/resource/ThIST/aeroporto,airfields,
,,meteorology| radioactive tracers| convection| turbidity| particulate materials| atmosphere| air-sea interface| ash,http://linkeddata.ge.imati.cnr.it/resource/ThIST/aerosol,aerosols,
Middle East| Asia,Badakhshan Afghanistan| Kabul Afghanistan,Hindu Kush| Turkestan| Pamirs,http://linkeddata.ge.imati.cnr.it/resource/ThIST/afghanistan,Afghanistan,
metals,Hf-177/Hf-176,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/afnio,hafnium,
