sBT,sNT,sRT,s,sPrefLabel,sAltLabels
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/inondazione,,
,micropollution,sewage sludge| thermal pollution| leaking underground storage tanks| sulfuric acid| toxic materials| urban geology| cyanides| water treatment| metals| regulations| surface water| waste disposal| potability| hydrology| heavy metals| urban environment| pollutants| polluted water| soil gases| impurities| geochemistry| background level| remediation| purification| environmental monitoring| radioactive waste| point sources| industrial waste| human ecology| hydrocarbons| acid mine drainage| environmental geology| medical geology| waste disposal sites| sewers| geochemical anomalies| conservation| oil spills| geologic hazards| dilution| decontamination| water management| environmental impact evaluation| land use| waste water| reclamation| near-field| radioactivity| bioremediation| protected well zones| monitoring| nuclear accidents| fallout| sulfur dioxide| far-field| atmosphere| leachate| water| case studies| sludge| trace metals| hazardous waste| contamination| environmental impact| protection| water supply| acid rain| ground water| water wells| aquifer vulnerability| sewage| PCBs,http://linkeddata.ge.imati.cnr.it/resource/ThIST/inquinamento,pollution,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/inquinamentoorganico,,
,,waste disposal| thermal prospecting| pollution,http://linkeddata.ge.imati.cnr.it/resource/ThIST/inquinamentotermico,thermal pollution,
,,cyanides| atrazine| waste disposal| volatile organic compounds| pesticides| herbicides| chlorinated hydrocarbons| hydrocarbons| pollution| dense nonaqueous phase liquids| nonaqueous phase liquids| leachate| PCBs,http://linkeddata.ge.imati.cnr.it/resource/ThIST/inquinante,pollutants,
Arthropoda| Invertebrata| Mandibulata,Palaeodictyopteroida| Lepidopteroida| Dipteri| Coleopteroida| Entotropha| Psocopteroida| Odonata| Heteroptera| Dermapteroida| Raphidiodea| Thysanopteroida| Protorthoptera| Mecopteroida| Plecoptera| Hymenoptera| Ephemeropteroida| Siphonapteroida| Coleoptera| Lepidoptera| Neuropteroida| Orthopteroida| Archostemata| Hymenopteroida| Blattopteroida| Hemipteroida| Odonatopteroida| Ectotropha,eggs,http://linkeddata.ge.imati.cnr.it/resource/ThIST/insecta,Insecta,
Tetrapoda| Chordata| Theria| Mammalia| Vertebrata| Eutheria,Proteutheria| Macroscelida| Scandentia| Anagalida| Dermoptera,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/insectivora,Insectivora,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/insediamentirurali,,
,,programs| theses| stratigraphy| creationism| petrology| college-level education| libraries| popular geology| materials| oceanography| historical geology| academic institutions| geology| textbooks| elementary geology| associations| curricula| Earth sciences| catalogs| museums| glossaries| high school| graduate-level education,http://linkeddata.ge.imati.cnr.it/resource/ThIST/insegnamento,education,
,,education,http://linkeddata.ge.imati.cnr.it/resource/ThIST/insegnamentosuperiore,graduate-level education,
erosion features,chemical weathering,hills| geomorphology| structural controls,http://linkeddata.ge.imati.cnr.it/resource/ThIST/inselberg,inselbergs,
shore features,,bays| lacustrine features| coastal environment| geomorphology| tidal inlets| coastlines| shorelines| fluvial features,http://linkeddata.ge.imati.cnr.it/resource/ThIST/insenatura,inlets,
,,physical weathering| weathering| Milankovitch theory| mechanical weathering,http://linkeddata.ge.imati.cnr.it/resource/ThIST/insolazione,insolation,
,gravity platforms| marine platforms| jetties| submarine installations| groins| breakwaters| piers,footings| marine drilling| applied geology| construction| foundations| explosions| geologic hazards| pipelines| rock mechanics| site exploration| shorelines| feasibility studies| soil mechanics| artificial islands| seismic response| waterways| nuclear facilities,http://linkeddata.ge.imati.cnr.it/resource/ThIST/installazionemarina,marine installations,
,,data processing| expert systems,http://linkeddata.ge.imati.cnr.it/resource/ThIST/intelligenzaartificiale,artificial intelligence,
,,lenses| flysch| biostromes| transgression| regression,http://linkeddata.ge.imati.cnr.it/resource/ThIST/intercalazione,intercalation,
,,oil-water interface| sediment-water interface| oil-gas interface| air-sea interface| rock-water interface| soil-structure interface,http://linkeddata.ge.imati.cnr.it/resource/ThIST/interfaccia,interfaces,
,,meteorology| boundary interactions| interfaces| oceanography| atmosphere| aerosols,http://linkeddata.ge.imati.cnr.it/resource/ThIST/interfacciaaria-mare,air-sea interface,
,,interference patterns| geophysical methods| geochemistry| waves| optical properties,http://linkeddata.ge.imati.cnr.it/resource/ThIST/interferenza,interference,
,,radio interferometry| very long baseline interferometry,http://linkeddata.ge.imati.cnr.it/resource/ThIST/interferometria,interferometry,
,,alluvial plains| Rijeka Croatia| rivers| Po Plain,http://linkeddata.ge.imati.cnr.it/resource/ThIST/interfluvio,interfluves,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/internet,,
,,F layer| Conrad discontinuity| mantle| B layer| solid-earth geophysics| E layer| geodynamics| D layer| G layer| Mohorovicic discontinuity| C layer| Bullard discontinuity| core| seismology| Gutenberg discontinuity,http://linkeddata.ge.imati.cnr.it/resource/ThIST/internodellaterra,interior,
,,evaporites| paleoclimate| Quaternary| extinct lakes,http://linkeddata.ge.imati.cnr.it/resource/ThIST/interpluviale,interpluvial stages,
,,facies analysis| structural setting| paleontologic reconstruction| genesis| reconstruction| theoretical studies| correlation,http://linkeddata.ge.imati.cnr.it/resource/ThIST/interpretazione,interpretation,
,lopoliths| stocks| dikes| plugs| plutons| ring dikes| batholiths| layered intrusions| pipes| laccoliths| breccia pipes| sills| ring complexes| diatremes,foliation| volcanology| crystalline domes| petrology| theralite| emplacement| sole injection| crystallization| heat flow| country rocks| zoning| akmolith| dike swarms| volcanic necks| veins| lineation| roof pendant| magmatism| magmatic differentiation| ring structures| aureoles| igneous rocks| assimilation| metasomatism| hybridization| volcanic domes| fractional crystallization| contamination| magma chambers| hypabyssal rocks| domes| magmas| metamorphism| contact metamorphism| diapirism| metamorphic rocks,http://linkeddata.ge.imati.cnr.it/resource/ThIST/intrusione,intrusions,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/invaso,,
,,collections| museums,http://linkeddata.ge.imati.cnr.it/resource/ThIST/inventario,inventory,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/inversionedellatemperatura,,
,,economics| investment legislation,http://linkeddata.ge.imati.cnr.it/resource/ThIST/investimento,investment,
minerals,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/iodati,iodates,
halogens,I-131| I-129,I/Xe| brines| iodine deposits,http://linkeddata.ge.imati.cnr.it/resource/ThIST/iodio,iodine,
halides,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ioduri,iodides,
,,potassium ion| electrolytes| fluoride ion| bromide ion| bicarbonate ion| ligands| hydroxyl ion| hydrochemistry| calcium ion| geochemistry| secondary ion mass spectroscopy| cations| chloride ion| magnesium ion| fixation| ion exchange| anions| nitrate ion| carbonate ion| cation exchange capacity| ion probe| electrophoresis| phosphate ion| sulfate ion| sodium ion,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ione,ions,
,,atmosphere| solar wind| magnetic field,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ionosfera,ionosphere,
United States of America,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/iowa,,
,,focal mechanism| earthquakes| deep-focus earthquakes| aftershocks| epicenters| shallow-focus earthquakes| elastic waves| intermediate-focus earthquakes| seismic migration| seismology,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ipocentro,focus,
Middle East| Asia,Elburz| Kavir Desert| Teheran Iran,Tigris River| Caspian Sea| Caspian Basin| Zagros,http://linkeddata.ge.imati.cnr.it/resource/ThIST/iran,Iran,
Europe| Europa Island| Western Europe,Dublin Ireland| Londonderry Northern Ireland,Dalradian| Caledonides| Northern Ireland,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ireland,Ireland,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/iridaceae,,
metals| platinum group,,iridium ores,http://linkeddata.ge.imati.cnr.it/resource/ThIST/iridio,iridium,
,,thermoluminescence| X-ray analysis| techniques,http://linkeddata.ge.imati.cnr.it/resource/ThIST/irradiazione,irradiation,
,,soils| ponds| surface water| canals| water regimes| reinjection wells| underground channels| water| aqueduct| water quality| soil management| soil treatment| waterways| water supply,http://linkeddata.ge.imati.cnr.it/resource/ThIST/irrigazione,irrigation,
Europe| Europa Island| Scandinavia| Western Europe,Vatnajokull| Surtsey| Reykjavic Iceland| Vestmannaeyjar,Arctic region| mid-ocean ridges| volcanic island| Atlantic Ocean,http://linkeddata.ge.imati.cnr.it/resource/ThIST/island,Iceland,
South America| Ecuador,,Pacific Ocean,http://linkeddata.ge.imati.cnr.it/resource/ThIST/islasgalapagos,Galapagos Islands,
,,geomagnetism| aeromagnetic maps| magnetic anomalies| magnetic inclination| magnetic surveys| magnetometers| geophysical surveys| magnetic declination| magnetic field| magnetic survey maps,http://linkeddata.ge.imati.cnr.it/resource/ThIST/isogona,isogons,
,,barrier islands| Fiji| Jan Mayen| Seychelles| Johnston Atoll| atolls| São Tomé and Prìncipe| Pitcairn Islands| New Caledonia| American Samoa| Christmas Island| Europe| Europa Island| island arcs| tombolos| continents| Samoa| Melanesia| Vanuatu| insular shelf| Bassas da India| Juan de Nova Island| Reunion| Kiribati| Saint Helena,http://linkeddata.ge.imati.cnr.it/resource/ThIST/isola,islands,
Tuscany Islands| Europe| Europa Island,,Monte Capanne,http://linkeddata.ge.imati.cnr.it/resource/ThIST/isoladelba,Elba,
,,beaches| bars| shore features| tombolos| islands| coastlines,http://linkeddata.ge.imati.cnr.it/resource/ThIST/isoladibarriera,barrier islands,
Mediterranean region| Europe| Europa Island| Southern Europe| Greece,,Mediterranean Sea| Hellenides,http://linkeddata.ge.imati.cnr.it/resource/ThIST/isoladicreta,Crete,
Mediterranean region| Europe| Europa Island| Dodecanese| Southern Europe| Greek Aegean Islands,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/isoladirodi,Rhodes,
Europe| Europa Island,,Casamicciola earthquake 1883| Bay of Naples,http://linkeddata.ge.imati.cnr.it/resource/ThIST/isoladischia,Ischia,
,,radiation,http://linkeddata.ge.imati.cnr.it/resource/ThIST/isolamento,isolation,
construction materials,,industrial clays| asbestos deposits| glass materials| materials| mica deposits,http://linkeddata.ge.imati.cnr.it/resource/ThIST/isolante,insulation materials,
,,Pantelleria| volcanology| Iceland| Azores| Azores Portugal| Canary Islands| island arcs| volcanism| Lipari Islands| submarine eruption| Hawaii Islands| Ferdinandea Island| Thera,http://linkeddata.ge.imati.cnr.it/resource/ThIST/isolavulcanica,volcanic island,
Mediterranean region| Spain| Southern Europe,Ibiza Spain| Majorca Spain| Palma Majorca| Formentera Spain| Minorca Spain,Mediterranean Sea,http://linkeddata.ge.imati.cnr.it/resource/ThIST/isolebaleari,Balearic Islands,
Spain| Atlantic Ocean,Lanzarote| Grand Canary,Spain| volcanic island,http://linkeddata.ge.imati.cnr.it/resource/ThIST/isolecanarie,Canary Islands,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/isolefalkland,,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/isolefaroe,,
Mediterranean region| Europe| Europa Island| Southern Europe| Greece,Cephalonia| Zßkinthos,Ionian Sea| Mediterranean Sea,http://linkeddata.ge.imati.cnr.it/resource/ThIST/isoleionie,Greek Ionian Islands,
organic materials| organic acids| amino acids,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/isoleucina,isoleucine,
Iceland| Europe| Europa Island| Western Europe,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/isolevestmannaeyjar,Vestmannaeyjar,
,,paleontology| crystal chemistry,http://linkeddata.ge.imati.cnr.it/resource/ThIST/isomorfismo,isomorphism,
organic materials,,phytane| hydrocarbons,http://linkeddata.ge.imati.cnr.it/resource/ThIST/isoprenoide,isoprenoids,
,,isoseismic maps| epicenters| seismicity maps,http://linkeddata.ge.imati.cnr.it/resource/ThIST/isosista,isoseisms,
,,neotectonics| epeirogeny| sea-level changes| eustacy| vertical displacements| exhumation| geomorphologic effects| isostatic rebound| glaciation| geodesy| geophysical methods| mantle| solid-earth geophysics| continents| geomorphology| glacial rebound| isostatic compensation| Mohorovicic discontinuity| asthenosphere| tectonics| Earth| geophysical surveys| crust| tectonophysics| glacial geology| density| deglaciation,http://linkeddata.ge.imati.cnr.it/resource/ThIST/isostasia,isostasy,
,Kr-81| U-238| U-238/Th-230| Ra-228| Tc-99| I-131| Ar-37| Mg-26/Mg-24| Ar-40/Ar-36| S-34| Pb-207/Pb-206| Pb-208| Hf-177/Hf-176| Pb-204| C-14| Sr-90| Na-22| Sr-87| Co-60| C-13| Th-232| Po-210| Pb-208/Pb-204| Ar-40/Ar-39| Al-26| Ne-20| Fe-55| Nd-144/Nd-143| deuterium| heavy isotopes| Cr-51| O-18/O-16| Li-7| Ne-22/Ne-21| Ru-106| tritium| Pb-208/Pb-206| Zn-65| Xe-132/Xe-129| Be-10| Cl-36| Xe-130/Xe-129| Pu-240/Pu-239| Xe-126| stable isotopes| Ne-21| Xe-132| O-16| Ra-228/Ra-226| Xe-136/Xe-130| Be-10/Be-9| Sr-85| Li-6| Ne-22/Ne-20| D/H| Ra-226| Cl-37/Cl-35| Cr-53/Cr-52| Pb-206/Pb-204| Na-24| Pu-240| Os-187/Os-186| Be-7| Pb-210| Fe-59| U-235| Ne-22| U-234| Pb-206| Mn-53| Ar-39| Kr-85| U-238/U-234| O-17/O-16| Mn-54| Sr-89| Th-230| Th-232/Th-230| O-18| C-13/C-12| Cs-134| Pu-244| Xe-124| Sm-147/Nd-144| U-238/Pb-206| Xe-131| Ar-40| Xe-129| Xe-136/Xe-132| Pa-231| Sr-87/Sr-86| Rn-222| He-4/He-3| He-4| I-129| Cs-137| U-234/Th-230| Th-234| Pu-239| Ar-38| U-238/Pb-204| Zr-95| Th-228| K-40| Pb-207| Sr-86| S-34/S-32| He-3| C-12| Pb-207/Pb-204| Rb-87/Sr-86| radioactive isotopes| Mg-25/Mg-24| light isotope| Am-241| N-15| Kr-84| S-32| U-238/U-235| Fe-57| Ar-38/Ar-36| P-32| Si-32| Ar-36| Al-27/Al-26| Pu-238| N-15/N-14,I/Xe| chemical elements| argon| xenon| overprinting| radioactive tracers| spallation| radioactive series| mineral deposits| krypton| paleoclimatology| metals| cosmogenic elements| Th-230/Ra-226| geochronology| organic materials| isotope ratios| neon| carbon| rubidium| geochemistry| background level| uranium disequilibrium| end product| isotope dilution| radon| absolute age| decay constant| analysis| radium| analytical method| helium| mineral deposits genesis| meteorites| activation analysis| fractionation| radioactivity| potassium| Kr/Kr| hydrogen| fallout| inclusions| noble gases| radioactive decay| standard materials| oxygen| sulfur| lead| Th-232/Th-228| daughter product| neodymium| isotope geochemistry| uranium| thorium| tracers| strontium| ground water| tektites| half-life period| sea water,http://linkeddata.ge.imati.cnr.it/resource/ThIST/isotopo,isotopes,
,isotropic materials,optical properties,http://linkeddata.ge.imati.cnr.it/resource/ThIST/isotropia,isotropy,
,,properties| magnetization| paleomagnetism| demagnetization| hysteresis| nonmagnetic minerals,http://linkeddata.ge.imati.cnr.it/resource/ThIST/isteresimagnetica,magnetic hysteresis,
,,academic institutions| associations,http://linkeddata.ge.imati.cnr.it/resource/ThIST/istituzione,institutions,
,,paleoecology| shore features| paleogeography| geography,http://linkeddata.ge.imati.cnr.it/resource/ThIST/istmo,isthmus,
statistical analysis,,graphic methods| kurtosis,http://linkeddata.ge.imati.cnr.it/resource/ThIST/istogramma,histograms,
,,fossils,http://linkeddata.ge.imati.cnr.it/resource/ThIST/istologia,histology,
Europe| Europa Island| Southern Europe,,Slovenia| Yugoslavia| Croatia| Northern Italy,http://linkeddata.ge.imati.cnr.it/resource/ThIST/istra,Istria,
Southern Europe,Tertiary Piedmont Basin| Vico Lake| Veneto Italy| Sardinia Italy| Liguria Italy| Mount Etna Italy| cellular dolomite| Basilicata Italy| Liri River| Molise Italy| Calabria Italy| Isere Valley| Taurus Mountains| Friuli-Venezia Giulia Italy| Campania Italy| Alto Adige| Tirso River| Tuscanian Emilian Appennines| Central Italy| Teramo Italy| Vesuvius| Southern Italy| Abruzzo Italy| Lombardy Italy| Pelagie Islands| Tuscany Italy| Lao River| Apulia Italy| Ferdinandea Island| Reggio Di Calabria Italy| Latium Italy| Stromboli| Isole Eolie| Umbria Italy| Piemonte Italy| Piedmont Prealps| Noce River| Northern Italy| Emilia-Romagna Italy| Marches Italy| marocche,Apennines| Coast Range Italy| Alps| San Marino| San Marino San Marino| Brianconnais Zone| Gelasiano| Valtournenche| Carinthia Austria| Ligurian Sea| Mount Blanc Tunnel| Karst region| Cantabrian| Vesuvius eruption 1944| Lugano Lake| Appennine Orogenesis| Italian geological survey| Noce River,http://linkeddata.ge.imati.cnr.it/resource/ThIST/italia,Italy,
Africa| East Africa,Red Sea| Adis Abeba Ethiopia| Afar| Blue Nile| Tigre Ethiopia| Acobo River| Dankalia,Lake Rudolf| Red Sea Basin| Ethiopian Rift| Nile River,http://linkeddata.ge.imati.cnr.it/resource/ThIST/itiopya,Ethiopia,
metals| rare earths,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/itterbio,ytterbium,
Caribbean region| Greater Antilles| Central America| Antilles| West Indies,Kingston Jamaica,Caribbean Sea,http://linkeddata.ge.imati.cnr.it/resource/ThIST/jamaica,Jamaica,
United Kingdom,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/jersey,,
angiosperms| Spermatophyta| Plantae| Dicotyledoneae,,Juglans,http://linkeddata.ge.imati.cnr.it/resource/ThIST/juglandaceae,Juglandaceae,
angiosperms| Spermatophyta| Plantae| Dicotyledoneae,,Juglandaceae| Filicopsida| Pteridophyta| Gymnospermae,http://linkeddata.ge.imati.cnr.it/resource/ThIST/juglans,Juglans,
Europe| Europa Island| Southern Europe,Brioni,Carpathians| Alps| Split| Morava River valley| Serbia and Montenegro| Dalmatia| Slovenia| Serbo-Macedonian Massif| Bosnia-Herzegovina| Mediterranean region| Rijeka Croatia| Danube River Basin| Pannonia| Vojvodina| Dinaridi Alps| Karst region| Danube River| Balkan Mountains| Balkan Peninsula| Adriatic Sea| Northern Limestone Alps| Julian Alps| Croatia| Adriatic region| Eastern Alps| Macedonia| Pannonian Basin| Istria| Danube Valley,http://linkeddata.ge.imati.cnr.it/resource/ThIST/jugoslavia1929-1991,Yugoslavia,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/juniperus,,
Far East| Asia| Indochina,Phnum Pènh Cambodia,Mekongk River Basin| Mekogk River,http://linkeddata.ge.imati.cnr.it/resource/ThIST/k%C3%B4mpuchea,Cambodia,
United States of America,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/kansas,,
Asia,,Pakistan| China| Ladakh| India,http://linkeddata.ge.imati.cnr.it/resource/ThIST/karakorum,Karakoram,
Indian Peninsula| Asia,,Indus River| Pakistan| Indus Valley| India,http://linkeddata.ge.imati.cnr.it/resource/ThIST/kashmir,Kashmir,
Upper Carboniferous| Carboniferous| Paleozoic,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/kasimoviano,Kasimovian,
USSR,,Kazakhstan| Iran| Azerbaijan| Caspian Basin,http://linkeddata.ge.imati.cnr.it/resource/ThIST/kaspijskojemore,Caspian Sea,
soils,,Zonal soils| Chernozems| soil group,http://linkeddata.ge.imati.cnr.it/resource/ThIST/kastanozem,Chestnut soils,
North Sea| Atlantic Ocean| North Atlantic,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/kattegat,Kattegat,
United States of America,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/kentucky,,
Africa| East Africa,Nairobi Kenya,Lake Rudolf| East African Rift| Lake Victoria| Mount Kenya,http://linkeddata.ge.imati.cnr.it/resource/ThIST/kenya,Kenya,
Asia,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/kerala,Kerala India,
Upper Jurassic| Jurassic| Mesozoic| Malm,,Europe| Europa Island| Rosso Ammonitico Marchigiano,http://linkeddata.ge.imati.cnr.it/resource/ThIST/kimmeridgiano,Kimmeridgian,
Democratic Republic of Congo,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/kinshasa,Kinshasa,
Oceania,Bairiki Kiribati,Polynesia| islands| Micronesia| Pacific Ocean,http://linkeddata.ge.imati.cnr.it/resource/ThIST/kiribati,Kiribati,
United States of America,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/klamathmountains,California,
,,faults| erosion| thrust faults| allochthons| structural geology| duplexes| nappes| geomorphology| tectonics| thrust sheets| erosion features| tectonic elements| overthrust faults,http://linkeddata.ge.imati.cnr.it/resource/ThIST/klippe,klippen,
Far East| Asia| Indonesia,,volcanoes,http://linkeddata.ge.imati.cnr.it/resource/ThIST/krakatoa,Krakatoa,
Permian| Lower Permian| Paleozoic,,Europe| Europa Island,http://linkeddata.ge.imati.cnr.it/resource/ThIST/kunguriano,Kungurian,
Middle East| Asia,Nicosia,Mediterranean region| Near East| Mediterranean Sea,http://linkeddata.ge.imati.cnr.it/resource/ThIST/kypros,Cyprus,
Commonwealth of Independent States| Asia,Bishkek Kyrgyzstan,Turkestan,http://linkeddata.ge.imati.cnr.it/resource/ThIST/kyrgyzstan,Kyrgyzstan,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/laboratorio,,
Newfoundland| Canada,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/labrador,Labrador,
,,faults| seismicity| earthquakes| seismotectonics| earthquake prediction| quiescence| active faults| seismology,http://linkeddata.ge.imati.cnr.it/resource/ThIST/lacunasismica,seismic gaps,
,,paraconformity| stratigraphy| conformity| unconformities| lithostratigraphy| hardground| nonconformities,http://linkeddata.ge.imati.cnr.it/resource/ThIST/lacunastratigrafica,stratigraphic gaps,
Asia,,Karakoram| India,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ladakh,Ladakh,
Triassic| Middle Triassic| Mesozoic,,Formazione di Wengen| Calcare di Esino| Formazione della Verruca| Formazione di San Cassiano| Calcare di Perledo-Varenna| Calcare Metallifero Bergamasco| Formazione del Contrin| Calcare di Monte Spitz| Lercara formation,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ladinico,Ladinian,
Caribbean region| Greater Antilles| Central America| Antilles,Dominican Republic| Haiti,Caribbean Sea,http://linkeddata.ge.imati.cnr.it/resource/ThIST/laespanola,Hispaniola,
,,reservoirs| paleoecology| surface water| irrigation| limnology| geomorphology| water resources| lakes| ecology| water supply,http://linkeddata.ge.imati.cnr.it/resource/ThIST/laghetto,ponds,
Vicenza Italy,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/laghi,,
lacustrine features| Cosenza Italy,glacial lakes| crater lakes| extinct lakes| meromictic lakes| karstic lake,spillways| lacustrine basin| wave motion| periglacial features| reservoirs| glacial features| ponds| hydrometers| paleoecology| fluviolacustrine environment| surface water| hydrology| limnology| water balance| hydrogen sulfide| sedimentation| tidewater glaciers| lacustrine environment| seiches| eutrophication| lagoons| geomorphology| lake sediments| salt lakes| water resources| glaciolacustrine environment| drainage| lacustrine deposit| hydrosphere| ecology| thermocline| water supply,http://linkeddata.ge.imati.cnr.it/resource/ThIST/lago,lakes,
,,rockfill dams| hydrogeology| geomembranes| retaining walls| geotextiles| drawdown| ponds| waste disposal| embankments| hydrology| applied geology| water balance| construction| earthquakes| storage| earth dams| basins| geologic hazards| water resources| rock mechanics| seepage| naturally fractured reservoirs| water reserve| concrete dams| arch dams| deposition| site exploration| feasibility studies| lakes| water storage| soil mechanics| reinforced materials| seismic response| slope stability| gravity dams| siltation| floods| dams| waterways| water supply| maintenance,http://linkeddata.ge.imati.cnr.it/resource/ThIST/lagoartificiale,reservoirs,
lakes,,solution features| karst hydrology| swallow hole| poljes| karst| dolines,http://linkeddata.ge.imati.cnr.it/resource/ThIST/lagocarsico,karstic lake,
lacustrine features| lakes,,meteor craters| Vico Lake| craters| subsidence| cauldrons| calderas| collapse structures| lava lakes| Bolsena Lake| Bracciano Lake| collapse| volcanic features,http://linkeddata.ge.imati.cnr.it/resource/ThIST/lagocraterico,crater lakes,
Europe| Europa Island| Central Europe,,Switzerland| Bavaria Germany| Rhine Basin| Baden-Wurttemberg Germany,http://linkeddata.ge.imati.cnr.it/resource/ThIST/lagodicostanza,Lake Constance,
Switzerland| Europe| Europa Island,,Vaud Switzerland| Haute-Savoie France| Rhone Valley| Valais Switzerland,http://linkeddata.ge.imati.cnr.it/resource/ThIST/lagodiginevra,Lake Geneva,
volcanic features,,geomorphology| Kilauea| lava| crater lakes,http://linkeddata.ge.imati.cnr.it/resource/ThIST/lagodilava,lava lakes,
Switzerland| Ticino Switzerland| Northern Italy,,Italy| Como Italy| Varese Italy| meromictic lakes,http://linkeddata.ge.imati.cnr.it/resource/ThIST/lagodilugano,Lugano Lake,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/lagoerie,,
glacial features| lacustrine features| lakes,,periglacial environment| periglacial features| limnology| paleolimnology| cirques| glaciolacustrine sedimentation| geomorphology| varves| kettles| glaciolacustrine environment| extinct lakes| glacial geology,http://linkeddata.ge.imati.cnr.it/resource/ThIST/lagoglaciale,glacial lakes,
Africa| Central Africa,,Democratic Republic of Congo| Rwanda,http://linkeddata.ge.imati.cnr.it/resource/ThIST/lagokivu,Lake Kivu,
,,Ticino Switzerland| Tessin River,http://linkeddata.ge.imati.cnr.it/resource/ThIST/lagomaggiore,Lago Maggiore,
Tetrapoda| Chordata| Theria| Mammalia| Vertebrata| Eutheria,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/lagomorpha,Lagomorpha,
,,evaporites| brines| brackish water| salt water| lakes| sebkha environment| salt flat,http://linkeddata.ge.imati.cnr.it/resource/ThIST/lagosalato,salt lakes,
Africa| East African Lakes,,Tanzania| Burundi| East Africa,http://linkeddata.ge.imati.cnr.it/resource/ThIST/lagotanganica,Lake Tanganyika,
,,Perù| Bolivia,http://linkeddata.ge.imati.cnr.it/resource/ThIST/lagotiticaca,Titicaca Lake,
Africa| East Africa| East African Lakes,,Tanzania| Nile River| Uganda| Kenya,http://linkeddata.ge.imati.cnr.it/resource/ThIST/lagovittoria,Lake Victoria,
Ghana,,Volta River| Volta Basin,http://linkeddata.ge.imati.cnr.it/resource/ThIST/lagovolta,Lake Volta,
shore features,,reefs| patch reefs| beaches| paleoecology| intertidal environment| segmentation| atolls| barrier reefs| sedimentation| coastal environment| geomorphology| lagoonal environment| tidal flats| lakes| ecology| mouth,http://linkeddata.ge.imati.cnr.it/resource/ThIST/laguna,lagoons,
mass movements,,mudflows| debris flows| volcanism| ash flows,http://linkeddata.ge.imati.cnr.it/resource/ThIST/lahar,lahars,
planar bedding structures| sedimentary structures,,cross-bedding| foliation| Bouma sequence| cross-laminations| laminite| stratification,http://linkeddata.ge.imati.cnr.it/resource/ThIST/laminazione,laminations,
cross-stratification| planar bedding structures| sedimentary structures,,cross-bedding| laminations| ripple marks| megaripples,http://linkeddata.ge.imati.cnr.it/resource/ThIST/laminazioneobliqua,cross-laminations,
Bolzano Italy,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/lana,,
fluvial features,,streams| geomorphology| Rijeka Croatia| rivers| loop| meanders,http://linkeddata.ge.imati.cnr.it/resource/ThIST/lanca,bend,
,,image enhancement| geophysical methods| imagery| multispectral scanner| telemetry| satellite methods| geophysical surveys| remote sensing,http://linkeddata.ge.imati.cnr.it/resource/ThIST/landsat,Landsat,
Tertiary| middle Miocene| Cenozoic| Neogene| Miocene,,Monte Cervarola Sandstones| Europe| Europa Island| Pantano Formation| Cigarello Formation| Formazione Marnoso-arenacea| Bisciaro| Macigno| Pietra Leccese,http://linkeddata.ge.imati.cnr.it/resource/ThIST/langhiano,Langhian,
metals| rare earths,,lithophile elements| cerium,http://linkeddata.ge.imati.cnr.it/resource/ThIST/lantanio,lanthanum,
Far East| Asia,Vientiane Laos,Mekongk River Basin| Mekogk River| Indochina,http://linkeddata.ge.imati.cnr.it/resource/ThIST/laos,Laos,
