oBT,oNT,oRT,o,oPrefLabel,oAltLabels
embryogenesis,,,http://www.eionet.europa.eu/gemet/concept/2573,egg,
physical property,,,http://www.eionet.europa.eu/gemet/concept/2582,elasticity,
physical property,,electric power,http://www.eionet.europa.eu/gemet/concept/2592,electricity,
conventional energy,,electricity,http://www.eionet.europa.eu/gemet/concept/2601,electric power,
physicochemical process,,separation,http://www.eionet.europa.eu/gemet/concept/2618,electrolysis,
physical science,microelectronics,,http://www.eionet.europa.eu/gemet/concept/2624,electronics,
liquid state,,,http://www.eionet.europa.eu/gemet/concept/2691,emulsion,
document type,,,http://www.eionet.europa.eu/gemet/concept/2696,encyclopaedia,
,energy production| energy source| energy utilisation| energy process| energy type,environmental impact of energy| environmental impact of energy| environmental impact of energy| environmental impact of energy| environmental impact of energy,http://www.eionet.europa.eu/gemet/concept/2712,energy,
parameter,,Earth-Sun relationship,http://www.eionet.europa.eu/gemet/concept/2713,energy balance,
energy policy,,,http://www.eionet.europa.eu/gemet/concept/2714,energy conservation,
resource,,energy source,http://www.eionet.europa.eu/gemet/concept/2738,energy resource,
energy| energy| energy| energy| energy| energy| energy| energy| energy| energy| energy| energy,energy source material| energy source material| energy source material| renewable energy source| renewable energy source| renewable energy source| non-polluting energy source| non-polluting energy source| non-polluting energy source| solar heating| solar heating| solar heating,solar cell| accumulator| energy resource| solar cell| accumulator| energy resource| solar cell| accumulator| energy resource| solar cell| accumulator| energy resource,http://www.eionet.europa.eu/gemet/concept/2741,energy source,
physical process,,,http://www.eionet.europa.eu/gemet/concept/2759,enrichment,
effect| effect| effect| effect| effect| effect| effect,immission damage| field damage| animal damage| forest damage| soil damage| water damage| storm damage,,http://www.eionet.europa.eu/gemet/concept/2802,environmental damage,
climatic factor,,,http://www.eionet.europa.eu/gemet/concept/281,air temperature,
,environmental impact of households| trade impact on environment| environmental impact of tourism| environmental impact of forestry| environmental impact of recreation| environmental impact of transport| environmental impact of agriculture| water endangering| environmental impact of energy| environmental impact of fishing| socioeconomic impact of biotechnologies| environmental impact of industry| environmental impact of aquaculture,impact source| impact source| impact source| impact source| impact source| impact source| impact source| impact source| impact source| impact source| impact source| impact source| impact source,http://www.eionet.europa.eu/gemet/concept/2829,environmental impact,
indicator,indicator of environmental quality,,http://www.eionet.europa.eu/gemet/concept/2847,environmental indicator,
environmental legislation,,,http://www.eionet.europa.eu/gemet/concept/2859,environmental law,
,waste management| air quality management| energy management| environmentally friendly management| agricultural management| land management and planning| landscape management| land occupation| resources management| fisheries management| water management| mountain management| integrated management| forest management,management| management| management| management| management| management| management| management| management| management| management| management| management| management,http://www.eionet.europa.eu/gemet/concept/2877,environmental management,
monitoring,,environmental analysis,http://www.eionet.europa.eu/gemet/concept/2882,environmental monitoring,
,rural environment| geophysical environment| natural environment| sensitive environment| physical environment,,http://www.eionet.europa.eu/gemet/concept/2944,environment,
biochemical substance,,fermentation,http://www.eionet.europa.eu/gemet/concept/2945,enzyme,
geomorphic process| geomorphic process| geomorphic process,water erosion| coastal erosion| wind erosion,soil erosion| soil erosion| soil erosion,http://www.eionet.europa.eu/gemet/concept/2963,erosion,
environmental control,,soil erosion,http://www.eionet.europa.eu/gemet/concept/2964,erosion control,
river,,estuarine conservation area,http://www.eionet.europa.eu/gemet/concept/2974,estuary,
chemical treatment,,,http://www.eionet.europa.eu/gemet/concept/2977,etching,
human science,,,http://www.eionet.europa.eu/gemet/concept/2982,ethnology,
behavioural science,,,http://www.eionet.europa.eu/gemet/concept/2984,ethology,
world| world,Eastern Europe| Western Europe,,http://www.eionet.europa.eu/gemet/concept/2992,Europe,
international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation| international organisation,European Communities| European Communities| European Communities| European Communities| European Communities| European Communities| European Monetary Fund| European Monetary Fund| European Monetary Fund| European Monetary Fund| European Monetary Fund| European Monetary Fund| EU Council| EU Council| EU Council| EU Council| EU Council| EU Council| Court of Justice of the European Communities| Court of Justice of the European Communities| Court of Justice of the European Communities| Court of Justice of the European Communities| Court of Justice of the European Communities| Court of Justice of the European Communities| European Environment Agency| European Environment Agency| European Environment Agency| European Environment Agency| European Environment Agency| European Environment Agency| European Court of Justice| European Court of Justice| European Court of Justice| European Court of Justice| European Court of Justice| European Court of Justice| European Commission| European Commission| European Commission| European Commission| European Commission| European Commission| European Parliament| European Parliament| European Parliament| European Parliament| European Parliament| European Parliament| EC Council of Ministers| EC Council of Ministers| EC Council of Ministers| EC Council of Ministers| EC Council of Ministers| EC Council of Ministers| Euratom| Euratom| Euratom| Euratom| Euratom| Euratom| European Environmental Council| European Environmental Council| European Environmental Council| European Environmental Council| European Environmental Council| European Environmental Council,Community finance| EC Treaty| EC regulation| EC directive| Community budget| Community law| Community finance| EC Treaty| EC regulation| EC directive| Community budget| Community law| Community finance| EC Treaty| EC regulation| EC directive| Community budget| Community law| Community finance| EC Treaty| EC regulation| EC directive| Community budget| Community law| Community finance| EC Treaty| EC regulation| EC directive| Community budget| Community law| Community finance| EC Treaty| EC regulation| EC directive| Community budget| Community law| Community finance| EC Treaty| EC regulation| EC directive| Community budget| Community law| Community finance| EC Treaty| EC regulation| EC directive| Community budget| Community law| Community finance| EC Treaty| EC regulation| EC directive| Community budget| Community law| Community finance| EC Treaty| EC regulation| EC directive| Community budget| Community law| Community finance| EC Treaty| EC regulation| EC directive| Community budget| Community law,http://www.eionet.europa.eu/gemet/concept/3006,European Union,
pollution effect,algal bloom,water pollution,http://www.eionet.europa.eu/gemet/concept/3007,eutrophication,
,demonstrability| demonstrability| evaluation method| evaluation method| data processing| data processing| dispersion calculation| dispersion calculation| evaluation of technology| evaluation of technology| forecast| forecast| desk study| desk study| comparison| comparison| demonstrability| demonstrability| evaluation method| evaluation method| data processing| data processing| dispersion calculation| dispersion calculation| evaluation of technology| evaluation of technology| forecast| forecast| desk study| desk study| comparison| comparison,damage assessment| risk assessment| damage assessment| risk assessment| damage assessment| risk assessment| damage assessment| risk assessment| damage assessment| risk assessment| damage assessment| risk assessment| damage assessment| risk assessment| damage assessment| risk assessment| damage assessment| risk assessment| damage assessment| risk assessment| damage assessment| risk assessment| damage assessment| risk assessment| damage assessment| risk assessment| damage assessment| risk assessment| damage assessment| risk assessment| damage assessment| risk assessment,http://www.eionet.europa.eu/gemet/concept/3011,evaluation,
physical process,,,http://www.eionet.europa.eu/gemet/concept/3019,evaporation,
plant life,,air-water interaction,http://www.eionet.europa.eu/gemet/concept/3022,evapotranspiration,
biosphere,fossil,,http://www.eionet.europa.eu/gemet/concept/3026,evolution,
mining district| mining district,excavated hole| worked-out open cut,,http://www.eionet.europa.eu/gemet/concept/3032,excavation site,
,simulation| laboratory experiment| test| innovation| field experiment| biotechnology,,http://www.eionet.europa.eu/gemet/concept/3050,experiment,
data processing system,,,http://www.eionet.europa.eu/gemet/concept/3054,expert system,
research,,,http://www.eionet.europa.eu/gemet/concept/3057,exploration,
environmental accident,,,http://www.eionet.europa.eu/gemet/concept/3058,explosion,
industrial product,,,http://www.eionet.europa.eu/gemet/concept/3061,explosive,
supply and demand| supply and demand,waste export| hazardous chemical export,,http://www.eionet.europa.eu/gemet/concept/3063,export,
autoecology,,,http://www.eionet.europa.eu/gemet/concept/3081,extinction (ecological),
industry| industry,mining industry| coal industry,,http://www.eionet.europa.eu/gemet/concept/3090,extractive industry,
textile,,,http://www.eionet.europa.eu/gemet/concept/3097,fabric,
deposition| deposition| deposition| deposition,chemical fallout| dry deposition| radioactive fallout| atmospheric fallout,,http://www.eionet.europa.eu/gemet/concept/3110,fallout,
social group,,,http://www.eionet.europa.eu/gemet/concept/3117,family,
organism| organism| organism,avifauna| wild fauna| marine fauna,,http://www.eionet.europa.eu/gemet/concept/3138,fauna,
natural material| natural material| natural material| natural material,natural fertiliser| semi-liquid manure| mineral conditioner| manure,soil fertilisation| soil fertilisation| soil fertilisation| soil fertilisation,http://www.eionet.europa.eu/gemet/concept/3169,fertiliser,
rural area,,cultivation,http://www.eionet.europa.eu/gemet/concept/3176,field,
industrial product,,,http://www.eionet.europa.eu/gemet/concept/3181,filling material,
equipment| equipment| equipment,bacterial bed| acoustic filter| trickling filter,filtration| filtration| filtration,http://www.eionet.europa.eu/gemet/concept/3184,filter,
physicochemical process| physicochemical process| physicochemical process| physicochemical process| physicochemical process| physicochemical process| physicochemical process| physicochemical process,ultrafiltration| ultrafiltration| ultrafiltration| ultrafiltration| microfiltration| microfiltration| microfiltration| microfiltration,separation| filter| filter cake| biofiltration| separation| filter| filter cake| biofiltration,http://www.eionet.europa.eu/gemet/concept/3190,filtration,
finances| finances| finances| finances| finances,subsidy| housing finance| credit assistance| financial assistance| debt service,,http://www.eionet.europa.eu/gemet/concept/3205,financing,
physicochemical process,,precipitation (chemical),http://www.eionet.europa.eu/gemet/concept/3295,flocculation,
hydrologic cycle| hydrologic cycle,flood runoff| flooding,water damage| water damage,http://www.eionet.europa.eu/gemet/concept/3298,flood,
flood,,,http://www.eionet.europa.eu/gemet/concept/3301,flooding,
physicochemical process,,,http://www.eionet.europa.eu/gemet/concept/3308,flotation,
plant component,,,http://www.eionet.europa.eu/gemet/concept/3312,flower,
physicochemical treatment,fluidised bed,,http://www.eionet.europa.eu/gemet/concept/3324,fluidisation,
element of group VII,,,http://www.eionet.europa.eu/gemet/concept/3334,fluorine,
inland waterways transport,,,http://www.eionet.europa.eu/gemet/concept/3341,river transport,
meteorological phenomenon,,,http://www.eionet.europa.eu/gemet/concept/3347,fog,
synecology,trophic level,,http://www.eionet.europa.eu/gemet/concept/3358,food chain,
industrial product| industrial product,amalgam| steel,metal| metal,http://www.eionet.europa.eu/gemet/concept/340,alloy,
evaluation| evaluation| evaluation| evaluation| evaluation| evaluation,immission forecast| meteorological forecasting| emission forecast| long-term forecasting| trend| flood forecast,,http://www.eionet.europa.eu/gemet/concept/3400,forecast,
terrestrial area| terrestrial area| terrestrial area| terrestrial area| terrestrial area| terrestrial area| terrestrial area| terrestrial area| terrestrial area| terrestrial area| terrestrial area| terrestrial area| terrestrial area| terrestrial area,primary forest| rain forest| natural forest| mixed forest| coppice| temperate forest| mountain forest| deciduous forest| coniferous forest| indigenous forest| wood| forestry unit| tropical forest| timber forest,forestry| forestry| forestry| forestry| forestry| forestry| forestry| forestry| forestry| forestry| forestry| forestry| forestry| forestry,http://www.eionet.europa.eu/gemet/concept/3406,forest,
terrestrial ecosystem,,,http://www.eionet.europa.eu/gemet/concept/3416,forest ecosystem,
,forestry practice| forestry practice| forestry practice| forestry practice| forestry practice| forestry practice| forestry practice| forestry practice| forest production| forest production| forest production| forest production| forest production| forest production| forest production| forest production| forest exploitation| forest exploitation| forest exploitation| forest exploitation| forest exploitation| forest exploitation| forest exploitation| forest exploitation| afforestation| afforestation| afforestation| afforestation| afforestation| afforestation| afforestation| afforestation| agroforestry| agroforestry| agroforestry| agroforestry| agroforestry| agroforestry| agroforestry| agroforestry| wood hauling| wood hauling| wood hauling| wood hauling| wood hauling| wood hauling| wood hauling| wood hauling| deforestation| deforestation| deforestation| deforestation| deforestation| deforestation| deforestation| deforestation,forest reserve| environmental impact of forestry| forest resource| inventory of forest damage| forest fire| forestry legislation| forest| forest management| forest reserve| environmental impact of forestry| forest resource| inventory of forest damage| forest fire| forestry legislation| forest| forest management| forest reserve| environmental impact of forestry| forest resource| inventory of forest damage| forest fire| forestry legislation| forest| forest management| forest reserve| environmental impact of forestry| forest resource| inventory of forest damage| forest fire| forestry legislation| forest| forest management| forest reserve| environmental impact of forestry| forest resource| inventory of forest damage| forest fire| forestry legislation| forest| forest management| forest reserve| environmental impact of forestry| forest resource| inventory of forest damage| forest fire| forestry legislation| forest| forest management| forest reserve| environmental impact of forestry| forest resource| inventory of forest damage| forest fire| forestry legislation| forest| forest management,http://www.eionet.europa.eu/gemet/concept/3439,forestry,
evolution,,,http://www.eionet.europa.eu/gemet/concept/3460,fossil,
fuel| fuel| fuel,lignite| coal| peat,non-renewable energy resource| non-renewable energy resource| non-renewable energy resource,http://www.eionet.europa.eu/gemet/concept/3462,fossil fuel,
plant component,,fruit cultivation,http://www.eionet.europa.eu/gemet/concept/3498,fruit,
ore,,,http://www.eionet.europa.eu/gemet/concept/352,alumina,
mycete,basidiomycete,,http://www.eionet.europa.eu/gemet/concept/3529,fungus,
element of group III,,,http://www.eionet.europa.eu/gemet/concept/353,aluminium,
thermal equipment| thermal equipment| thermal equipment,blast furnace| rotary furnace| small-scale furnace,,http://www.eionet.europa.eu/gemet/concept/3538,furnace,
gaseous state,,,http://www.eionet.europa.eu/gemet/concept/3566,gas,
chromatography,,,http://www.eionet.europa.eu/gemet/concept/3567,gas chromatography,
treatment of gases,coal gasification,coal refining,http://www.eionet.europa.eu/gemet/concept/3581,gasification,
alloy| chemical,,mercury| mercury,http://www.eionet.europa.eu/gemet/concept/363,amalgam,
geography,,,http://www.eionet.europa.eu/gemet/concept/3638,geodesy,
information system| information system,image processing digital system| GIS digital system,geo-referenced data| geo-referenced data,http://www.eionet.europa.eu/gemet/concept/3645,geographic information system,
science| science| science| science| science| science| science| science| science,orography| cartography| political geography| geomorphology| biogeography| physical geography| economic geography| geodesy| hydrography,,http://www.eionet.europa.eu/gemet/concept/3646,geography,
earth science| earth science| earth science| earth science| earth science| earth science,geotechnics| mining geology| hydrogeology| tectonics| volcanology| marine geology,,http://www.eionet.europa.eu/gemet/concept/3650,geology,
geography,,,http://www.eionet.europa.eu/gemet/concept/3654,geomorphology,
earth science,,,http://www.eionet.europa.eu/gemet/concept/3655,geophysics,
non-conventional energy,,,http://www.eionet.europa.eu/gemet/concept/3658,geothermal energy,
terrestrial area| terrestrial area,,ice pack| high mountain,http://www.eionet.europa.eu/gemet/concept/3673,glacier,
miscellaneous product,,waste glass,http://www.eionet.europa.eu/gemet/concept/3678,glass,
document type,,,http://www.eionet.europa.eu/gemet/concept/3694,glossary,
rock,,building material,http://www.eionet.europa.eu/gemet/concept/3738,gravel,
mining district,,,http://www.eionet.europa.eu/gemet/concept/3742,gravel pit,
global warming,,,http://www.eionet.europa.eu/gemet/concept/3761,greenhouse effect,
industrial process,,,http://www.eionet.europa.eu/gemet/concept/3774,grinding,
water (geographic),,,http://www.eionet.europa.eu/gemet/concept/3780,groundwater,
inorganic substance,,,http://www.eionet.europa.eu/gemet/concept/379,ammonium,
coast| coast,bay| creek,,http://www.eionet.europa.eu/gemet/concept/3800,gulf,
building material,,,http://www.eionet.europa.eu/gemet/concept/3806,gypsum,
synecology| synecology,animal habitat| wildlife habitat,,http://www.eionet.europa.eu/gemet/concept/3808,habitat,
meteorological phenomenon,,,http://www.eionet.europa.eu/gemet/concept/3812,hail,
traffic infrastructure,marina,traffic on water,http://www.eionet.europa.eu/gemet/concept/3834,harbour,
physical property,,,http://www.eionet.europa.eu/gemet/concept/3837,hardness,
thermal equipment,,heating,http://www.eionet.europa.eu/gemet/concept/3904,heat pump,
metal| metal| metal| metal| metal| metal| metal| metal| metal,,mercury| lead| copper| tin (element)| nickel| chromium| iron| cobalt| cadmium,http://www.eionet.europa.eu/gemet/concept/3915,heavy metal,
biocide| biocide,,atrazine| weed control,http://www.eionet.europa.eu/gemet/concept/3933,herbicide,
mountainous area,,,http://www.eionet.europa.eu/gemet/concept/3966,hill,
,ecosystem analysis| ecosystem analysis| ecosystem analysis| ecosystem analysis| sensitivity analysis| sensitivity analysis| sensitivity analysis| sensitivity analysis| biological analysis| biological analysis| biological analysis| biological analysis| noise analysis| noise analysis| noise analysis| noise analysis| water analysis| water analysis| water analysis| water analysis| chemical analysis| chemical analysis| chemical analysis| chemical analysis| chromatographic analysis| chromatographic analysis| chromatographic analysis| chromatographic analysis| social analysis| social analysis| social analysis| social analysis| data analysis| data analysis| data analysis| data analysis| statistical analysis| statistical analysis| statistical analysis| statistical analysis| waste analysis| waste analysis| waste analysis| waste analysis| mathematical analysis| mathematical analysis| mathematical analysis| mathematical analysis| physicochemical analysis| physicochemical analysis| physicochemical analysis| physicochemical analysis| pollutant analysis| pollutant analysis| pollutant analysis| pollutant analysis| soil analysis| soil analysis| soil analysis| soil analysis| environmental analysis| environmental analysis| environmental analysis| environmental analysis| residue analysis| residue analysis| residue analysis| residue analysis,risk analysis| danger analysis| safety analysis| assay| risk analysis| danger analysis| safety analysis| assay| risk analysis| danger analysis| safety analysis| assay| risk analysis| danger analysis| safety analysis| assay| risk analysis| danger analysis| safety analysis| assay| risk analysis| danger analysis| safety analysis| assay| risk analysis| danger analysis| safety analysis| assay| risk analysis| danger analysis| safety analysis| assay| risk analysis| danger analysis| safety analysis| assay| risk analysis| danger analysis| safety analysis| assay| risk analysis| danger analysis| safety analysis| assay| risk analysis| danger analysis| safety analysis| assay| risk analysis| danger analysis| safety analysis| assay| risk analysis| danger analysis| safety analysis| assay| risk analysis| danger analysis| safety analysis| assay| risk analysis| danger analysis| safety analysis| assay| risk analysis| danger analysis| safety analysis| assay,http://www.eionet.europa.eu/gemet/concept/397,analysis,
human science| human science,,,http://www.eionet.europa.eu/gemet/concept/3983,history,
health facility,,,http://www.eionet.europa.eu/gemet/concept/3999,hospital,
scientific ecology,,,http://www.eionet.europa.eu/gemet/concept/4047,human ecology,
biosphere| biosphere| biosphere| biosphere| biosphere| biosphere| biosphere| biosphere| biosphere| biosphere| biosphere| biosphere,immune system| human body| muscular system| hearing system| organ| cardiovascular system| tissue| cell (biology)| respiratory system| endocrine system| nervous system| lymphatic system,biology| biology| biology| biology| biology| biology| biology| biology| biology| biology| biology| biology,http://www.eionet.europa.eu/gemet/concept/406,anatomy,
soil layer,,,http://www.eionet.europa.eu/gemet/concept/4070,humus,
meteorological phenomenon,,,http://www.eionet.europa.eu/gemet/concept/4077,hurricane,
physical science,,,http://www.eionet.europa.eu/gemet/concept/4085,hydraulics,
organic substance| organic substance,polycyclic hydrocarbon| alkane,,http://www.eionet.europa.eu/gemet/concept/4091,hydrocarbon,
inorganic substance| acid,,,http://www.eionet.europa.eu/gemet/concept/4094,hydrochloric acid,
element of group I (alkaline),tritium,,http://www.eionet.europa.eu/gemet/concept/4103,hydrogen,
geology,,,http://www.eionet.europa.eu/gemet/concept/4108,hydrogeology,
hydrosphere| hydrosphere| hydrosphere| hydrosphere| hydrosphere| hydrosphere| hydrosphere| hydrosphere| hydrosphere| hydrosphere| hydrosphere,hydrologic balance| sea wave| low flow| hydrologic flow| sea level| sea circulation| hydrographic network| overturn (limnology)| water level| flood| ocean circulation,,http://www.eionet.europa.eu/gemet/concept/4116,hydrologic cycle,
water science,,,http://www.eionet.europa.eu/gemet/concept/4118,hydrology,
chemical reaction,,,http://www.eionet.europa.eu/gemet/concept/4119,hydrolysis,
,hydrologic cycle| lake| water (geographic)| water reservoir| water body| watercourse| sea,,http://www.eionet.europa.eu/gemet/concept/4124,hydrosphere,
public health| public health,food hygiene| cleanliness (hygiene),,http://www.eionet.europa.eu/gemet/concept/4126,hygiene,
freshwater,,,http://www.eionet.europa.eu/gemet/concept/4131,ice,
ice pack,,,http://www.eionet.europa.eu/gemet/concept/4132,iceberg,
supply and demand,,,http://www.eionet.europa.eu/gemet/concept/4167,import,
landform,,,http://www.eionet.europa.eu/gemet/concept/4186,slope,
world,,,http://www.eionet.europa.eu/gemet/concept/4195,Indian Ocean,
biological monitoring| biological monitoring| biological monitoring| biological monitoring| biological monitoring| biological monitoring,biological indicator| pollution indicator| sustainable development indicator| indicator of environmental management| environmental indicator| cultural indicator,,http://www.eionet.europa.eu/gemet/concept/4196,indicator,
,information technology industry| information technology industry| information technology industry| information technology industry| building materials industry| building materials industry| building materials industry| building materials industry| mechanical industry| mechanical industry| mechanical industry| mechanical industry| packing industry| packing industry| packing industry| packing industry| metallurgical industry| metallurgical industry| metallurgical industry| metallurgical industry| environmental industry| environmental industry| environmental industry| environmental industry| rubber processing industry| rubber processing industry| rubber processing industry| rubber processing industry| waste processing industry| waste processing industry| waste processing industry| waste processing industry| leather industry| leather industry| leather industry| leather industry| communications industry| communications industry| communications industry| communications industry| clothing industry| clothing industry| clothing industry| clothing industry| paper industry| paper industry| paper industry| paper industry| vehicle manufacturing industry| vehicle manufacturing industry| vehicle manufacturing industry| vehicle manufacturing industry| chemical industry| chemical industry| chemical industry| chemical industry| forest industry| forest industry| forest industry| forest industry| mineral industry| mineral industry| mineral industry| mineral industry| waste removal industry| waste removal industry| waste removal industry| waste removal industry| energy industry| energy industry| energy industry| energy industry| manufacturing activity| manufacturing activity| manufacturing activity| manufacturing activity| agriculture and cattle industry| agriculture and cattle industry| agriculture and cattle industry| agriculture and cattle industry| reclamation industry| reclamation industry| reclamation industry| reclamation industry| synthetic fibres industry| synthetic fibres industry| synthetic fibres industry| synthetic fibres industry| electrotechnical industry| electrotechnical industry| electrotechnical industry| electrotechnical industry| textile industry| textile industry| textile industry| textile industry| timber industry| timber industry| timber industry| timber industry| electrical industry| electrical industry| electrical industry| electrical industry| fishing industry| fishing industry| fishing industry| fishing industry| ceramics industry| ceramics industry| ceramics industry| ceramics industry| gas company| gas company| gas company| gas company| building industry| building industry| building industry| building industry| petroleum industry| petroleum industry| petroleum industry| petroleum industry| printing work| printing work| printing work| printing work| agroindustry| agroindustry| agroindustry| agroindustry| glass industry| glass industry| glass industry| glass industry| extractive industry| extractive industry| extractive industry| extractive industry| furniture industry| furniture industry| furniture industry| furniture industry| metal products industry| metal products industry| metal products industry| metal products industry| vacuum industry| vacuum industry| vacuum industry| vacuum industry| synthetic materials industry| synthetic materials industry| synthetic materials industry| synthetic materials industry| refrigeration industry| refrigeration industry| refrigeration industry| refrigeration industry| food industry| food industry| food industry| food industry,firm| industrial site| technological accident| environmental impact of industry| firm| industrial site| technological accident| environmental impact of industry| firm| industrial site| technological accident| environmental impact of industry| firm| industrial site| technological accident| environmental impact of industry| firm| industrial site| technological accident| environmental impact of industry| firm| industrial site| technological accident| environmental impact of industry| firm| industrial site| technological accident| environmental impact of industry| firm| industrial site| technological accident| environmental impact of industry| firm| industrial site| technological accident| environmental impact of industry| firm| industrial site| technological accident| environmental impact of industry| firm| industrial site| technological accident| environmental impact of industry| firm| industrial site| technological accident| environmental impact of industry| firm| industrial site| technological accident| environmental impact of industry| firm| industrial site| technological accident| environmental impact of industry| firm| industrial site| technological accident| environmental impact of industry| firm| industrial site| technological accident| environmental impact of industry| firm| industrial site| technological accident| environmental impact of industry| firm| industrial site| technological accident| environmental impact of industry| firm| industrial site| technological accident| environmental impact of industry| firm| industrial site| technological accident| environmental impact of industry| firm| industrial site| technological accident| environmental impact of industry| firm| industrial site| technological accident| environmental impact of industry| firm| industrial site| technological accident| environmental impact of industry| firm| industrial site| technological accident| environmental impact of industry| firm| industrial site| technological accident| environmental impact of industry| firm| industrial site| technological accident| environmental impact of industry| firm| industrial site| technological accident| environmental impact of industry| firm| industrial site| technological accident| environmental impact of industry| firm| industrial site| technological accident| environmental impact of industry| firm| industrial site| technological accident| environmental impact of industry| firm| industrial site| technological accident| environmental impact of industry| firm| industrial site| technological accident| environmental impact of industry| firm| industrial site| technological accident| environmental impact of industry| firm| industrial site| technological accident| environmental impact of industry| firm| industrial site| technological accident| environmental impact of industry| firm| industrial site| technological accident| environmental impact of industry| firm| industrial site| technological accident| environmental impact of industry| firm| industrial site| technological accident| environmental impact of industry| firm| industrial site| technological accident| environmental impact of industry| firm| industrial site| technological accident| environmental impact of industry| firm| industrial site| technological accident| environmental impact of industry,http://www.eionet.europa.eu/gemet/concept/4279,industry,
hydrologic balance,water infiltration into the ground,,http://www.eionet.europa.eu/gemet/concept/4291,infiltration,
properties of materials,,fuel,http://www.eionet.europa.eu/gemet/concept/4296,inflammable substance,
science| science| science| science| science| science| science| information| information| information| information| information| information| information,data acquisition| data base| digitising| data protection| environmental informatics| data processing system| software| data acquisition| data base| digitising| data protection| environmental informatics| data processing system| software,,http://www.eionet.europa.eu/gemet/concept/4302,informatics,
information| information| information| information| information| information| information| information,bibliographic information system| documentary system| statistical information system| environmental information system| decision-support system| geographic information system| communications system| referral information system,,http://www.eionet.europa.eu/gemet/concept/4311,information system,
chemical reaction,,acid rain,http://www.eionet.europa.eu/gemet/concept/44,acidification,
international relations,,,http://www.eionet.europa.eu/gemet/concept/4421,international co-operation,
environmental data| environmental data,emission register| inventory of forest damage,,http://www.eionet.europa.eu/gemet/concept/4466,inventory,
finances,,,http://www.eionet.europa.eu/gemet/concept/4478,investment,
element of group VII,,,http://www.eionet.europa.eu/gemet/concept/4483,iodine,
physicochemical process| physicochemical process,,softening| ion exchanger,http://www.eionet.europa.eu/gemet/concept/4485,ion exchange,
atmospheric structure,,,http://www.eionet.europa.eu/gemet/concept/4492,ionosphere,
chemical| chemical,anion| cation,,http://www.eionet.europa.eu/gemet/concept/4493,ion,
transition element,,heavy metal,http://www.eionet.europa.eu/gemet/concept/4498,iron,
organism| organism| organism| organism| organism| organism| organism| organism| organism| organism,farm animal| game (animals)| wild animal| fur animal| vermin| domesticated animal| warm-blooded animal| invertebrate| aquatic animal| chordate,,http://www.eionet.europa.eu/gemet/concept/450,animal,
physical treatment,,,http://www.eionet.europa.eu/gemet/concept/4504,irradiation,
agricultural method,trickle irrigation,water consumption,http://www.eionet.europa.eu/gemet/concept/4505,irrigation,
natural area,archipelago,,http://www.eionet.europa.eu/gemet/concept/4514,island,
chemical,,radionuclide,http://www.eionet.europa.eu/gemet/concept/4523,isotope,
ion,,,http://www.eionet.europa.eu/gemet/concept/454,anion,
terrestrial area,,,http://www.eionet.europa.eu/gemet/concept/4545,karst,
storage (process),,,http://www.eionet.europa.eu/gemet/concept/4548,stocking,
cultural facility,GIS laboratory,research,http://www.eionet.europa.eu/gemet/concept/4567,laboratory,
coastal area,coral reef lagoon,,http://www.eionet.europa.eu/gemet/concept/4589,lagoon,
hydrosphere,,overturn (limnology),http://www.eionet.europa.eu/gemet/concept/4594,lake,
world,,,http://www.eionet.europa.eu/gemet/concept/461,Antarctica,
physical planning| physical planning| physical planning| physical planning| physical planning,land use planning| land allotment| coastal zone planning| urban planning| building planning,land| land| land| land| land,http://www.eionet.europa.eu/gemet/concept/4635,land planning,
world,,,http://www.eionet.europa.eu/gemet/concept/464,Antarctic Ocean,
land| land| land| land| land| land,terraced landscape| natural scenery| agricultural landscape| landscape component| urban landscape| landscape after mining,landscape management| landscape management| landscape management| landscape management| landscape management| landscape management,http://www.eionet.europa.eu/gemet/concept/4648,landscape,
geomorphic process,,,http://www.eionet.europa.eu/gemet/concept/4668,landslide,
resource utilisation| resource utilisation| resource utilisation| resource utilisation,,land use plan| tourism| land use planning| soil use,http://www.eionet.europa.eu/gemet/concept/4678,land use,
acidity degree,strong acidity,,http://www.eionet.europa.eu/gemet/concept/47,acidity,
physicochemical process,,,http://www.eionet.europa.eu/gemet/concept/4722,leaching,
element of group IV,,heavy metal,http://www.eionet.europa.eu/gemet/concept/4723,lead,
plant component,,,http://www.eionet.europa.eu/gemet/concept/4730,leaf,
environmental accident,,,http://www.eionet.europa.eu/gemet/concept/4731,leakage,
