oBT,oNT,oRT,o,oPrefLabel,oAltLabels
physicochemical analysis| physical property,,sieving| sieving,http://www.eionet.europa.eu/gemet/concept/11809,granulometry,
noise type,,,http://www.eionet.europa.eu/gemet/concept/11921,background noise,
water power,,,http://www.eionet.europa.eu/gemet/concept/11967,hydroelectric energy,
sorption,,,http://www.eionet.europa.eu/gemet/concept/120,adsorption,
geography,,,http://www.eionet.europa.eu/gemet/concept/1200,cartography,
climatology,,,http://www.eionet.europa.eu/gemet/concept/12045,palaeoclimatology,
chemical reaction,,catalyst,http://www.eionet.europa.eu/gemet/concept/1209,catalysis,
water science,,,http://www.eionet.europa.eu/gemet/concept/12128,hydrometry,
disaster,ecocatastrophe,major accident,http://www.eionet.europa.eu/gemet/concept/1213,catastrophe,
hydrologic cycle,,,http://www.eionet.europa.eu/gemet/concept/12135,hydrographic network,
earth science,,,http://www.eionet.europa.eu/gemet/concept/12139,sedimentology,
ion,,,http://www.eionet.europa.eu/gemet/concept/1224,cation,
landform,,,http://www.eionet.europa.eu/gemet/concept/1231,cave,
wood product,,carbohydrate,http://www.eionet.europa.eu/gemet/concept/1244,cellulose,
sewage sludge,,,http://www.eionet.europa.eu/gemet/concept/12441,residual waste sludge,
building material,concrete,,http://www.eionet.europa.eu/gemet/concept/1247,cement,
Africa,,,http://www.eionet.europa.eu/gemet/concept/1255,Central Africa,
Americas,,,http://www.eionet.europa.eu/gemet/concept/1256,Central America,
applied science| applied science| applied science| applied science| applied science| applied science| applied science| applied science| applied science| applied science| applied science| applied science| applied science| materials science| materials science| materials science| materials science| materials science| materials science| materials science| materials science| materials science| materials science| materials science| materials science| materials science,mining engineering| municipal engineering| chemical engineering| hydraulic engineering| marine engineering| precision engineering| traffic engineering| agricultural engineering| environmental engineering| civil engineering| seismic engineering| mechanical engineering| electrical engineering| mining engineering| municipal engineering| chemical engineering| hydraulic engineering| marine engineering| precision engineering| traffic engineering| agricultural engineering| environmental engineering| civil engineering| seismic engineering| mechanical engineering| electrical engineering,,http://www.eionet.europa.eu/gemet/concept/12586,engineering,
industrial process,,waste treatment,http://www.eionet.europa.eu/gemet/concept/12611,vitrification,
physical process,,separation,http://www.eionet.europa.eu/gemet/concept/1262,centrifugation,
mollusc,,,http://www.eionet.europa.eu/gemet/concept/1265,cephalopod,
quarry,,,http://www.eionet.europa.eu/gemet/concept/12656,underground quarry,
industrial product,,,http://www.eionet.europa.eu/gemet/concept/1266,ceramics,
geology,,,http://www.eionet.europa.eu/gemet/concept/12665,geotechnics,
physical property,,rock,http://www.eionet.europa.eu/gemet/concept/12666,rock mechanics,
geology,,,http://www.eionet.europa.eu/gemet/concept/12721,volcanology,
industrial process| waterside development,river channelling| river channelling,river| river,http://www.eionet.europa.eu/gemet/concept/1288,channelling,
coal,,,http://www.eionet.europa.eu/gemet/concept/1290,charcoal,
analysis,,chemical,http://www.eionet.europa.eu/gemet/concept/1298,chemical analysis,
mass media,,,http://www.eionet.europa.eu/gemet/concept/12985,speech,
chemical property,fuel composition,,http://www.eionet.europa.eu/gemet/concept/1299,chemical composition,
document type,,,http://www.eionet.europa.eu/gemet/concept/13026,thesis,
documentation,,,http://www.eionet.europa.eu/gemet/concept/13040,CD-ROM,
engineering,,,http://www.eionet.europa.eu/gemet/concept/1305,chemical engineering,
methodology| methodology| methodology| methodology| methodology,analytical method| measuring method| determination method| calculation method| biochemical method,agricultural method| agricultural method| agricultural method| agricultural method| agricultural method,http://www.eionet.europa.eu/gemet/concept/13088,method,
industry| industry| industry| industry| industry| industry,cosmetic industry| cosmetic industry| petrochemical industry| petrochemical industry| pharmaceutical industry| pharmaceutical industry,chemical installation| chemical plant| chemical installation| chemical plant| chemical installation| chemical plant,http://www.eionet.europa.eu/gemet/concept/1310,chemical industry,
