oBT,oNT,oRT,o,oPrefLabel,oAltLabels
regions of Spain,,,http://eurovoc.europa.eu/3386,Balearic Islands,Autonomous Community of the Balearic Islands
degradation of the environment| degradation of the environment,,afforestation| clearing of land,http://eurovoc.europa.eu/339,deforestation,felling of trees| felling of trees
OAS countries| ACP countries| Lesser Antilles| Caricom countries,,,http://eurovoc.europa.eu/3401,Antigua and Barbuda,
British West Indies| United Kingdom OCT,,,http://eurovoc.europa.eu/3402,Anguilla,
countries of the Pacific Community| Polynesia,,United States| United States,http://eurovoc.europa.eu/3411,American Samoa,Territory of American Samoa| Territory of American Samoa
countries of the Pacific Community| United Kingdom OCT| Polynesia,,,http://eurovoc.europa.eu/3416,Pitcairn Islands,Pitcairn Island| Pitcairn Island| Pitcairn Island
sub-Saharan Africa,,,http://eurovoc.europa.eu/342,Southern Africa,
rail transport| rail transport,,,http://eurovoc.europa.eu/3430,rail network,railway track| railway line
road transport| road transport,,,http://eurovoc.europa.eu/3438,road network,road| road connection
management| management,,budgetary reserve (EU)| budgetary reserve (EU),http://eurovoc.europa.eu/3443,reserves,special reserve| technical reserves
waste| waste| waste| waste,,metal by-product| metal by-product| metal by-product| metal by-product,http://eurovoc.europa.eu/345,industrial waste,industrial effluent| coal waste| red mud| sifting residue
protected area| protected area| protected area| protected area| protected area| protected area| protected area| protected area| protected area| protected area,,,http://eurovoc.europa.eu/3457,nature reserve,biosphere reserve| nature preserve| protected landscape| natural reserve| nature park| natural preserve| wildflower park| game reserve| game park| wildlife park
wood product,,,http://eurovoc.europa.eu/3478,resin,wood resin
sub-Saharan Africa,,,http://eurovoc.europa.eu/351,West Africa,
natural resources| natural resources,,water supply| water protection,http://eurovoc.europa.eu/3535,water resources,
natural resources| natural resources| natural resources,,fuel| available energy resources| energy crop,http://eurovoc.europa.eu/3538,energy resources,fuel resources| fuel resources| fuel resources
,,,http://eurovoc.europa.eu/3549,natural resources,
sub-Saharan Africa,,,http://eurovoc.europa.eu/357,East Africa,
administrative structures,,,http://eurovoc.europa.eu/361,devolution,
economic policy,,,http://eurovoc.europa.eu/369,deflation,deflationary policy
building materials| building materials| building materials,,,http://eurovoc.europa.eu/3690,floor coverings,flooring tile| flooring slab| tile
advanced materials,,,http://eurovoc.europa.eu/3695,amorphous materials,
mining industry| mining industry| mining industry,,,http://eurovoc.europa.eu/3747,ore deposit,mineral deposit| mineral seam| stratum
mining product,,,http://eurovoc.europa.eu/3754,metallic ore,
non-ferrous ore,,,http://eurovoc.europa.eu/3755,bauxite,
non-metallic ore,,chemical salt,http://eurovoc.europa.eu/3758,salt,
non-metallic ore,,chemical compound,http://eurovoc.europa.eu/3760,phosphate,
non-metallic ore| non-metallic ore,,chemical salt| fertiliser,http://eurovoc.europa.eu/3761,potash,
EU Member State| Warsaw Pact countries| Eastern Europe| Council of Europe countries| NATO countries,,regions of Romania| regions of Romania| regions of Romania| regions of Romania| regions of Romania,http://eurovoc.europa.eu/3763,Romania,
oil industry,,,http://eurovoc.europa.eu/3764,petroleum exploration,oil prospecting
petroleum product,,,http://eurovoc.europa.eu/3768,butane,
petroleum product,,,http://eurovoc.europa.eu/3769,paraffin,
motor fuel,,diesel engine,http://eurovoc.europa.eu/3772,diesel fuel,diesel oil
EU Member State| WEU countries| Western Europe| OECD countries| Council of Europe countries| NATO countries,,regions of the United Kingdom| regions of the United Kingdom| regions of the United Kingdom| regions of the United Kingdom| regions of the United Kingdom| regions of the United Kingdom,http://eurovoc.europa.eu/3774,United Kingdom,United Kingdom of Great Britain and Northern Ireland| United Kingdom of Great Britain and Northern Ireland| United Kingdom of Great Britain and Northern Ireland| United Kingdom of Great Britain and Northern Ireland| United Kingdom of Great Britain and Northern Ireland| United Kingdom of Great Britain and Northern Ireland
petroleum product,,,http://eurovoc.europa.eu/3775,propane gas,
ACP countries| East Africa,,,http://eurovoc.europa.eu/3784,Rwanda,Republic of Rwanda| Republic of Rwanda
space science,,,http://eurovoc.europa.eu/3790,astronomy,astrophysics
North Africa,,,http://eurovoc.europa.eu/3799,Western Sahara,
sub-Saharan Africa| sub-Saharan Africa| sub-Saharan Africa| sub-Saharan Africa,,drought| desertification| desert| arid zone,http://eurovoc.europa.eu/3804,Sahel,Sahel countries| Sahel countries| Sahel countries| Sahel countries
,,sulphur| uranium,http://eurovoc.europa.eu/3809,chemical element,
Southern Europe| Council of Europe countries,,,http://eurovoc.europa.eu/3814,San Marino,Republic of San Marino| Republic of San Marino
,,,http://eurovoc.europa.eu/3820,metallurgical industry,metallurgical production
West Africa| United Kingdom OCT| West Africa| United Kingdom OCT| West Africa| United Kingdom OCT| West Africa| United Kingdom OCT| West Africa| United Kingdom OCT| West Africa| United Kingdom OCT,,,http://eurovoc.europa.eu/3830,Saint Helena,Island of Saint Helena| Island of Saint Helena| Tristan da Cunha| Tristan da Cunha| Ascension Island| Ascension Island| Island of Saint Helena| Island of Saint Helena| Tristan da Cunha| Tristan da Cunha| Ascension Island| Ascension Island
OAS countries| ACP countries| Lesser Antilles| Caricom countries,,,http://eurovoc.europa.eu/3833,Saint Lucia,St Lucia| St Lucia| St Lucia| St Lucia
non-ferrous metal,,,http://eurovoc.europa.eu/3834,antimony,
non-ferrous metal,,,http://eurovoc.europa.eu/3835,beryllium,
non-ferrous metal,,,http://eurovoc.europa.eu/3836,cadmium,
metals,,,http://eurovoc.europa.eu/3837,ferro-alloy,
non-ferrous metal,,,http://eurovoc.europa.eu/3838,tantalum,
,,social sciences,http://eurovoc.europa.eu/385,demography,
ACP countries| countries of the Pacific Community| Polynesia| ACP countries| countries of the Pacific Community| Polynesia| ACP countries| countries of the Pacific Community| Polynesia,,,http://eurovoc.europa.eu/3858,Samoa,Navigators' Islands| Navigators' Islands| Navigators' Islands| Independent State of Samoa| Independent State of Samoa| Independent State of Samoa| Western Samoa| Western Samoa| Western Samoa
regions of Italy,,,http://eurovoc.europa.eu/3891,Sardinia,
regions of Germany,,,http://eurovoc.europa.eu/3903,Saarland,
space vehicle| space vehicle,,remote sensing| remote sensing,http://eurovoc.europa.eu/3905,satellite,artificial satellite| man-made satellite
regions of Germany,,,http://eurovoc.europa.eu/3918,Schleswig-Holstein,Schleswig-Holstein (Land)
document,,cartography,http://eurovoc.europa.eu/3930,atlas,map
social sciences| social sciences| social sciences| social sciences| social sciences| social sciences| social sciences| social sciences,,economy| econometrics| economy| econometrics| economy| econometrics| economy| econometrics,http://eurovoc.europa.eu/3933,economics,economic science| economic science| political economics| political economics| economic theory| economic theory| political economy| political economy
physical environment| physical environment,,atmospheric conditions| atmospheric conditions,http://eurovoc.europa.eu/3967,atmosphere,air| stratosphere
natural disaster| natural disaster,,arid zone| acidification,http://eurovoc.europa.eu/3988,drought,fight against drought| fight against drought
,,EU Member State| Treaty on European Union,http://eurovoc.europa.eu/4060,European Union,Union law| Union law
risk prevention,,natural disaster,http://eurovoc.europa.eu/4075,natural hazard,
metals| metals| metals| metals| metals,,,http://eurovoc.europa.eu/4084,semi-metal,silicon| boron| tellurium| selenium| arsenic
food preserving,,,http://eurovoc.europa.eu/4085,irradiation,ionisation
West Africa| ACP countries| Ecowas countries| WAEMU countries,,,http://eurovoc.europa.eu/4092,Senegal,Republic of Senegal| Republic of Senegal| Republic of Senegal| Republic of Senegal
physical sciences,,thermal energy,http://eurovoc.europa.eu/4108,thermodynamics,
document,,,http://eurovoc.europa.eu/4137,encyclopaedia,
documentary tool,,,http://eurovoc.europa.eu/4138,thesaurus,
waste| waste| waste,,,http://eurovoc.europa.eu/4141,domestic waste,used paper| household waste| solid urban waste
ACP countries| East Africa| ACP countries| East Africa,,,http://eurovoc.europa.eu/4148,Seychelles,Seychelle Islands| Seychelle Islands| Republic of Seychelles| Republic of Seychelles
geophysical environment| geophysical environment,,desertification| desertification,http://eurovoc.europa.eu/415,desert,Sahara| desert area
regions of Italy,,,http://eurovoc.europa.eu/4155,Sicily,
degradation of the environment,,acidification,http://eurovoc.europa.eu/416,desertification,salinisation
Oceania| APEC countries| OECD countries| Anzus countries,,,http://eurovoc.europa.eu/4160,Australia,Commonwealth of Australia| Commonwealth of Australia| Commonwealth of Australia| Commonwealth of Australia
West Africa| ACP countries| Ecowas countries,,,http://eurovoc.europa.eu/4161,Sierra Leone,Republic of Sierra Leone| Republic of Sierra Leone| Republic of Sierra Leone
APEC countries| ASEAN countries| South-East Asia,,,http://eurovoc.europa.eu/4164,Singapore,Republic of Singapore| Republic of Singapore| Republic of Singapore
degradation of the environment,,acidification,http://eurovoc.europa.eu/4165,acid rain,
food preserving,,,http://eurovoc.europa.eu/417,dehydration,drying
geology,,earthquake,http://eurovoc.europa.eu/4176,seismology,
,,share capital| type of business| share capital| type of business,http://eurovoc.europa.eu/4189,organisation,legal status of an undertaking| legal status of an undertaking| organization| organization
social sciences| social sciences,,sociology of law| social life,http://eurovoc.europa.eu/4205,sociology,
ACP countries| CAEU countries| Arab League countries| Horn of Africa,,,http://eurovoc.europa.eu/4212,Somalia,
ACP countries| CAEU countries| Arab League countries| East Africa,,,http://eurovoc.europa.eu/4217,Sudan,Republic of Sudan| Republic of Sudan| Republic of Sudan| Republic of Sudan
non-metallic ore,,,http://eurovoc.europa.eu/4218,sulphur,
maritime area,,,http://eurovoc.europa.eu/422,strait,international strait
economic development,,,http://eurovoc.europa.eu/4223,underdevelopment,
SAARC countries| South Asia| SAARC countries| South Asia,,,http://eurovoc.europa.eu/4246,Sri Lanka,Ceylon| Ceylon| Democratic Socialist Republic of Sri Lanka| Democratic Socialist Republic of Sri Lanka
,,health statistics| agricultural statistics| forestry statistics| trade statistics| transport statistics| fishing statistics| industrial statistics| defence statistics| population statistics| energy audit| tourism statistics| financial statistics| economic survey| education statistics| environmental statistics| health statistics| agricultural statistics| forestry statistics| trade statistics| transport statistics| fishing statistics| industrial statistics| defence statistics| population statistics| energy audit| tourism statistics| financial statistics| economic survey| education statistics| environmental statistics| health statistics| agricultural statistics| forestry statistics| trade statistics| transport statistics| fishing statistics| industrial statistics| defence statistics| population statistics| energy audit| tourism statistics| financial statistics| economic survey| education statistics| environmental statistics| health statistics| agricultural statistics| forestry statistics| trade statistics| transport statistics| fishing statistics| industrial statistics| defence statistics| population statistics| energy audit| tourism statistics| financial statistics| economic survey| education statistics| environmental statistics| health statistics| agricultural statistics| forestry statistics| trade statistics| transport statistics| fishing statistics| industrial statistics| defence statistics| population statistics| energy audit| tourism statistics| financial statistics| economic survey| education statistics| environmental statistics| health statistics| agricultural statistics| forestry statistics| trade statistics| transport statistics| fishing statistics| industrial statistics| defence statistics| population statistics| energy audit| tourism statistics| financial statistics| economic survey| education statistics| environmental statistics| health statistics| agricultural statistics| forestry statistics| trade statistics| transport statistics| fishing statistics| industrial statistics| defence statistics| population statistics| energy audit| tourism statistics| financial statistics| economic survey| education statistics| environmental statistics| health statistics| agricultural statistics| forestry statistics| trade statistics| transport statistics| fishing statistics| industrial statistics| defence statistics| population statistics| energy audit| tourism statistics| financial statistics| economic survey| education statistics| environmental statistics,http://eurovoc.europa.eu/4256,statistics,statistical information| statistical information| statistical information| statistical information| statistical information| statistical information| statistical information| statistical information| statistical information| statistical information| statistical information| statistical information| statistical information| statistical information| statistical information| statistical abstract| statistical abstract| statistical abstract| statistical abstract| statistical abstract| statistical abstract| statistical abstract| statistical abstract| statistical abstract| statistical abstract| statistical abstract| statistical abstract| statistical abstract| statistical abstract| statistical abstract| statistical data| statistical data| statistical data| statistical data| statistical data| statistical data| statistical data| statistical data| statistical data| statistical data| statistical data| statistical data| statistical data| statistical data| statistical data| statistical analysis| statistical analysis| statistical analysis| statistical analysis| statistical analysis| statistical analysis| statistical analysis| statistical analysis| statistical analysis| statistical analysis| statistical analysis| statistical analysis| statistical analysis| statistical analysis| statistical analysis| statistical table| statistical table| statistical table| statistical table| statistical table| statistical table| statistical table| statistical table| statistical table| statistical table| statistical table| statistical table| statistical table| statistical table| statistical table| statistical monitoring| statistical monitoring| statistical monitoring| statistical monitoring| statistical monitoring| statistical monitoring| statistical monitoring| statistical monitoring| statistical monitoring| statistical monitoring| statistical monitoring| statistical monitoring| statistical monitoring| statistical monitoring| statistical monitoring| statistical survey| statistical survey| statistical survey| statistical survey| statistical survey| statistical survey| statistical survey| statistical survey| statistical survey| statistical survey| statistical survey| statistical survey| statistical survey| statistical survey| statistical survey| statistical source| statistical source| statistical source| statistical source| statistical source| statistical source| statistical source| statistical source| statistical source| statistical source| statistical source| statistical source| statistical source| statistical source| statistical source
,,customs warehouse| dangerous substance| energy storage| storage of food| silo| customs warehouse| dangerous substance| energy storage| storage of food| silo| customs warehouse| dangerous substance| energy storage| storage of food| silo| customs warehouse| dangerous substance| energy storage| storage of food| silo,http://eurovoc.europa.eu/4291,storage,warehousing| warehousing| warehousing| warehousing| warehousing| storage site| storage site| storage site| storage site| storage site| storage facility| storage facility| storage facility| storage facility| storage facility| warehouse| warehouse| warehouse| warehouse| warehouse
EU Member State| Nordic Council countries| OECD countries| Northern Europe| Council of Europe countries,,regions of Sweden| regions of Sweden| regions of Sweden| regions of Sweden| regions of Sweden,http://eurovoc.europa.eu/4320,Sweden,Kingdom of Sweden| Kingdom of Sweden| Kingdom of Sweden| Kingdom of Sweden| Kingdom of Sweden
Western Europe| OECD countries| Council of Europe countries| EFTA countries| Western Europe| OECD countries| Council of Europe countries| EFTA countries,,,http://eurovoc.europa.eu/4324,Switzerland,Swiss Confederation| Swiss Confederation| Swiss Confederation| Swiss Confederation| Helvetic Confederation| Helvetic Confederation| Helvetic Confederation| Helvetic Confederation
Indonesia,,,http://eurovoc.europa.eu/4326,Sumatra,
climate change| climate change,,,http://eurovoc.europa.eu/433963,global warming,global warming potential| GWP
OAS countries| ACP countries| South America| Caricom countries| LAES countries| OAS countries| ACP countries| South America| Caricom countries| LAES countries,,,http://eurovoc.europa.eu/4342,Surinam,Dutch Guyana| Dutch Guyana| Dutch Guyana| Dutch Guyana| Dutch Guyana| Republic of Suriname| Republic of Suriname| Republic of Suriname| Republic of Suriname| Republic of Suriname
road network,,,http://eurovoc.europa.eu/4345,motorway,
Southern Africa| ACP countries,,,http://eurovoc.europa.eu/4351,Swaziland,Kingdom of Swaziland| Kingdom of Swaziland
EU Member State| Western Europe| OECD countries| Council of Europe countries,,regions of Austria| regions of Austria| regions of Austria| regions of Austria,http://eurovoc.europa.eu/4353,Austria,Republic of Austria| Republic of Austria| Republic of Austria| Republic of Austria
Mashreq| Mediterranean third countries| CAEU countries| Arab League countries| Arab Common Market countries,,,http://eurovoc.europa.eu/4354,Syria,Syrian Arab Republic| Syrian Arab Republic| Syrian Arab Republic| Syrian Arab Republic| Syrian Arab Republic
regions of France,,,http://eurovoc.europa.eu/4364,Auvergne,
industrial plant,,smoking,http://eurovoc.europa.eu/4373,tobacco,
Far East| APEC countries| Far East| APEC countries,,,http://eurovoc.europa.eu/4375,Taiwan,Republic of China (Taiwan)| Republic of China (Taiwan)| Formosa| Formosa
ACP countries| EAC countries| East Africa,,,http://eurovoc.europa.eu/4376,Tanzania,United Republic of Tanzania| United Republic of Tanzania| United Republic of Tanzania
document,,,http://eurovoc.europa.eu/438,dictionary,lexicon
cattle,,,http://eurovoc.europa.eu/4388,bull,
CAEMC countries| ACP countries| Central Africa,,,http://eurovoc.europa.eu/4410,Chad,Republic of Chad| Republic of Chad| Republic of Chad
Warsaw Pact countries| Eastern Bloc countries,,,http://eurovoc.europa.eu/4411,Czechoslovakia,
,,,http://eurovoc.europa.eu/4415,technology,engineering
data collection| data collection,,land use| cartography,http://eurovoc.europa.eu/4426,remote sensing,geolocalisation| geolocalisation
information processing,,,http://eurovoc.europa.eu/4441,terminology,
APEC countries| ASEAN countries| South-East Asia,,,http://eurovoc.europa.eu/4453,Thailand,Kingdom of Thailand| Kingdom of Thailand| Kingdom of Thailand
document,,higher education,http://eurovoc.europa.eu/4456,thesis,
regions of Greece,,,http://eurovoc.europa.eu/4458,Thessaly,Sporades
Indonesia,,,http://eurovoc.europa.eu/4460,Timor,West Timor
ACP countries| South-East Asia| ACP countries| South-East Asia| ACP countries| South-East Asia| ACP countries| South-East Asia,,,http://eurovoc.europa.eu/4461,East Timor,Portuguese Timor| Portuguese Timor| Democratic Republic of Timor-Leste| Democratic Republic of Timor-Leste| Timor-Leste| Timor-Leste| Democratic Republic of East Timor| Democratic Republic of East Timor
non-ferrous metal,,,http://eurovoc.europa.eu/4462,titanium,
West Africa| ACP countries| Ecowas countries| WAEMU countries,,,http://eurovoc.europa.eu/4465,Togo,Togolese Republic| Togolese Republic| Togolese Republic| Togolese Republic
ACP countries| countries of the Pacific Community| Polynesia,,,http://eurovoc.europa.eu/4466,Tonga,Kingdom of Tonga| Kingdom of Tonga| Kingdom of Tonga
regions of Italy,,,http://eurovoc.europa.eu/4468,Tuscany,
fossil fuel,,,http://eurovoc.europa.eu/4469,peat,
leisure| leisure,,bathing water| World Tourism Organisation,http://eurovoc.europa.eu/4470,tourism,tourist industry| tourist industry
oleaginous plant,,,http://eurovoc.europa.eu/4472,sunflower,sunflower seed
water management| water management| water management| water management| water management| water management| water management| water management| water management| water management| water management| water management,,sewage sludge| wastewater| sewage sludge| wastewater| sewage sludge| wastewater| sewage sludge| wastewater| sewage sludge| wastewater| sewage sludge| wastewater,http://eurovoc.europa.eu/4485,water treatment,processing of waste water| processing of waste water| chlorinisation| chlorinisation| purifying station| purifying station| water purification| water purification| purifying plant| purifying plant| desalination| desalination
wild mammal,,,http://eurovoc.europa.eu/450869,Chiroptera,bat
Channel Islands,,,http://eurovoc.europa.eu/451991,Jersey ,Bailiwick of Jersey
document,,,http://eurovoc.europa.eu/452,speech,
chemical element,,,http://eurovoc.europa.eu/4545,nitrogen,
OAS countries| Greater Antilles| ACP countries| Caricom countries| LAES countries,,,http://eurovoc.europa.eu/4567,Bahamas,Commonwealth of the Bahamas| Commonwealth of the Bahamas| Commonwealth of the Bahamas| Commonwealth of the Bahamas| Commonwealth of the Bahamas
GCC countries| Arab League countries| Gulf States,,,http://eurovoc.europa.eu/4572,Bahrain,Kingdom of Bahrain| Kingdom of Bahrain| Kingdom of Bahrain
non-flat product| non-flat product,,piping| piping,http://eurovoc.europa.eu/4575,tube,plastic tube| metal tube
non-ferrous metal,,,http://eurovoc.europa.eu/4577,tungsten,
Maghreb| Mediterranean third countries| Arab League countries| Maghreb| Mediterranean third countries| Arab League countries,,,http://eurovoc.europa.eu/4578,Tunisia,Republic of Tunisia| Republic of Tunisia| Republic of Tunisia| Tunisian Republic| Tunisian Republic| Tunisian Republic
Mediterranean third countries| OECD countries| Council of Europe countries| NATO countries| Middle East,,Southern Europe| Southern Europe| Southern Europe| Southern Europe| Southern Europe,http://eurovoc.europa.eu/4580,Turkey,Republic of Turkey| Republic of Turkey| Republic of Turkey| Republic of Turkey| Republic of Turkey
mechanical equipment| mechanical equipment| mechanical equipment| mechanical equipment,,,http://eurovoc.europa.eu/4584,piping,pipe connector| valve| pipe| taps
UN specialised agency,,,http://eurovoc.europa.eu/4595,Unesco,"United Nations Educational, Scientific and Cultural Organisation"
radioactive materials| radioactive materials| radioactive materials,,,http://eurovoc.europa.eu/4617,uranium,uranium 235| enriched uranium| natural uranium
town planning| town planning,,,http://eurovoc.europa.eu/4618,urbanisation,urbanization| urban development
Warsaw Pact countries| Eastern Bloc countries| Warsaw Pact countries| Eastern Bloc countries,,,http://eurovoc.europa.eu/4620,USSR,Soviet Union| Soviet Union| former USSR| former USSR
OAS countries| Mercosur countries| ALADI countries| South America| LAES countries| OAS countries| Mercosur countries| ALADI countries| South America| LAES countries,,,http://eurovoc.europa.eu/4621,Uruguay,Eastern Republic of Uruguay| Eastern Republic of Uruguay| Eastern Republic of Uruguay| Eastern Republic of Uruguay| Eastern Republic of Uruguay| Oriental Republic of Uruguay| Oriental Republic of Uruguay| Oriental Republic of Uruguay| Oriental Republic of Uruguay| Oriental Republic of Uruguay
regions of Italy,,,http://eurovoc.europa.eu/4640,Valle d'Aosta,
non-ferrous metal,,,http://eurovoc.europa.eu/4647,vanadium,
ACP countries| Melanesia| countries of the Pacific Community| ACP countries| Melanesia| countries of the Pacific Community,,,http://eurovoc.europa.eu/4648,Vanuatu,New Hebrides| New Hebrides| New Hebrides| Republic of Vanuatu| Republic of Vanuatu| Republic of Vanuatu
regions of Italy,,,http://eurovoc.europa.eu/4660,Veneto,
OAS countries| Mercosur countries| ALADI countries| South America| LAES countries| OPEC countries,,,http://eurovoc.europa.eu/4662,Venezuela,Bolivarian Republic of Venezuela| Bolivarian Republic of Venezuela| Bolivarian Republic of Venezuela| Bolivarian Republic of Venezuela| Bolivarian Republic of Venezuela| Bolivarian Republic of Venezuela
commercial transaction| commercial transaction| commercial transaction| commercial transaction,,horizontal agreement| distributive trades| vertical agreement| tied sales outlet,http://eurovoc.europa.eu/4663,sale,offering for sale| offering for sale| offering for sale| offering for sale
glass industry| glass industry| glass industry| glass industry| glass industry| glass industry| glass industry| glass industry,,,http://eurovoc.europa.eu/4676,glass,pane of glass| sheet glass| blown glass| bottle glass| drawn glass| crystal glass| unworked glass| window glass
Indonesia,,,http://eurovoc.europa.eu/4679,Bali,
,,election,http://eurovoc.europa.eu/4704,politics,political life
APEC countries| ASEAN countries| South-East Asia,,,http://eurovoc.europa.eu/4707,Vietnam,Socialist Republic of Viet Nam| Socialist Republic of Viet Nam| Socialist Republic of Viet Nam
food technology| food technology| food technology| food technology| food technology| food technology,,viticulture| viticulture| viticulture| viticulture| viticulture| viticulture,http://eurovoc.europa.eu/473,distillation,wine delivery| distillation operation| special distillation| voluntary distillation| preventive distillation| compulsory distillation
SAARC countries| South Asia,,,http://eurovoc.europa.eu/4732,Bangladesh,People's Republic of Bangladesh| People's Republic of Bangladesh
crop production| crop production,,chaptalisation| chaptalisation,http://eurovoc.europa.eu/4734,viticulture,grape production| winegrowing
tourism| tourism| tourism| tourism| tourism| tourism| tourism| tourism,,inclusive tour| group travel| inclusive tour| group travel| inclusive tour| group travel| inclusive tour| group travel,http://eurovoc.europa.eu/4767,travel,business travel| business travel| business trip| business trip| package tour| package tour| tourist travel| tourist travel
geology,,volcanic eruption,http://eurovoc.europa.eu/4770,volcanology,vulcanology
CAEU countries| Arab League countries| Arab Common Market countries| Middle East| CAEU countries| Arab League countries| Arab Common Market countries| Middle East| CAEU countries| Arab League countries| Arab Common Market countries| Middle East| CAEU countries| Arab League countries| Arab Common Market countries| Middle East,,,http://eurovoc.europa.eu/4775,Yemen,Aden protectorate| Aden protectorate| Aden protectorate| Aden protectorate| People's Republic of Yemen| People's Republic of Yemen| People's Republic of Yemen| People's Republic of Yemen| Republic of Yemen| Republic of Yemen| Republic of Yemen| Republic of Yemen| former South Yemen| former South Yemen| former South Yemen| former South Yemen
former socialist countries,,,http://eurovoc.europa.eu/4778,Yugoslavia,territories of the former Yugoslavia
ACP countries| East Africa| ACP countries| East Africa,,,http://eurovoc.europa.eu/4780,Zambia,Northern Rhodesia| Northern Rhodesia| Republic of Zambia| Republic of Zambia
ACP countries| East Africa| ACP countries| East Africa,,,http://eurovoc.europa.eu/4782,Zimbabwe,Republic of Zimbabwe| Republic of Zimbabwe| Southern Rhodesia| Southern Rhodesia
non-ferrous metal,,,http://eurovoc.europa.eu/4783,zinc,
biology| biology| biology| biology| biology| biology,,animal life| zootechnics| protected species| animal life| zootechnics| protected species,http://eurovoc.europa.eu/4810,zoology,animal genetics| animal genetics| animal genetics| entomology| entomology| entomology
UN specialised agency,,,http://eurovoc.europa.eu/4812,World Bank,World Bank Group
OAS countries| ACP countries| Lesser Antilles| Caricom countries| LAES countries,,,http://eurovoc.europa.eu/4816,Barbados,
regions of Italy,,,http://eurovoc.europa.eu/4823,Basilicata,
regions of Germany,,,http://eurovoc.europa.eu/4825,Lower Saxony,Lower Saxony (Land)
building industry| building industry| building industry| building industry,,industrial building| public building| industrial building| public building,http://eurovoc.europa.eu/4831,building,construction| construction| construction| construction
regions of Germany,,,http://eurovoc.europa.eu/4835,Bavaria,Bavaria (Free State of)
EU Member State| WEU countries| Benelux countries| Western Europe| OECD countries| Council of Europe countries| NATO countries,,regions and communities of Belgium| regions and communities of Belgium| regions and communities of Belgium| regions and communities of Belgium| regions and communities of Belgium| regions and communities of Belgium| regions and communities of Belgium,http://eurovoc.europa.eu/4839,Belgium,Kingdom of Belgium| Kingdom of Belgium| Kingdom of Belgium| Kingdom of Belgium| Kingdom of Belgium| Kingdom of Belgium| Kingdom of Belgium
ACP countries| Arab League countries| Horn of Africa| ACP countries| Arab League countries| Horn of Africa,,,http://eurovoc.europa.eu/484,Djibouti,Republic of Djibouti| Republic of Djibouti| Republic of Djibouti| Afars and Issas| Afars and Issas| Afars and Issas
Central America| OAS countries| ACP countries| Caricom countries| LAES countries| CAIS countries,,,http://eurovoc.europa.eu/4841,Belize,British Honduras| British Honduras| British Honduras| British Honduras| British Honduras| British Honduras
West Africa| ACP countries| Ecowas countries| WAEMU countries| West Africa| ACP countries| Ecowas countries| WAEMU countries,,,http://eurovoc.europa.eu/4846,Benin,Dahomey| Dahomey| Dahomey| Dahomey| Republic of Benin| Republic of Benin| Republic of Benin| Republic of Benin
regions of Germany,,,http://eurovoc.europa.eu/4847,Berlin,Berlin (Land)
North America| United Kingdom OCT| North America| United Kingdom OCT,,,http://eurovoc.europa.eu/4848,Bermuda,
building materials,,,http://eurovoc.europa.eu/4856,concrete,
SAARC countries| South Asia,,,http://eurovoc.europa.eu/4862,Bhutan,Kingdom of Bhutan| Kingdom of Bhutan
documentary tool| documentary tool| documentary tool,,library| library| library,http://eurovoc.europa.eu/4864,bibliography,bibliographical study| national bibliography| secondary journal
information service,,,http://eurovoc.europa.eu/4865,library,
energy policy| energy policy,,,http://eurovoc.europa.eu/4886,energy audit,energy situation| energy statistics
chemistry| chemistry| chemistry,,biodegradability| bioconversion| biology,http://eurovoc.europa.eu/4889,biochemistry,
prevention of pollution| prevention of pollution| prevention of pollution| prevention of pollution,,waste disposal| packaging| waste disposal| packaging,http://eurovoc.europa.eu/4891,biodegradability,biodegradation| biodegradation| biodeterioration| biodeterioration
document,,,http://eurovoc.europa.eu/4905,biography,autobiography
life sciences| life sciences| life sciences| life sciences| life sciences| life sciences| life sciences| life sciences| life sciences| life sciences| life sciences| life sciences,,bio-ethics| biometrics| bioclimatology| organic farming| bio-ethics| biometrics| bioclimatology| organic farming| bio-ethics| biometrics| bioclimatology| organic farming,http://eurovoc.europa.eu/4921,biology,embryology| embryology| embryology| embryology| bacteriology| bacteriology| bacteriology| bacteriology| microbiology| microbiology| microbiology| microbiology
biotechnology,,ecosystem,http://eurovoc.europa.eu/4930,biomass,
,,IFLA| European Centre for Parliamentary Research and Documentation| International Federation for Documentation| documentation centre| IFLA| European Centre for Parliamentary Research and Documentation| International Federation for Documentation| documentation centre| IFLA| European Centre for Parliamentary Research and Documentation| International Federation for Documentation| documentation centre,http://eurovoc.europa.eu/494,documentation,scientific documentation| scientific documentation| scientific documentation| scientific documentation| librarianship| librarianship| librarianship| librarianship| technical documentation| technical documentation| technical documentation| technical documentation
physical environment,,,http://eurovoc.europa.eu/4940,biosphere,
OAS countries| ACP countries| Lesser Antilles| Caricom countries,,,http://eurovoc.europa.eu/496,Dominica,Commonwealth of Dominica| Commonwealth of Dominica| Commonwealth of Dominica| Commonwealth of Dominica
ASEAN countries| South-East Asia| ASEAN countries| South-East Asia| ASEAN countries| South-East Asia,,,http://eurovoc.europa.eu/4966,Burma/Myanmar,Burma| Burma| Myanmar| Myanmar| Republic of the Union of Myanmar| Republic of the Union of Myanmar
liability,,associated action for damages,http://eurovoc.europa.eu/497,damage,material damage
commercial transaction,,,http://eurovoc.europa.eu/4983,purchase,
non-ferrous metal,,,http://eurovoc.europa.eu/4990,bismuth,
