oBT,oNT,oRT,o,oPrefLabel,oAltLabels
cooperation policy| cooperation policy| cooperation policy| cooperation policy| cooperation policy| cooperation policy| cooperation policy,,development worker| bilateral relations| international agreement| multilateral relations| foreign policy| international meeting| international relations,http://eurovoc.europa.eu/216,international cooperation,
ACP countries| EAC countries| East Africa,,,http://eurovoc.europa.eu/2203,Uganda,Republic of Uganda| Republic of Uganda| Republic of Uganda
chemical element,,,http://eurovoc.europa.eu/2214,oxygen,
atmosphere,,stratospheric pollution,http://eurovoc.europa.eu/2215,ozone,
SAARC countries| South Asia,,Kashmir question| Kashmir question,http://eurovoc.europa.eu/2222,Pakistan,Islamic Republic of Pakistan| Islamic Republic of Pakistan
Central America| OAS countries| LAES countries| CAIS countries,,Panama Canal| Panama Canal| Panama Canal| Panama Canal,http://eurovoc.europa.eu/2224,Panama,Republic of Panama| Republic of Panama| Republic of Panama| Republic of Panama
ACP countries| APEC countries| Melanesia| countries of the Pacific Community| ACP countries| APEC countries| Melanesia| countries of the Pacific Community,,,http://eurovoc.europa.eu/2229,Papua New Guinea,Independent State of Papua New Guinea| Independent State of Papua New Guinea| Independent State of Papua New Guinea| Independent State of Papua New Guinea| New Guinea| New Guinea| New Guinea| New Guinea
OAS countries| Mercosur countries| ALADI countries| South America| LAES countries,,,http://eurovoc.europa.eu/2231,Paraguay,Republic of Paraguay| Republic of Paraguay| Republic of Paraguay| Republic of Paraguay| Republic of Paraguay
protected area,,,http://eurovoc.europa.eu/2235,national park,
distribution of income,,socially disadvantaged class,http://eurovoc.europa.eu/2280,pauperisation,pauperization
EU Member State| EU Member State| WEU countries| WEU countries| Benelux countries| Benelux countries| Western Europe| Western Europe| OECD countries| OECD countries| Council of Europe countries| Council of Europe countries| NATO countries| NATO countries| EU Member State| EU Member State| WEU countries| WEU countries| Benelux countries| Benelux countries| Western Europe| Western Europe| OECD countries| OECD countries| Council of Europe countries| Council of Europe countries| NATO countries| NATO countries,,regions of the Netherlands| Netherlands OCT| regions of the Netherlands| Netherlands OCT| regions of the Netherlands| Netherlands OCT| regions of the Netherlands| Netherlands OCT| regions of the Netherlands| Netherlands OCT| regions of the Netherlands| Netherlands OCT| regions of the Netherlands| Netherlands OCT| regions of the Netherlands| Netherlands OCT| regions of the Netherlands| Netherlands OCT| regions of the Netherlands| Netherlands OCT| regions of the Netherlands| Netherlands OCT| regions of the Netherlands| Netherlands OCT| regions of the Netherlands| Netherlands OCT| regions of the Netherlands| Netherlands OCT,http://eurovoc.europa.eu/2286,Netherlands,Holland| Holland| Holland| Holland| Holland| Holland| Holland| Holland| Holland| Holland| Holland| Holland| Holland| Holland| Kingdom of the Netherlands| Kingdom of the Netherlands| Kingdom of the Netherlands| Kingdom of the Netherlands| Kingdom of the Netherlands| Kingdom of the Netherlands| Kingdom of the Netherlands| Kingdom of the Netherlands| Kingdom of the Netherlands| Kingdom of the Netherlands| Kingdom of the Netherlands| Kingdom of the Netherlands| Kingdom of the Netherlands| Kingdom of the Netherlands
regions of the United Kingdom,,,http://eurovoc.europa.eu/2290,Wales,
former socialist countries| former socialist countries,,Warsaw Pact countries| Comecon countries,http://eurovoc.europa.eu/2291,Eastern Bloc countries,Eastern Bloc| Eastern Bloc
,,energy supply,http://eurovoc.europa.eu/2292,supply,
regions of Greece,,,http://eurovoc.europa.eu/2315,Peloponnese,
regions of France,,,http://eurovoc.europa.eu/2328,Aquitaine,
GCC countries| Arab League countries| Gulf States| OPEC countries,,,http://eurovoc.europa.eu/2336,Saudi Arabia,Kingdom of Saudi Arabia| Kingdom of Saudi Arabia| Kingdom of Saudi Arabia| Kingdom of Saudi Arabia
Far East| APEC countries| OECD countries,,,http://eurovoc.europa.eu/235,South Korea,Republic of Korea| Republic of Korea| Republic of Korea
regions of Spain,,,http://eurovoc.europa.eu/2354,Aragon,Autonomous Community of Aragon
Far East| Far East,,,http://eurovoc.europa.eu/236,North Korea,DPRK| Democratic People’s Republic of Korea
Caribbean Islands| Caribbean Islands,,,http://eurovoc.europa.eu/2362,Lesser Antilles,Windward Islands| Leeward Islands
hydrocarbon| hydrocarbon| hydrocarbon| hydrocarbon,,mineral resources| hydrogen production| fossil fuel| bituminous materials,http://eurovoc.europa.eu/2366,petroleum,naphtha| naphtha| naphtha| naphtha
APEC countries| ASEAN countries| South-East Asia,,,http://eurovoc.europa.eu/2368,Philippines,Republic of the Philippines| Republic of the Philippines| Republic of the Philippines
social sciences| social sciences,,philosophy of law| political philosophy,http://eurovoc.europa.eu/2369,philosophy,
chemical element,,,http://eurovoc.europa.eu/2372,phosphorus,
chemistry,,,http://eurovoc.europa.eu/2373,photochemistry,
physical sciences| physical sciences| physical sciences,,nuclear chemistry| nuclear technology| nuclear energy,http://eurovoc.europa.eu/2376,nuclear physics,
regions of Italy,,,http://eurovoc.europa.eu/2379,Piedmont,
mining product| mining product| mining product,,jewellery and goldsmith's articles| jewellery and goldsmith's articles| jewellery and goldsmith's articles,http://eurovoc.europa.eu/2381,precious stones,jewel| diamond| gem
aquaculture,,fish,http://eurovoc.europa.eu/2384,fish farming,
geophysical environment,,,http://eurovoc.europa.eu/2389,plain,
fishery resources,,,http://eurovoc.europa.eu/2395,plankton,
forest,,wood product,http://eurovoc.europa.eu/2404,tree,
economic planning| economic planning| economic planning| economic planning| economic planning| economic planning| economic planning| economic planning| economic planning| economic planning| economic planning| economic planning| economic planning| economic planning| economic planning| economic planning| economic planning| economic planning| economic planning| economic planning,,technology park| regional economy| regional policy| growth point| technology park| regional economy| regional policy| growth point| technology park| regional economy| regional policy| growth point| technology park| regional economy| regional policy| growth point| technology park| regional economy| regional policy| growth point,http://eurovoc.europa.eu/2407,regional planning,territorial planning| territorial planning| territorial planning| territorial planning| regional plan| regional plan| regional plan| regional plan| regional programming| regional programming| regional programming| regional programming| regional management| regional management| regional management| regional management| inter-regional planning| inter-regional planning| inter-regional planning| inter-regional planning
flat product,,,http://eurovoc.europa.eu/2421,plate,rolled product
sea-bed,,maritime area,http://eurovoc.europa.eu/2423,continental shelf,
precious metal,,,http://eurovoc.europa.eu/2424,platinum,
non-ferrous metal,,,http://eurovoc.europa.eu/2428,lead,
radioactive materials,,chemical element,http://eurovoc.europa.eu/2429,plutonium,
degradation of the environment,,,http://eurovoc.europa.eu/243,corrosion,
UN programmes and funds| UN programmes and funds| UN programmes and funds| UN programmes and funds| UN programmes and funds| UN programmes and funds| UN programmes and funds| UN programmes and funds| UN programmes and funds| UN programmes and funds| UN programmes and funds,,,http://eurovoc.europa.eu/2431,UN Development Programme,UN Volunteers Programme| UN Development Fund for Women| UNIFEM| UNV| United Nations Volunteers| UNDP| UN Capital Development Fund| United Nations Development Programme| UNCDF| United Nations Development Fund for Women| United Nations Capital Development Fund
fishery resources| fishery resources| fishery resources| fishery resources| fishery resources| fishery resources,,fish product| fish disease| catch of fish| fish product| fish disease| catch of fish,http://eurovoc.europa.eu/2435,fish,species of fish| species of fish| species of fish| piscicultural species| piscicultural species| piscicultural species
social sciences,,,http://eurovoc.europa.eu/2453,archaeology,
regions of France,,,http://eurovoc.europa.eu/246,Corsica,
Central America| OAS countries| CACM countries| LAES countries| CAIS countries,,,http://eurovoc.europa.eu/247,Costa Rica,Republic of Costa Rica| Republic of Costa Rica| Republic of Costa Rica| Republic of Costa Rica| Republic of Costa Rica
fine arts| fine arts,,town planning| solar architecture,http://eurovoc.europa.eu/2471,architecture,
information service| information service,,digital archiving| document,http://eurovoc.europa.eu/2492,archives,filing| filing
precious metal,,,http://eurovoc.europa.eu/2514,silver,
,,environmental monitoring| prevention of pollution| cost of pollution| environmental monitoring| prevention of pollution| cost of pollution,http://eurovoc.europa.eu/2524,pollution,discharge of pollutants| discharge of pollutants| discharge of pollutants| contamination| contamination| contamination
OAS countries| Mercosur countries| ALADI countries| South America| LAES countries,,,http://eurovoc.europa.eu/2525,Argentina,Argentine Republic| Argentine Republic| Argentine Republic| Argentine Republic| Argentine Republic
pollution,,organic chemical,http://eurovoc.europa.eu/2537,organic pollution,
pollution,,thermal discharge,http://eurovoc.europa.eu/2541,thermal pollution,
EU Member State| Warsaw Pact countries| Eastern Europe| OECD countries| Council of Europe countries| NATO countries,,regions of Poland| regions of Poland| regions of Poland| regions of Poland| regions of Poland| regions of Poland,http://eurovoc.europa.eu/2543,Poland,Republic of Poland| Republic of Poland| Republic of Poland| Republic of Poland| Republic of Poland| Republic of Poland
plastics,,special polymer,http://eurovoc.europa.eu/2545,polymer,
Oceania,,,http://eurovoc.europa.eu/2546,Polynesia,
Oceania| French overseas collectivity| countries of the Pacific Community| Oceania| French overseas collectivity| countries of the Pacific Community| Oceania| French overseas collectivity| countries of the Pacific Community| Oceania| French overseas collectivity| countries of the Pacific Community| Oceania| French overseas collectivity| countries of the Pacific Community| Oceania| French overseas collectivity| countries of the Pacific Community| Oceania| French overseas collectivity| countries of the Pacific Community| Oceania| French overseas collectivity| countries of the Pacific Community,,,http://eurovoc.europa.eu/2547,French Polynesia,Austral Islands| Austral Islands| Austral Islands| Tahiti| Tahiti| Tahiti| Society Islands| Society Islands| Society Islands| Gambier Islands| Gambier Islands| Gambier Islands| Clipperton Island| Clipperton Island| Clipperton Island| Overseas Country of French Polynesia| Overseas Country of French Polynesia| Overseas Country of French Polynesia| Marquesas Islands| Marquesas Islands| Marquesas Islands| Tuamotu Islands| Tuamotu Islands| Tuamotu Islands
thermal equipment| thermal equipment| thermal equipment,,pump| heating| energy recovery,http://eurovoc.europa.eu/2549,heat pump,
EU Member State| WEU countries| OECD countries| Southern Europe| Council of Europe countries| NATO countries,,regions of Portugal| regions of Portugal| regions of Portugal| regions of Portugal| regions of Portugal| regions of Portugal,http://eurovoc.europa.eu/2563,Portugal,Portuguese Republic| Portuguese Republic| Portuguese Republic| Portuguese Republic| Portuguese Republic| Portuguese Republic
non-ferrous metal,,,http://eurovoc.europa.eu/2568,potassium,
regions of Italy,,,http://eurovoc.europa.eu/2570,Apulia,
atmospheric pollutant,,,http://eurovoc.europa.eu/2572,dust,
geophysical environment| geophysical environment| geophysical environment,,inland waters| inland waters| inland waters,http://eurovoc.europa.eu/260,watercourse,river| river basin| delta
Central Asia,,,http://eurovoc.europa.eu/261,Afghanistan,Islamic Republic of Afghanistan
,,competitiveness| transport price,http://eurovoc.europa.eu/2632,prices,
