sBT,sNT,sRT,s,sPrefLabel,sAltLabels,o
Mollusca| Invertebrata| Bivalvia,Cardium,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cardiidae,Cardiidae,,http://dbpedia.org/resource/Category:Cardiidae
organic materials| pigments,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/carotenoidi,carotenoids,,http://dbpedia.org/resource/Category:Carotenoids
solution features,,stalagmites| blind valley| karst spring| thermokarst| concretions| karren| karst hydrology| caves| swallow hole| stalactites| poljes| sinkholes| geomorphology| natural bridge| pseudokarst| dolines| solution| siphons| karst filling| solution cavities| pocket valley| paleokarst| Lepini Mountains| topography| karstification| shallow depth| underground streams| caverns| karstic lake,http://linkeddata.ge.imati.cnr.it/resource/ThIST/carsismo,karst,,http://dbpedia.org/resource/Category:Karst
,surficial geology maps| geophysical survey maps| isopleth maps| hydrographic maps| geologic maps| isoseismic maps| isobath maps| structure contour maps| paleogeographic maps| metallogenic maps| environmental geology  maps| base maps| hydrogeologic maps| site location maps| seismic survey maps| climatologic maps| hydrologic maps| industrial minerals maps| geochemical maps| soils maps| physiographic maps| glacial geology maps| isopiestic map| lithologic maps| aeromagnetic maps| bathymetric maps| electromagnetic survey maps| land use maps| coal deposit maps| paleocurrent maps| hydraulic maps| biogeographic maps| geologic hazards maps| index maps| isograd maps| geotectonic maps| geomorphologic maps| seismotectonic maps| cave maps| engineering geology maps| photogeologic maps| topographic maps| contour maps| seismicity maps| land cover maps| petroleum maps| stratigraphic maps| global maps| economic geology maps| radioactivity survey maps| structural maps| paleoclimate maps| tectonic maps| gravity survey maps| geophysical maps| magnetic survey maps| shaded relief maps| isopach maps| prediction maps,mineral exploration| publications| cartographic scales| areal geology| photogeology| aerial photography| stereographic projection| applied geology| geodesy| cartography| geophysical methods| isograds| atlas| structural geology| environmental geology| coordinates| explanatory text| geomorphology| prospecting| field geology| digital cartography| catalogs| geophysical surveys| Moon| legends| remote sensing| road log,http://linkeddata.ge.imati.cnr.it/resource/ThIST/carta,maps,,http://dbpedia.org/resource/Category:Maps
,digital cartography,Global Positioning System| triangulation| theodolite| cartographic scales| photogeology| aerial photography| stereographic projection| geodesy| topographic correction| maps| coordinates| geomorphology| field geology| hydrochemical maps| coordinate systems| geologists| altimetry| stereoscopy| topography| photogrammetry| legends| global maps| ARC/INFO| leveling| trilateration,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cartografia,cartography,,http://dbpedia.org/resource/Category:Cartography
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/castiglione,Rieti,,http://dbpedia.org/resource/Category:Rieti
,,geochemistry| analytical method,http://linkeddata.ge.imati.cnr.it/resource/ThIST/catalisi,catalysis,,http://dbpedia.org/resource/Category:Catalysis
,,geochemistry| anions| ions,http://linkeddata.ge.imati.cnr.it/resource/ThIST/catione,cations,,http://dbpedia.org/resource/Category:Cations
Europe| Europa Island| USSR,Northern Caucasus| Greater Caucasus,Russia| Azerbaijan| Elbrus| Transcaucasia| Georgian Republic,http://linkeddata.ge.imati.cnr.it/resource/ThIST/caucaso,Caucasus,,http://dbpedia.org/resource/Category:Caucasus
,,stalagmites| underground cavities| solution features| shore features| stalactites| karst| geomorphology| exsurgence| solution| solution cavities| cave maps| speleology| cave environment| speleothems| underground streams| volcanic features| caverns,http://linkeddata.ge.imati.cnr.it/resource/ThIST/caverna,caves,,http://dbpedia.org/resource/Category:Caves
,Carpathians| Bohemian Massif| Tatra Mountains| Bohemia| Moravia,Czech Republic| Slovakia,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cecoslovacchia1918-1993,Czechoslovakia,,http://dbpedia.org/resource/Category:Czechoslovakia
carbohydrates| organic materials,,lignin,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cellulosa,cellulose,,http://dbpedia.org/resource/Category:Cellulose
,,sediments| cementation| cement materials| grainstone| diagenesis| sedimentary rocks| sparite,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cemento,cement,,http://dbpedia.org/resource/Category:Cement
Phanerozoic,Awamoan| middle Pleistocene| Arikareean| Elsterian| Holocene| Brandon Stade| Tongrian| Thanetian| Sicilian| Neolithic| Riss/Wurm Interglacial| Clovis| Older Dryas| lower Pleistocene| Eocene| Turolian| upper Pleistocene| Neoglacial| Ipswichian| Riss| Tertiary| Gelasiano| lower Miocene| Iron Age| Barstovian| Altonian| upper Paleogene| Eggenburgian| upper Pliocene| Landenian| Sangamonian| Chadronian| lower Cenozoic| Paleocene| Pleistocene| Gunz| lower Pliocene| Helvetian| Romanian| Nebraskan| lower Paleocene| upper Paleolithic| upper Eocene| Gilbert Epoch| Lattorfian| Saucesian| Saalian| lower Paleogene| Biarritzian| Sarmatian| middle Miocene| Aftonian| Gauss Epoch| Chattian| Cimmerian| middle Eocene| Calabrian| Cromerian| Selandian| Levantinian| Plaisancian| Vindobonian| Tortonian| Refugian| Priabonian| Eemian| Mindel| Jaramillo Event| Matuyama Epoch| Hemphillian| Stampian| Astian| Badenian| Stone Age| Auversian| Meotian| Pannonian| Ludian| Boreal| Pontian| Hoxnian| Bartonian| Paleolithic| Akchagylian| Versilian| Narizian| Montian| Emilian| Acheulian| Vallesian| Ilerdian| Messinian| Younger Dryas| Quaternary| upper Cenozoic| Holsteinian| Aurignacian| Pliocene| Redonian| lower Holocene| Oldest Dryas| Pyrenean Orogeny| upper Quaternary| Tyrrhenian| Allerod| Rupelian| Danian| Serravallian| Preboreal| Illinoian| Woodfordian| upper Holocene| Egerian| Burdigalian| Brunhes Epoch| Oligocene| upper Oligocene| Bridgerian| Magdalenian| Paleogene| lower Eocene| Mindel/Riss Interglacial| Olduvai Event| Milazzian| Crotonian| Mousterian| Ottnangian| Perth Stade| Sparnacian| middle Pliocene| upper Paleocene| Ruscinian| Tabianian| Ulatisian| Ypresian| Bronze Age| Neogene| Langhian| Weichselian| Subboreal| Wurm| Dacian| Villafranchian| Sannoisian| Kansan| Miocene| lower Oligocene| Atlantic| upper Miocene| Cuisian| middle Holocene| Flandrian| Aquitanian| Danube Stade| Mesolithic| middle Cenozoic| Hemingfordian| Lutetian| Devensian,Tufo Grigio Campano| K-T boundary| Alpine Orogeny| Arenarie di Bismantova| Himalayan Orogeny| Scisti e Marne a Fucoidi| Formazione di Molare| Arenarie di Sangonini| Scisti Policromi| Granodiorite del Monte Capanne| Trubi| Scaglia Grigia| Flysch ad Elmintoidi| Scaglia Cinerea| Alberese| Calcareniti del Salento| Scaglia Toscana| Scaglia Variegata| Calcari di Spilecco| Marne di Priabona| Tufo Giallo Napoletano| Formazione a Colombacci| Pietra Piasentina| Selcifero Lombardo| Ceppo dell'Adda| Scaglia| Calcari di Monte Caio| Calcare di Rosignano| Argille Varicolori| Sienite di Biella| Tonalite dell'Adamello| Formazione Marnoso-arenacea| Scaglia Rossa| Macco| Appennine Orogenesis| Baltic Glaciation| Granito dell'Isola del Giglio| Granodiorite della Val Masino| Complesso Caotico| Marne a Pteropodi| Bisciaro| Scaglia Appenninica| Formazione dei Galestri| Macigno| Formazione Gessoso Solfifera| Granito di Montecristo| Panchina| Pietra Leccese,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cenozoico,Cenozoic,,http://dbpedia.org/resource/Category:Cenozoic
Mollusca| Tetrabranchiata| Cephalopoda| Ammonoidea| Invertebrata,Ceratitidae| Ceratites,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ceratitida,Ceratitida,,http://dbpedia.org/resource/Category:Ceratitida
Mollusca| Invertebrata| Mesogastropoda| Gastropoda,Cerithium,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cerithiidae,Cerithiidae,,http://dbpedia.org/resource/Category:Cerithiidae
worms| Invertebrata,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/chaetognatha,Chaetognatha,,http://dbpedia.org/resource/Category:Chaetognatha
Chlorophyta| algae| thallophytes| microfossils| Plantae,Characeae,charophytes,http://linkeddata.ge.imati.cnr.it/resource/ThIST/charophyta,Charophyta,,http://dbpedia.org/resource/Category:Charophyta
organic materials,,organic acids| fatty acids,http://linkeddata.ge.imati.cnr.it/resource/ThIST/chetone,ketones,,http://dbpedia.org/resource/Category:Ketones
,Mexico,Rio Usumacinta| Yucatan Peninsula,http://linkeddata.ge.imati.cnr.it/resource/ThIST/chiapas,Chiapas,,http://dbpedia.org/resource/Category:Chiapas
South America| Latin America,Patagonia| Strait of Magellan,Atacama Desert| Andes| Patagonian Andes| Patagonia| Tierra del Fuego,http://linkeddata.ge.imati.cnr.it/resource/ThIST/chile,Chile,,http://dbpedia.org/resource/Category:Chile
Tetrapoda| Chordata| Theria| Mammalia| Vertebrata| Eutheria,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/chiroptera,Chiroptera,,http://dbpedia.org/resource/Category:Chiroptera
Chlorophyta| algae| thallophytes| microfossils| Plantae,Receptaculitaceae| Halimeda| Dasycladaceae| Codiaceae,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/chlorophyceae,Chlorophyceae,,http://dbpedia.org/resource/Category:Chlorophyceae
,Tetrapoda| Proboscidea| Therapsida| Proteutheria| Embrithopoda| Elephas| Rhinocerotidae| Lacertilia| Suidae| Pyrotheria| Elephantidae| Rhynchosauria| Camelidae| Marsupialia| Ursus| Cynodontia| Neotoma| Symmetrodonta| Crocodilia| Osteichthyes| Homo| Holostei| Smilodon| Notoungulata| Lepidosauria| Pithecanthropus| Ungulata| Pterosauria| Homo sapiens| Eosuchia| Diapsida| Pliomys| Araeoscelidia| Stegodon| Australopithecus| Chiroptera| Diprotodonta| Rhipidistia| Muridae| Hyracoidea| Tillodontia| Actinistia| Mastodon| Placodontia| Castoridae| Tubulidentata| Amblypoda| Theria| Suiformes| Taeniodonta| Pelycosauria| Ceratopsia| Mesosauria| Coelodonta antiquitatis| Crossopterygii| Mustelidae| Amiidae| Bison| Desmostylia| Bos primigenius| Metatheria| Brachiopterygii| Creodonta| Acreodi| Ceratomorpha| Mammuthus primigenius| Cervus| Deinotherioidea| Acanthodes| Carnivora| Fissipeda| Chondrichthyes| Australopithecinae| Plesiosauria| Archaeopteryx| Rodentia| Arthrodira| Mammalia| Ceratopsidae| Bovidae| Litopterna| Elasmobranchii| Pongidae| Thecodontia| Cetacea| pre-Neanderthal| Hystricomorpha| Pholidota| Neanderthal| Acanthodii| Mosasauridae| Protoselachii| Hippopotamus| Felidae| Cervidae| Teleostei| Anapsida| Mastodontoidea| Mammuthus| Moeritherioidea| Platyrrhina| Tylopoda| Sauropoda| Microtus| Allophaiomys| Prosimii| Nothosauria| Homo habilis| Chelonia| Cercopithecidae| Vertebrata| Anura| Dinosauria| Pantodonta| Condylarthra| Astrapotheria| Labyrinthodontia| Agnatha| Hadrosauridae| Saurischia| Captorhinomorpha| Pteranodon| Perissodactyla| Halecostomi| Sciuromorpha| Ramapithecus| Eutheria| Holocephali| Temnospondyli| Canidae| Heterostraci| Cotylosauria| Primates| Theropoda| Ichthyosaurus| Cyprinidae| Teleosauridae| Paranthropus| Pantotheria| Dipnoi| Insectivora| Homo erectus| Macroscelida| carnivorous taxa| Ursidae| Chondrostei| Sirenia| Anuromorpha| Ursus spelaeus| Scandentia| Trilophosauria| Lagomorpha| Edentata| Lissamphibia| Euselachii| Hominidae| Odontornithes| Myomorpha| Sauropterygia| Protochordata| Hyaenidae| Barytherioidea| Gliridae| Docodonta| Pelomedusidae| Multituberculata| Elephas antiquus| Ruminantia| Amphibia| Equus| Pisces| Aves| Actinopterygii| Eubradyodonti| Mastodontidae| Ornithischia| Arctocyonia| Synapsida| Elephantoidea| Ceratodi| Canis| Monotremata| Anagalida| Artiodactyla| Archaeornithes| Triconodonta| Archosauria| Equidae| Hipparion| Lystrosaurus| Bos| Bradyodonti| Xenungulata| Dinocerata| Lepospondyli| Squamata| Pinnipedia| Selachii| Pareiasauria| Hippomorpha| Arvicolidae| Dermoptera| Placodermi| Macropodidae| Neornithes| Ichthyosauria| Cricetidae| Reptilia,Hemichordata| Prochordata,http://linkeddata.ge.imati.cnr.it/resource/ThIST/chordata,Chordata,,http://dbpedia.org/resource/Category:Chordata
Far East| Asia,Taipei Taiwan,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/chung-huamin-kuo,Taiwan,,http://dbpedia.org/resource/Category:Taiwan
,,toxic materials| pollutants| geochemistry| pollution,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cianuro,cyanides,,http://dbpedia.org/resource/Category:Cyanides
Mediterranean region| Europe| Europa Island| Southern Europe| Greece| Greek Aegean Islands,Thera,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cicladi,Cyclades,,http://dbpedia.org/resource/Category:Cyclades
,,climate| meteorology| rain storm| winds| isobars| troposphere,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ciclone,cyclones,,http://dbpedia.org/resource/Category:Cyclones
sorosilicates| silicates,dravite| eudialyte| benitoite| osumilite| bertrandite| roedderite| steenstrupine| indialite| lovozerite| scawtite| dioptase| dalyite| phosinaite,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ciclosilicati,cyclosilicates,,http://dbpedia.org/resource/Category:Cyclosilicates
Far East| Asia,Xizang China,Sinian| Himalayas| Mekongk River Basin| yellow-earth| Karakoram| Mekogk River| upper Sinian| Mount Everest,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cina,China,,http://dbpedia.org/resource/Category:China
,,kinetics| velocity,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cinematica,kinematics,,http://dbpedia.org/resource/Category:Kinematics
,FAO-UNESCO soil classification| soil taxonomy| terrain classification,miscellanea| identification| nomenclature| taxonomy| definition| incertae sedis| mineral group| chemical composition,http://linkeddata.ge.imati.cnr.it/resource/ThIST/classificazione,classification,,http://dbpedia.org/resource/Category:Classification
,,taiga environment| cyclones| climatic controls| semi-arid environment| atmospheric precipitation| meteorology| temperate environment| global| soils| drought| arid environment| humidity| equatorial region| paleoclimatology| soil-water balance| length of day| greenhouse effect| climatologic maps| arctic environment| subtropical environment| climate-induced circulation| intermittent stream| sedimentation| pluviometric station| latitude| winds| temperature| alpine environment| climate effects| desertification| storms| obliquity of the ecliptic| humid environment| atmosphere| factors| climate change| erosion cycle| Milankovitch theory| Foehn| monsoons| paleoatmosphere| pedogenesis| tropical environment| global warming| global change| El Nino,http://linkeddata.ge.imati.cnr.it/resource/ThIST/clima,climate,,http://dbpedia.org/resource/Category:Climate
halogens,Cl-36| Cl-37/Cl-35,salt,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cloro,chlorine,,http://dbpedia.org/resource/Category:Chlorine
,,eskers| pingos| mountains| tors| geomorphology| inselbergs| landforms| drumlins| mesas| palsas| topography,http://linkeddata.ge.imati.cnr.it/resource/ThIST/collina,hills,,http://dbpedia.org/resource/Category:Hills
South America| Latin America,Magdalena River| Bogota Colombia,Orinoco River| Andes| Orinoco River Basin| Amazon River Basin| Magdalena River Basin,http://linkeddata.ge.imati.cnr.it/resource/ThIST/colombia,Colombia,,http://dbpedia.org/resource/Category:Colombia
,,soils| crystal field| colorimetry| analytical method,http://linkeddata.ge.imati.cnr.it/resource/ThIST/colore,color,,http://dbpedia.org/resource/Category:Color
,surface mining| strip mining| cut-and-fill mining| underground mining| solution mining| open-pit mining,fines| quarries| underground quarries| mineral deposits| spoils| dredging| economic geology| mining legislation| positive ore| recovery| seams| gold field| exploitation| mining geology| pits| mines| dredged materials| tailings ponds| tailings| tunnels,http://linkeddata.ge.imati.cnr.it/resource/ThIST/coltivazionemineraria,mining,,http://dbpedia.org/resource/Category:Mining
,,processes| retorting| geochemistry| carbon cycle,http://linkeddata.ge.imati.cnr.it/resource/ThIST/combustione,combustion,,http://dbpedia.org/resource/Category:Combustion
,,comae| interplanetary space| meteorites| solar system| parent bodies| solar wind| meteors| tektites,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cometa,comets,,http://dbpedia.org/resource/Category:Comets
Africa| East Africa,Moroni Comoros,Indian Ocean| Mayotte| Mozambique Channel,http://linkeddata.ge.imati.cnr.it/resource/ThIST/comores,Comoros,,http://dbpedia.org/resource/Category:Comoros
,,principal components analysis| composition,http://linkeddata.ge.imati.cnr.it/resource/ThIST/componente,components,,http://dbpedia.org/resource/Category:Components
,,granitic composition| acidic composition| dacitic composition| calcareous composition| ferruginous composition| dolomitic composition| components| chemical analysis| glauconitic composition| mafic composition| basaltic composition| andesitic composition| peralkalic composition| alkalic composition| siliceous composition| calc-alkalic composition| iron-rich composition| calc-silicate composition| rhyolitic composition| phosphate composition| potassic composition| gabbroic composition| shoshonitic composition| arkosic composition| aluminous composition| saline composition| mineral composition| ferromanganese composition| manganese composition| calcic composition| transitional composition| peraluminous composition| lithogeochemistry| tholeiitic composition| ultramafic composition| carbonaceous composition,http://linkeddata.ge.imati.cnr.it/resource/ThIST/composizione,composition,,http://dbpedia.org/resource/Category:Composition
,,biotopes| paleoecology| biocenoses| assemblages| trophic analysis| succession| ecology,http://linkeddata.ge.imati.cnr.it/resource/ThIST/comunita,communities,,http://dbpedia.org/resource/Category:Communities
,,dynamos,http://linkeddata.ge.imati.cnr.it/resource/ThIST/concetto,concepts,,http://dbpedia.org/resource/Category:Concepts
Arthropoda| Invertebrata| Mandibulata| Crustacea,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/conchostraca,Branchiopoda,,http://dbpedia.org/resource/Category:Branchiopoda
,,stratigraphic sequence| stratigraphy| lithostratigraphy| stratigraphic columns| stratigraphic gaps,http://linkeddata.ge.imati.cnr.it/resource/ThIST/concordanzastratigrafica,conformity,,http://dbpedia.org/resource/Category:Conformity
,,sealing| petroleum| hydroelectric power plant| horizontal drilling| foundations| sewers| marine installations| water hammer| rock mechanics| underground installations| natural gas| power plants| soil mechanics| aqueduct| transportation,http://linkeddata.ge.imati.cnr.it/resource/ThIST/condotta,pipelines,,http://dbpedia.org/resource/Category:Pipelines
Africa| West Africa,Brazzaville Congo,Congo River| Congo River Basin,http://linkeddata.ge.imati.cnr.it/resource/ThIST/congo,Congo,,http://dbpedia.org/resource/Category:Congo
,,learned societies| annual report| International Geological Congress| current research| geology| associations| report| organization| progress report,http://linkeddata.ge.imati.cnr.it/resource/ThIST/congresso,meetings,,http://dbpedia.org/resource/Category:Meetings
,,epeirogeny| continental margin| island arcs| continental drift| continental slope| epicontinental seas| cratons| islands| marginal seas| Earth| continental shelf| tectonic platforms| continental nucleus| isostasy,http://linkeddata.ge.imati.cnr.it/resource/ThIST/continente,continents,,http://dbpedia.org/resource/Category:Continents
,,meteorology| boundary conditions| heat flow| mantle| plate tectonics| oceanography| atmosphere| aerosols| tectonophysics| convection currents,http://linkeddata.ge.imati.cnr.it/resource/ThIST/convezione,convection,,http://dbpedia.org/resource/Category:Convection
Rhodophyta| algae| thallophytes| microfossils| Plantae,Lithothamnium| Archaeolithothamnium| Lithophyllum,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/corallinaceae,Corallinaceae,,http://dbpedia.org/resource/Category:Corallinaceae
South America,Venezuelan Andes| Patagonian Andes,Venezuela| Chile| Andean Geosyncline| Perù| Ecuador| Argentina| Bolivia| Colombia| Andean Orogeny,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cordilleradelosandes,Andes,,http://dbpedia.org/resource/Category:Andes
Far East| Asia,South Korea| North Korea,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/corea,Korea,,http://dbpedia.org/resource/Category:Korea
Greece,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/corfu,Corfu,,http://dbpedia.org/resource/Category:Corfu
,,erosion| grain boundaries| hydrogen peroxide| chemical weathering| geomorphology| pits| destruction,http://linkeddata.ge.imati.cnr.it/resource/ThIST/corrosione,corrosion,,http://dbpedia.org/resource/Category:Corrosion
Europe| Europa Island| France| Western Europe,,Mediterranean region| Mediterranean Sea,http://linkeddata.ge.imati.cnr.it/resource/ThIST/corsica,Corsica,,http://dbpedia.org/resource/Category:Corsica
,,meteor craters| volcanology| astroblemes| cratering| impact features| maars| lunar craters| calderas| microcraters| geomorphology| crater lakes| cryptoexplosion features| impacts| Moon| volcanic cones| volcanic features| impact structures,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cratere,craters,,http://dbpedia.org/resource/Category:Craters
,,shields| continental margin| tectonic units| continents| intracratonic basins| tectonics| forelands| tectonic platforms| crust| protoquartzite| continental nucleus,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cratone,cratons,,http://dbpedia.org/resource/Category:Cratons
,,catastrophism| paleontology| biologic evolution| philosophy| actualism| education| life origin| geology,http://linkeddata.ge.imati.cnr.it/resource/ThIST/creazionismo,creationism,,http://dbpedia.org/resource/Category:Creationism
Mesozoic,upper Cenomanian| Bagh Beds| Gargasian| Gulfian| Lower Maastrichtian| Cenomanian| Vraconian| Albian| Hauterivian| Neocomian| upper Maestrichtian| Coniacian| lower Turonian| Lower Cretaceous| Santonian| Wealden| Aptian| Nubian Sandstone| Maestrichtian| Barremian| Lower Cenomanian| Purbeckian| Comanchean| Berriasian| Turonian| Campanian| Middle Cretaceous| Urgonian| Upper Cretaceous| Upper Cenomanian| upper Campanian| Valanginian| Senonian| Gault,Formazione di Testico| Maiolica| Formazione dei Calcari Palombini| K-T boundary| Brianconnais Zone| Scisti e Marne a Fucoidi| Tertiary| Scisti Policromi| Calcescisti con Pietre Verdi| Scaglia Bianca| Calcare del Cellina| Scaglia Cinerea| Scaglia Toscana| Ofioliti del Monte Beigua| Scaglia| Calcari di Monte Caio| Quarziti di Monte Bignone| Scaglia Rossa| Flysch di Monte Cassio| Pietraforte| Mattinata Limestones| Caranna Limestone| Calcari a Calpionelle| Ionian Zone| Scaglia Appenninica| Laramide Orogeny| Argille a Palombini| Bari Limestone| Biancone,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cretacico,Cretaceous,,http://dbpedia.org/resource/Category:Cretaceous
Tetrapoda| Chordata| Theria| Rodentia| Mammalia| Vertebrata| Eutheria| Myomorpha,Neotoma| Pliomys| Microtus| Allophaiomys,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cricetidae,Cricetidae,,http://dbpedia.org/resource/Category:Cricetidae
Echinodermata| Crinozoa| Invertebrata,Delocrinus| Inadunata,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/crinoidea,Crinoidea,,http://dbpedia.org/resource/Category:Crinoidea
,,point defects| habit| idiomorphism| xenocrysts| minerals| grain boundaries| structural crystallography| phenocrysts| crystallization| twinning plane| crystallography| reaction rims| crystal growth| intergrowths| crystal systems| piezoelectric properties| crystal zoning| crystal dislocations| defects| surface defects,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cristallo,crystals,,http://dbpedia.org/resource/Category:Crystals
,,pleochroism| point defects| phase equilibria| close packing| crystal lattice| symmetry| tetragonal system| color centers| petrology| crystal chemistry| minerals| grain boundaries| atomic packing| geochemistry| monoclinic system| goniometry| reaction rims| crystal growth| intergrowths| crystals| cubic system| X-ray analysis| triclinic system| Hauy's law| crystal systems| neutron diffraction analysis| electron microscopy| reflectance| hexagonal system| lattice parameters| growth spirals| standard materials| holography| mineralogy| crystal zoning| diffractogram| defects| Miller indices| spectroscopy| surface defects| paragenesis| orthorhombic system| clay mineralogy| crystal structure| trigonal system,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cristallografia,crystallography,,http://dbpedia.org/resource/Category:Crystallography
,crocoite,chromium,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cromati,chromates,,http://dbpedia.org/resource/Category:Chromates
analysis,,ion chromatography| chromatograms| liquid chromatography| analytical method| adsorption| gas chromatography| spectroscopy,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cromatografia,chromatography,,http://dbpedia.org/resource/Category:Chromatography
metals,Cr-51| Cr-53/Cr-52,chromite| chromates| crocoite| chromite ores,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cromo,chromium,,http://dbpedia.org/resource/Category:Chromium
,,geochronology| chronostratigraphic unit,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cronologia,chronology,,http://dbpedia.org/resource/Category:Chronology
Caribbean region| Latin America| Greater Antilles| Central America| Antilles,Santa Clara Cuba| Santiago de Cuba| La Habana Cuba,Caribbean Sea| Sierra Maestra,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cuba,Cuba,,http://dbpedia.org/resource/Category:Cuba
Spermatophyta| Coniferales| Plantae| Gymnospermae,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cupressaceae,Cupressaceae,,http://dbpedia.org/resource/Category:Cupressaceae
metals| actinides,,trans-uranium elements,http://linkeddata.ge.imati.cnr.it/resource/ThIST/curio,curium,,http://dbpedia.org/resource/Category:Curium
,,education,http://linkeddata.ge.imati.cnr.it/resource/ThIST/curriculum,curricula,,http://dbpedia.org/resource/Category:Curricula
Osteichthyes| Chordata| Teleostei| Vertebrata| Pisces| Actinopterygii,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cyprinidae,Cyprinidae,,http://dbpedia.org/resource/Category:Cyprinidae
Europe| Europa Island| Southern Europe,,Serbia and Montenegro| Bosnia-Herzegovina| Zadar Croatia| Yugoslavia| Croatia,http://linkeddata.ge.imati.cnr.it/resource/ThIST/dalmacija,Dalmatia,,http://dbpedia.org/resource/Category:Dalmatia
Middle East| Asia,,Turkey| Sea of Marmara| Aegean Sea,http://linkeddata.ge.imati.cnr.it/resource/ThIST/dardanelli,Dardanelles,,http://dbpedia.org/resource/Category:Dardanelles
,,geochronology| absolute age,http://linkeddata.ge.imati.cnr.it/resource/ThIST/dataassoluta,dates,,http://dbpedia.org/resource/Category:Dates
,,X-ray diffraction data| data processing| X-ray data| data acquisition| TGA data| data bases| data retrieval| neutron probe data| mineral data| DTA data| SEM data| ion probe data| electron probe data| neutron diffraction data| TEM data| new data| neutron activation analysis data| electron microscopy data,http://linkeddata.ge.imati.cnr.it/resource/ThIST/dato,data,,http://dbpedia.org/resource/Category:Data
,,classification| identification| nomenclature| photogrammetry| terminology,http://linkeddata.ge.imati.cnr.it/resource/ThIST/definizione,definition,,http://dbpedia.org/resource/Category:Definition
,,forests| forestry| conservation| land use| reclamation| ecology,http://linkeddata.ge.imati.cnr.it/resource/ThIST/deforestazione,deforestation,,http://dbpedia.org/resource/Category:Deforestation
,,buoyancy| specific gravity| compactness| dense nonaqueous phase liquids| bulk density| dissolved materials| convection currents| density logging| isostasy| sea water,http://linkeddata.ge.imati.cnr.it/resource/ThIST/densita,density,,http://dbpedia.org/resource/Category:Density
,,jaws| bones| paleopathology| skulls| Vertebrata| skeletons| anatomy,http://linkeddata.ge.imati.cnr.it/resource/ThIST/dente,teeth,,http://dbpedia.org/resource/Category:Teeth
,,climate| arid environment| processes| geomorphology| land preservation| deserts| ecology,http://linkeddata.ge.imati.cnr.it/resource/ThIST/desertificazione,desertification,,http://dbpedia.org/resource/Category:Desertification
eolian features,continental dunes,wadis| Yermosols| sand seas| arid environment| deflation| playas| sand sheets| barchans| geomorphology| hammadas| oasis| ergs| desertification| pediments| dust storms| eolian deposit| yardangs| dunes| desert varnish| ecology,http://linkeddata.ge.imati.cnr.it/resource/ThIST/deserto,deserts,,http://dbpedia.org/resource/Category:Deserts
Paleozoic,Lochkovian| Dittonian| Emsian| Pragian| Lower Devonian| Acadian Phase| Helderbergian| Frasnian| Couvinian| Strunian| Eifelian| Famennian| Siegenian| Middle Devonian| Upper Old Red Sandstone| Givetian| Gedinnian| Old Red Sandstone| Upper Devonian,Downtonian| Hercynian Orogeny| Dalradian| Antler Orogeny,http://linkeddata.ge.imati.cnr.it/resource/ThIST/devoniano,Devonian,,http://dbpedia.org/resource/Category:Devonian
