oBT,oNT,oRT,o,oPrefLabel,oAltLabels
Halogens,,,http://aims.fao.org/aos/agrovoc/c_1106,Bromine,Br (symbol)
Spices,,,http://aims.fao.org/aos/agrovoc/c_11091,garlic,
Chromatography,,,http://aims.fao.org/aos/agrovoc/c_11097,Gas chromatography,GC (gas chromatography)
Colloids,,,http://aims.fao.org/aos/agrovoc/c_11114,gels,
taxa,,,http://aims.fao.org/aos/agrovoc/c_11125,genus,
Ginkgoaceae,Ginkgo biloba,,http://aims.fao.org/aos/agrovoc/c_11161,Ginkgo,
South East Asia,,,http://aims.fao.org/aos/agrovoc/c_1125,Brunei Darussalam,Brunei
bryophytes| Embryophyta,Sphagnum| Sphagnum,,http://aims.fao.org/aos/agrovoc/c_1129,Bryophyta,mosses| mosses
Manmade structures| Manmade structures| Manmade structures| Manmade structures| Manmade structures| Manmade structures| Manmade structures| Manmade structures| Manmade structures| Manmade structures| Manmade structures| Manmade structures| Manmade structures| Manmade structures,Building components| Building components| Farm buildings| Farm buildings| kitchens| kitchens| Sheds| Sheds| Houses| Houses| Industrial buildings| Industrial buildings| Workshops| Workshops,Rural housing| housing| Rural housing| housing| Rural housing| housing| Rural housing| housing| Rural housing| housing| Rural housing| housing| Rural housing| housing,http://aims.fao.org/aos/agrovoc/c_1142,Buildings,Building structures| Building structures| Building structures| Building structures| Building structures| Building structures| Building structures| Building structures| Building structures| Building structures| Building structures| Building structures| Building structures| Building structures
Eastern Europe| Balkans,,,http://aims.fao.org/aos/agrovoc/c_1145,Bulgaria,People's Republic of Bulgaria| People's Republic of Bulgaria
France,,,http://aims.fao.org/aos/agrovoc/c_1153,Burgundy,
South East Asia| South East Asia| South East Asia| South East Asia,,,http://aims.fao.org/aos/agrovoc/c_1155,Myanmar,Socialist Republic of Burma| Burma| Union of Myanmar| Republic of the Union of Myanmar
Central Africa,,,http://aims.fao.org/aos/agrovoc/c_1159,Burundi,Republic of Burundi
Limb bones,,,http://aims.fao.org/aos/agrovoc/c_11637,Humerus,
Cyclones,,,http://aims.fao.org/aos/agrovoc/c_11650,hurricanes,Typhoons
Hydrology| Geology,,,http://aims.fao.org/aos/agrovoc/c_11669,Hydrogeology,Geohydrology| Geohydrology
cycling,,,http://aims.fao.org/aos/agrovoc/c_11670,hydrological cycle,Water cycle (global)
biological phenomena,Physiological adaptation,Acclimatization,http://aims.fao.org/aos/agrovoc/c_117,Adaptation,
wastes| wastes| wastes,Mine spoil| Coal byproducts| Slags,,http://aims.fao.org/aos/agrovoc/c_11763,Industrial wastes,
Transition elements,,,http://aims.fao.org/aos/agrovoc/c_1178,Cadmium,Cd (symbol)
Alkali metals| Alkali metals,,,http://aims.fao.org/aos/agrovoc/c_1182,Caesium,Cs (symbol)| Cesium
Elements| Elements,Natural isotopes| Radioisotopes,,http://aims.fao.org/aos/agrovoc/c_11852,Isotopes,
Italy,,,http://aims.fao.org/aos/agrovoc/c_1188,Calabria,
Central Asia,,,http://aims.fao.org/aos/agrovoc/c_11952,Kazakhstan,
Alkaline earth metals,,,http://aims.fao.org/aos/agrovoc/c_1196,Calcium,Ca (symbol)
Carbonates,,,http://aims.fao.org/aos/agrovoc/c_1197,Calcium carbonate,
Oxides,,,http://aims.fao.org/aos/agrovoc/c_1202,Calcium oxide,
Sulphates,,,http://aims.fao.org/aos/agrovoc/c_1203,Calcium sulphate,
Pacific States (USA)| Pacific States (USA)| Pacific States (USA),,,http://aims.fao.org/aos/agrovoc/c_1206,California,
Baltic States,,,http://aims.fao.org/aos/agrovoc/c_12103,Latvia,
Humanities| Humanities| Humanities| Humanities| Humanities| Humanities| Humanities| Humanities,Civil law| water law| Commercial law| International law| Case law| Common law| Law of the Sea| Customary law,,http://aims.fao.org/aos/agrovoc/c_12106,law,Legal principles| Legal principles| Legal principles| Legal principles| Legal principles| Legal principles| Legal principles| Legal principles
Baltic States,,,http://aims.fao.org/aos/agrovoc/c_12204,Lithuania,
Aquatic environment,,,http://aims.fao.org/aos/agrovoc/c_12208,Littoral environment,
handling,,,http://aims.fao.org/aos/agrovoc/c_12218,Loading,
Genetic soil types,,,http://aims.fao.org/aos/agrovoc/c_1224,Cambisols,
Optical properties| Optical properties| Optical properties,Phosphorescence| Thermoluminescence| Fluorescence,,http://aims.fao.org/aos/agrovoc/c_12270,Luminescence,
Lycopodiopsida,,,http://aims.fao.org/aos/agrovoc/c_12286,Lycopodiales,
Central Africa| Central Africa,,COMPACI| COMPACI,http://aims.fao.org/aos/agrovoc/c_1229,Cameroon,United Republic of Cameroon| Cameroun
Italy,,,http://aims.fao.org/aos/agrovoc/c_1230,Campania,
Benthos,,,http://aims.fao.org/aos/agrovoc/c_12312,Macrobenthos,
Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata,Papio| Lagomorpha| Rodentia| Didelphis| Tupaiidae| Dermoptera| Talpidae| Erinaceomorpha| Carnivora| Pan| Chiroptera| Whippomorpha| Cetacea| Monotremata| Callitrichidae| Proboscidea (Mammalia)| Sirenia| Tubulidentata| Pholidota| Perissodactyla| Artiodactyla| Xenarthra| Macropodidae| Insectivora| Mammalia miscellanea| Hyracoidea,mammals| mammals| mammals| mammals| mammals| mammals| mammals| mammals| mammals| mammals| mammals| mammals| mammals| mammals| mammals| mammals| mammals| mammals| mammals| mammals| mammals| mammals| mammals| mammals| mammals| mammals,http://aims.fao.org/aos/agrovoc/c_12358,Mammalia,
North America| North America| North America| North America| North America| North America| North America| North America| North America| North America| North America| North America,Northwest Territories| Nova Scotia| Prince Edward Island| Ontario| Alberta| Saskatchewan| Newfoundland| British Columbia| Quebec| New Brunswick| Yukon Territory| Manitoba,,http://aims.fao.org/aos/agrovoc/c_1236,Canada,
Fruits,,,http://aims.fao.org/aos/agrovoc/c_12367,Mangoes,
biology,,marine ecology,http://aims.fao.org/aos/agrovoc/c_12399,marine biology,
Spain,,,http://aims.fao.org/aos/agrovoc/c_1241,Canary Islands,
Spectrometry| Spectrometry,,,http://aims.fao.org/aos/agrovoc/c_12421,Mass spectrometry,Mass spectroscopy| MS
grasslands,,Leys,http://aims.fao.org/aos/agrovoc/c_12447,Meadows,
Saccharomycetales| Saccharomycetales| Saccharomycetales| Saccharomycetales| Saccharomycetales| Saccharomycetales| Saccharomycetales| Saccharomycetales| Saccharomycetales| Saccharomycetales| Saccharomycetales| Saccharomycetales| Saccharomycetales| Saccharomycetales| Saccharomycetales| Saccharomycetales| Saccharomycetales| Saccharomycetales| Saccharomycetales| Saccharomycetales,Candida rugosa| Candida rugosa| Candida albicans| Candida albicans| Candida guilliermondii| Candida guilliermondii| Candida tropicalis| Candida tropicalis| Candida parapsilosis| Candida parapsilosis| Candida utilis| Candida utilis| Candida maltosa| Candida maltosa| Candida cylindracea| Candida cylindracea| Candida arborea| Candida arborea| Candida kefyr| Candida kefyr,Pichia| Torulopsis| Pichia| Torulopsis| Pichia| Torulopsis| Pichia| Torulopsis| Pichia| Torulopsis| Pichia| Torulopsis| Pichia| Torulopsis| Pichia| Torulopsis| Pichia| Torulopsis| Pichia| Torulopsis,http://aims.fao.org/aos/agrovoc/c_1247,Candida,
Chelicerata,,,http://aims.fao.org/aos/agrovoc/c_12507,Merostomata,
Cannaceae| Cannaceae,Canna indica| Canna edulis,,http://aims.fao.org/aos/agrovoc/c_1252,Canna,
systems,testing,,http://aims.fao.org/aos/agrovoc/c_12522,methodology,
West Africa| West Africa| West Africa| West Africa,,,http://aims.fao.org/aos/agrovoc/c_1267,Cabo Verde,Republic of Cape Verde| Cape Verde Islands| Cape Verde| Republic of Cabo Verde
highlands,,,http://aims.fao.org/aos/agrovoc/c_12676,mountains,
chemical reactions,,,http://aims.fao.org/aos/agrovoc/c_12834,Nitrification,
Nitrogen oxides,,,http://aims.fao.org/aos/agrovoc/c_12838,Nitrous oxide,
Movement,,,http://aims.fao.org/aos/agrovoc/c_12863,Nutation,
Earth sciences| Earth sciences| Earth sciences| Marine sciences| Marine sciences| Marine sciences,Physical oceanography| Chemical oceanography| Fishery oceanography| Physical oceanography| Chemical oceanography| Fishery oceanography,,http://aims.fao.org/aos/agrovoc/c_12889,Oceanography,Oceanology| Oceanology| Oceanology| Oceanology| Oceanology| Oceanology
Marine areas,,,http://aims.fao.org/aos/agrovoc/c_12890,Oceans,Ocean spaces
Pisces miscellanea,,Bony fishes,http://aims.fao.org/aos/agrovoc/c_12985,Osteichthyes,
organic compounds| organic compounds| organic compounds| organic compounds| organic compounds| organic compounds| organic compounds| organic compounds,Sugar alcohols| Polysaccharides| Oligosaccharides| Glycosides| Sugars| Monosaccharides| Sugar phosphates| Sugar acids,,http://aims.fao.org/aos/agrovoc/c_1300,Carbohydrates,Saccharides| Saccharides| Saccharides| Saccharides| Saccharides| Saccharides| Saccharides| Saccharides
Nonmetals,Charcoal,,http://aims.fao.org/aos/agrovoc/c_1301,Carbon,C (symbol)
Dioxides| Dioxides,Atmospheric CO2| solid carbon dioxide,,http://aims.fao.org/aos/agrovoc/c_1302,carbon dioxide,CO2| CO2
Oxides,,,http://aims.fao.org/aos/agrovoc/c_1303,Carbon monoxide,
Climatology,,,http://aims.fao.org/aos/agrovoc/c_13034,Paleoclimatology,
Inorganic acid salts| Inorganic acid salts,Calcium carbonate| Bicarbonates,,http://aims.fao.org/aos/agrovoc/c_1306,Carbonates,
Lamniformes,,Sharks,http://aims.fao.org/aos/agrovoc/c_1312,Carcharodon,
Bivalvia,,,http://aims.fao.org/aos/agrovoc/c_1318,Cardium,
Western Central Atlantic| Western Central Atlantic,Gulf of Venezuela| Gulf of Paria,,http://aims.fao.org/aos/agrovoc/c_1321,Caribbean Sea,
mountain ranges,,,http://aims.fao.org/aos/agrovoc/c_1325247401429,Apennines,Apennine Mountains
Austria,,,http://aims.fao.org/aos/agrovoc/c_1326,Carinthia,
Mass media| Mass media| Mass media| Mass media,bibliographies| periodicals| bibliographies| periodicals,,http://aims.fao.org/aos/agrovoc/c_1329377502888,publications,
Phenolic compounds| Phenolic compounds,Resorcinols| nordihydroguaiaretic acid,,http://aims.fao.org/aos/agrovoc/c_13300,phenols,
Mammalia| Mammalia| Mammalia| Mammalia| Mammalia| Mammalia| Mammalia| Mammalia| Mammalia| Mammalia,Ursidae| Felidae| Pinnipedia| Hyaenidae| Ailuridae| Procyonidae| Viverridae| Canidae| Mustelidae| Fissipedia,,http://aims.fao.org/aos/agrovoc/c_1331,Carnivora,Carnivores (order)| Carnivores (order)| Carnivores (order)| Carnivores (order)| Carnivores (order)| Carnivores (order)| Carnivores (order)| Carnivores (order)| Carnivores (order)| Carnivores (order)
Photography,,,http://aims.fao.org/aos/agrovoc/c_13319,Photomicrography,
evolution,,,http://aims.fao.org/aos/agrovoc/c_13325,Phylogeny,
Pigments| Pigments| Pigments| Pigments| Pigments| Terpenoids| Terpenoids| Terpenoids| Terpenoids| Terpenoids,Retinoids| Carotenes| Retinol| Xanthophylls| Lycopene| Retinoids| Carotenes| Retinol| Xanthophylls| Lycopene,,http://aims.fao.org/aos/agrovoc/c_1333,Carotenoids,Carotinoids| Carotinoids| Carotinoids| Carotinoids| Carotinoids| Carotinoids| Carotinoids| Carotinoids| Carotinoids| Carotinoids
Plankton,,,http://aims.fao.org/aos/agrovoc/c_13344,Phytoplankton,Phytoplankton communities
mathematics,,,http://aims.fao.org/aos/agrovoc/c_1335430122507,geometry,
Betulaceae,Carpinus betulus,,http://aims.fao.org/aos/agrovoc/c_1336,Carpinus,hornbeam
mountain ranges,,,http://aims.fao.org/aos/agrovoc/c_1336052905435,Pyrenees,
Physical sciences,,,http://aims.fao.org/aos/agrovoc/c_1336463063312,astronomy,
