;s;o;KindOfLink;sBT;sNT;sRT;sPrefLabel;sAltLabels;oPrefLabel;oAltLabels;oBT;oNT;oRT;RT_similaritySInW;RT_wmdistance;RT_Mwmdistance;RT_SMwmdistance;RT_nhammingSim;RT_MnhammingSim;RT_SMnhammingSim;BT_similaritySInW;BT_wmdistance;BT_Mwmdistance;BT_SMwmdistance;BT_nhammingSim;BT_MnhammingSim;BT_SMnhammingSim;PrefLabel_similaritySInW;PrefLabel_wmdistance;PrefLabel_Mwmdistance;PrefLabel_SMwmdistance;PrefLabel_nhammingSim;PrefLabel_MnhammingSim;PrefLabel_SMnhammingSim
1576;http://linkeddata.ge.imati.cnr.it/resource/ThIST/salicaceae;http://aims.fao.org/aos/agrovoc/c_6745;E;;;;;;Salicaceae;;Salicales;Salix| Populus;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1577;http://linkeddata.ge.imati.cnr.it/resource/ThIST/salinita;http://aims.fao.org/aos/agrovoc/c_6751;E;;;brackish-water environment| salt marshes| desalinization| soils| water treatment| paleoecology| hydrochemistry| sedimentation| brackish water| springs| Solonchak soils| paleosalinity| salt| hypersaline environment| saline composition| soil management| soil treatment| sea water;salinity;;Salinity;;chemicophysical properties;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.220446049250313e-16;0.4722905219764693;0.0;0.0;0.875;1.0;1.0
1578;http://linkeddata.ge.imati.cnr.it/resource/ThIST/salmotrutta;http://aims.fao.org/aos/agrovoc/c_24702;E;;;;;;Salmo trutta;Brown trout| Sea trout;Salmo| Salmonidae;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1579;http://linkeddata.ge.imati.cnr.it/resource/ThIST/santalucia;http://aims.fao.org/aos/agrovoc/c_7349;E;;;;;;Saint Lucia;St Lucia;Caribbean;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1580;http://linkeddata.ge.imati.cnr.it/resource/ThIST/sapindaceae;http://aims.fao.org/aos/agrovoc/c_6792;E;;;;;;Sapindaceae;;Sapindales;Paullinia| Schleichera| Pometia| Dimocarpus| Nephelium| Blighia| Litchi;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1581;http://linkeddata.ge.imati.cnr.it/resource/ThIST/satellite;http://aims.fao.org/aos/agrovoc/c_14093;E;;Mimas Satellite| Dione Satellite| Iapetus Satellite| Janus Satellite| Oberon Satellite| Triton Satellite| Adrastea Satellite| Hyperion Satellite| Galilean satellites| Enceladus Satellite| Tethys Satellite| Phobos Satellite| Umbriel Satellite| Callisto Satellite| Europa Satellite| Charon Satellite| icy satellites| Deimos Satellite| Phoebe Satellite| Titania Satellite| Moon| Ariel Satellite| Nereid Satellite| Miranda Satellite| Ganymede Satellite;orbit| Uranus| Saturn| Neptune| Mars| Pluto| Jupiter;satellites;;Satellites;;Equipment;radar satellite| Earth observation satellites| artificial satellites| Landsat| Polar-orbiting satellite| Meteorological satellites| geostationary satellite;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-2.220446049250313e-16;0.367337152884349;0.0;0.0;0.9;1.0;1.0
1582;http://linkeddata.ge.imati.cnr.it/resource/ThIST/savana;http://aims.fao.org/aos/agrovoc/c_6825;E;;;Africa| revegetation| plains| geomorphology| grasslands| ecology;savannas;;Savannas;;vegetation;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6612073069839477;0.0;0.0;0.875;1.0;1.0
1583;http://linkeddata.ge.imati.cnr.it/resource/ThIST/saxifragaceae;http://aims.fao.org/aos/agrovoc/c_6835;E;;;;;;Saxifragaceae;;Saxifragales| Rosales;Bergenia| Saxifraga;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1584;http://linkeddata.ge.imati.cnr.it/resource/ThIST/scambioionico;http://aims.fao.org/aos/agrovoc/c_3933;E;;;electrolytes| soils| crystal chemistry| hydrochemistry| geochemistry| diffusivity| anions| cation exchange capacity| exchange capacity| diffusion| ions| clay mineralogy| crystal structure| sea water;ion exchange;;Ion exchange;Ionic balance;chemical reactions;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.2603659610369062;0.2478763449484591;2.5169276973967585;5.033855394793516;0.9166666666666666;1.0;2.0
1585;http://linkeddata.ge.imati.cnr.it/resource/ThIST/scienzedellaterra;http://aims.fao.org/aos/agrovoc/c_2438;E;;;education| textbooks| theoretical studies;Earth sciences;;Earth sciences;;sciences;Geochemistry| Hydrology| Palaeontology| Geophysics| Oceanography| Soil sciences| Geology| Meteorology;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.2052254150286346;0.0;1.9248329375911355;3.849665875182271;1.0;1.0;2.0
1586;http://linkeddata.ge.imati.cnr.it/resource/ThIST/scienzenaturali;http://aims.fao.org/aos/agrovoc/c_49914;E;;;;;;natural sciences;;sciences;life sciences| Atmospheric sciences;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1587;http://linkeddata.ge.imati.cnr.it/resource/ThIST/scogliera;http://aims.fao.org/aos/agrovoc/c_92343;E;;patch reefs| atolls| platform reefs| barrier reefs| back reef| algal reefs| fringing reefs| pinnacle reefs;sea-level changes| paleoecology| boundstone| Formazione di Pesco Falcone| reef sedimentation| reef builders| sedimentation| Coelenterata| sedimentary structures| hermatypic taxa| lagoons| marine geology| geomorphology| biogenic structures| oceanography| reef environment| spits| bioherms| biostromes| lithofacies| continental shelf| sedimentary rocks| shoals| ecology| carbonate banks;reefs;;Reefs;;physiographic features;Artificial reefs;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.528256272603035;0.0;0.0;0.8;1.0;1.0
1588;http://linkeddata.ge.imati.cnr.it/resource/ThIST/scrophulariaceae;http://aims.fao.org/aos/agrovoc/c_6884;E;;;;;;Scrophulariaceae;Buddlejaceae;Lamiales;Alectra| Scrophularia| Buddleja| Penstemon| Bacopa| Verbascum;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
