;Unnamed: 0;s;o;KindOfLinkRevised;KindOfLink;oBT;oRT;oPrefLabel;oAltLabels;sBT;sNT;sRT;sPrefLabel;sAltLabels;BT_similaritySInW;BT_wmdistance;BT_Mwmdistance;BT_SMwmdistance;BT_nhammingSim;BT_MnhammingSim;BT_SMnhammingSim;PrefLabel_similaritySInW;PrefLabel_wmdistance;PrefLabel_Mwmdistance;PrefLabel_SMwmdistance;PrefLabel_nhammingSim;PrefLabel_MnhammingSim;PrefLabel_SMnhammingSim;RT_similaritySInW;RT_wmdistance;RT_Mwmdistance;RT_SMwmdistance;RT_nhammingSim;RT_MnhammingSim;RT_SMnhammingSim
10;10;http://linkeddata.ge.imati.cnr.it/resource/ThIST/fiumenilo;http://aims.fao.org/aos/agrovoc/c_29739;E;E;Rivers| African inland waters;;Nile River;;Africa;;Burundi| Ethiopia| Lake Victoria| Blue Nile| Egypt| Sudan| Uganda| Nilo River Basin;Nile River;;11.032.507.565.713.900;17.469.641.248.010.700;2.383.022.633.055.240;2.383.022.633.055.240;0.0;0.8571428571428572;0.8571428571428572;2.324.870.343.202.170;0.0;17.279.246.592.006.600;34.558.493.184.013.300;1.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
11;11;http://linkeddata.ge.imati.cnr.it/resource/ThIST/madagascar;http://aims.fao.org/aos/agrovoc/c_4510;E;E;East Africa;;Madagascar;Democratic Republic of Madagascar| Malagasy Republic;Africa;Antananarivo;Indian Ocean| West Indian Ocean| Mozambique Channel;Madagascar;;0.1306540390138755;10.901.501.854.458.400;2.982.430.656.698.960;2.982.430.656.698.960;0.0;1.0;1.0;-1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12;12;http://linkeddata.ge.imati.cnr.it/resource/ThIST/niger;http://aims.fao.org/aos/agrovoc/c_5181;E;E;West Africa;;Niger;Republic of the Niger;Africa;Niamey Niger;Niger River Basin| Niger River| Sahel| Chad Basin| Sahara;Niger;;0.12346474544646857;13.418.372.878.197.300;289.396.331.075.716;289.396.331.075.716;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13;13;http://linkeddata.ge.imati.cnr.it/resource/ThIST/sahara;http://aims.fao.org/aos/agrovoc/c_29755;E;E;Deserts;;Sahara Desert;Libyan Desert;Africa;Western Sahara;Algeria| Algeri Algeria| Libya| Libyan Desert| Fezzan| Niger| Chad| Mauritania| Sahel| hammadas| Morocco| ergs| Egypt| Sudan| Tunis Tunisia| Tunisia;Sahara;;-0.8072485118126951;26.850.153.428.715.200;25.635.522.845.687.700;25.635.522.845.687.700;0.0;0.0;0.0;10.000.000.000.000.000;16.705.911.414.287.600;19.637.017.397.566.500;19.637.017.397.566.500;0.46153846153846156;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14;14;http://linkeddata.ge.imati.cnr.it/resource/ThIST/sahel;http://aims.fao.org/aos/agrovoc/c_6734;E;E;Africa South of Sahara;;Sahel;;Africa;;Niger| Chad| Mauritania| Mali| Sahara| Senegal;Sahel;;2.0;14.314.259.652.429.800;25.131.573.557.600.100;25.131.573.557.600.100;0.2727272727272727;1.0;1.0;-1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
15;15;http://linkeddata.ge.imati.cnr.it/resource/ThIST/burundi;http://aims.fao.org/aos/agrovoc/c_1159;E;E;Central Africa;;Burundi;Republic of Burundi;Africa| Central Africa;Bujumbura Burundi;East African Rift| Lake Tanganyika| Nile River| Nilo River Basin;Burundi;;309.543.849.152.855;0.4086586314129019;18.381.068.729.966.100;5.514.320.618.989.850;0.13636363636363635;1.0;3.0;-1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
16;16;http://linkeddata.ge.imati.cnr.it/resource/ThIST/gabon;http://aims.fao.org/aos/agrovoc/c_3161;E;E;Central Africa;;Gabon;Gabonese Republic;Africa| Central Africa;Libreville Gabon;Ogooué River;Gabon;;309.543.849.152.855;0.4086586314129019;18.381.068.729.966.100;5.514.320.618.989.850;0.13636363636363635;1.0;3.0;-1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
17;17;http://linkeddata.ge.imati.cnr.it/resource/ThIST/guineaequatorial;http://aims.fao.org/aos/agrovoc/c_2627;E;E;Central Africa;;Equatorial Guinea;Fernando Po| Rio Muni| Republic of Equatorial Guinea| Spanish Guinea;Africa| Central Africa;Bioko Island| Malabo Equatorial Guinea;Gulf of Guinea;Equatorial Guinea;;309.543.849.152.855;0.4086586314129019;18.381.068.729.966.100;5.514.320.618.989.850;0.13636363636363635;1.0;3.0;2.177.406.804.442.960;0.0;16.276.175.713.005.700;32.552.351.426.011.500;1.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
18;18;http://linkeddata.ge.imati.cnr.it/resource/ThIST/lagokivu;http://aims.fao.org/aos/agrovoc/c_29709;E;E;Lakes| African inland waters;;Lake Kivu;;Africa| Central Africa;;Democratic Republic of Congo| Rwanda;Lake Kivu;;39.376.067.073.554.500;12.007.208.098.044.000;3.121.160.160.290.120;838.990.853.079.195;0.0;0.8571428571428572;18.571.428.571.428.500;2,22E-01;0.0;2.636.958.629.026.670;5.273.917.258.053.340;1.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
19;19;http://linkeddata.ge.imati.cnr.it/resource/ThIST/rwanda;http://aims.fao.org/aos/agrovoc/c_6717;E;E;Central Africa;;Rwanda;Republic of Rwanda| Rwandese Republic;Africa| Central Africa;Kigali Rwanda;East African Rift| Lake Kivu;Rwanda;;309.543.849.152.855;0.4086586314129019;18.381.068.729.966.100;5.514.320.618.989.850;0.13636363636363635;1.0;3.0;-1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20;20;http://linkeddata.ge.imati.cnr.it/resource/ThIST/as-sudan;http://aims.fao.org/aos/agrovoc/c_7497;E;E;East Africa;;Sudan;Democratic Republic of the Sudan| Republic of the Sudan;Africa| East Africa;Khartoum Sudan;Nubia| Blue Nile| Nile River| Sahara| Nile Valley;Sudan;;32.613.080.780.277.500;0.4192860620694351;2.982.430.656.698.960;8.947.291.970.096.900;0.0;1.0;3.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
21;21;http://linkeddata.ge.imati.cnr.it/resource/ThIST/comores;http://aims.fao.org/aos/agrovoc/c_1790;E;E;East Africa;;Comoros;Etat Comorien| Moheli| Anjouan| Comoro Islands| Grande Comore;Africa| East Africa;Moroni Comoros;Indian Ocean| Mayotte| Mozambique Channel;Comoros;;32.613.080.780.277.500;0.4192860620694351;2.982.430.656.698.960;8.947.291.970.096.900;0.0;1.0;3.0;-1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
22;22;http://linkeddata.ge.imati.cnr.it/resource/ThIST/itiopya;http://aims.fao.org/aos/agrovoc/c_2676;E;E;East Africa;;Ethiopia;Abyssinia;Africa| East Africa;Red Sea| Adis Abeba Ethiopia| Afar| Blue Nile| Tigre Ethiopia| Acobo River| Dankalia;Lake Rudolf| Red Sea Basin| Ethiopian Rift| Nile River;Ethiopia;;32.613.080.780.277.500;0.4192860620694351;2.982.430.656.698.960;8.947.291.970.096.900;0.0;1.0;3.0;-1,11E+00;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
23;23;http://linkeddata.ge.imati.cnr.it/resource/ThIST/kenya;http://aims.fao.org/aos/agrovoc/c_4086;E;E;East Africa;;Kenya;Republic of Kenya;Africa| East Africa;Nairobi Kenya;Lake Rudolf| East African Rift| Lake Victoria| Mount Kenya;Kenya;;32.613.080.780.277.500;0.4192860620694351;2.982.430.656.698.960;8.947.291.970.096.900;0.0;1.0;3.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
24;24;http://linkeddata.ge.imati.cnr.it/resource/ThIST/malawi;http://aims.fao.org/aos/agrovoc/c_4532;E;E;Southern Africa;COMPACI;Malawi;Republic of Malawi;Africa| East Africa;Lilongwe;East African Rift| Nyasa Lake;Malawi;;23.539.259.386.691.100;12.296.864.920.623.900;2.982.430.656.698.960;7.642.361.647.981.130;0.0;1.0;2.125;-1.0;0.0;0.0;0.0;1.0;1.0;1.0;-1.0;2.863.112.246.121.450;3.466.870.564.530.640;13.552.785.109.792.000;0.0;0.1428571428571429;0.1428571428571429
25;25;http://linkeddata.ge.imati.cnr.it/resource/ThIST/seychelles;http://aims.fao.org/aos/agrovoc/c_7017;E;E;East Africa;;Seychelles;Republic of Seychelles;Africa| East Africa;Victoria Seychelles;Indian Ocean| islands;Seychelles;;32.613.080.780.277.500;0.4192860620694351;2.982.430.656.698.960;8.947.291.970.096.900;0.0;1.0;3.0;-1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
26;26;http://linkeddata.ge.imati.cnr.it/resource/ThIST/soomaaliya;http://aims.fao.org/aos/agrovoc/c_7237;E;E;East Africa;;Somalia;Somali Republic| Somali Democratic Republic| Federal Republic of Somalia;Africa| East Africa;Muqdisho Somalia| Afar Depression| Migiurtin;Gulf of Adenl;Somalia;;32.613.080.780.277.500;0.4192860620694351;2.982.430.656.698.960;8.947.291.970.096.900;0.0;1.0;3.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
