Broaders Of THIST Concept;THIST Concept's PrefLabel;THIST Concept  URI;DBPEDIA Concept URI;DBPEDIA Concept's PrefLabel;Broaders Of  DBPEDIA Concept;"E =ExactMAtch ; C= CloseMatch ; B= broaderMatch ; N= NarrowMAtch   NA= in corrispondenza di una della righe dei mapping che secondo voi non sono da accettare;  (definizioni  relazioni di mapping sono rintracciabili su http://www.w3.org/TR/skos-reference/#mapping)"
Africa| East Africa;Sudan;http://linkeddata.ge.imati.cnr.it/resource/ThIST/as-sudan;http://dbpedia.org/resource/Category:Sudan;Sudan;North African countries| North African countries;E
Africa| East Africa;Sudan;http://linkeddata.ge.imati.cnr.it/resource/ThIST/as-sudan;http://dbpedia.org/resource/Category:Sudan;Sudan;Wikipedia categories named after countries| Wikipedia categories named after countries;E
Africa| East Africa;Comoros;http://linkeddata.ge.imati.cnr.it/resource/ThIST/comores;http://dbpedia.org/resource/Category:Comoros;Comoros;Countries in Africa| Countries in Africa;E
Africa| East Africa;Comoros;http://linkeddata.ge.imati.cnr.it/resource/ThIST/comores;http://dbpedia.org/resource/Category:Comoros;Comoros;East Africa| East Africa;E
Africa| East Africa;Comoros;http://linkeddata.ge.imati.cnr.it/resource/ThIST/comores;http://dbpedia.org/resource/Category:Comoros;Comoros;Island countries| Island countries;E
Africa| East Africa;Comoros;http://linkeddata.ge.imati.cnr.it/resource/ThIST/comores;http://dbpedia.org/resource/Category:Comoros;Comoros;Member states of the Arab League| Member states of the Arab League;E
Africa| East Africa;Comoros;http://linkeddata.ge.imati.cnr.it/resource/ThIST/comores;http://dbpedia.org/resource/Category:Comoros;Comoros;Wikipedia categories named after countries| Wikipedia categories named after countries;E
Africa| East Africa;Comoros;http://linkeddata.ge.imati.cnr.it/resource/ThIST/comores;http://dbpedia.org/resource/Category:Comoros;Comoros;Wikipedia categories named after islands| Wikipedia categories named after islands;E
Africa| East Africa;Eritrea;http://linkeddata.ge.imati.cnr.it/resource/ThIST/ertra;http://dbpedia.org/resource/Category:Eritrea;Eritrea;Arabic-speaking countries and territories| Arabic-speaking countries and territories;E
Africa| East Africa;Eritrea;http://linkeddata.ge.imati.cnr.it/resource/ThIST/ertra;http://dbpedia.org/resource/Category:Eritrea;Eritrea;Countries in Africa| Countries in Africa;E
Africa| East Africa;Eritrea;http://linkeddata.ge.imati.cnr.it/resource/ThIST/ertra;http://dbpedia.org/resource/Category:Eritrea;Eritrea;English-speaking countries and territories| English-speaking countries and territories;E
Africa| East Africa;Eritrea;http://linkeddata.ge.imati.cnr.it/resource/ThIST/ertra;http://dbpedia.org/resource/Category:Eritrea;Eritrea;Horn of Africa| Horn of Africa;E
