;s;o;KindOfLink;sBT;sNT;sRT;sPrefLabel;sAltLabels;oPrefLabel;oAltLabels;oBT;oNT;oRT;RT_similaritySInW;RT_wmdistance;RT_Mwmdistance;RT_SMwmdistance;RT_nhammingSim;RT_MnhammingSim;RT_SMnhammingSim;BT_similaritySInW;BT_wmdistance;BT_Mwmdistance;BT_SMwmdistance;BT_nhammingSim;BT_MnhammingSim;BT_SMnhammingSim;PrefLabel_similaritySInW;PrefLabel_wmdistance;PrefLabel_Mwmdistance;PrefLabel_SMwmdistance;PrefLabel_nhammingSim;PrefLabel_MnhammingSim;PrefLabel_SMnhammingSim
837;http://linkeddata.ge.imati.cnr.it/resource/ThIST/ossigeno;http://dbpedia.org/resource/Category:Oxygen;E;;O-18/O-16| O-16| O-17/O-16| O-18;chemical elements| stable isotopes| isotopes| atmosphere| oxidation| ozone;oxygen;;Oxygen;;Diatomic nonmetals| Chalcogens| Chemical elements| Wikipedia categories named after chemical elements;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-2.220446049250313e-16;0.4461655152763824;0.0;0.0;0.8333333333333334;1.0;1.0
838;http://linkeddata.ge.imati.cnr.it/resource/ThIST/osteologia;http://dbpedia.org/resource/Category:Osteology;E;;;paleontology| bones;osteology;;Osteology;;Bones| Biological anthropology;;Orthopedic surgical procedures;0.07436439463624761;1.4400300904587393;2.1682935504039027;4.248048412875517;0.033333333333333326;0.08333333333333337;0.08333333333333337;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.1102230246251563e-16;0.29744278452167666;0.0;0.0;0.8888888888888888;1.0;1.0
839;http://linkeddata.ge.imati.cnr.it/resource/ThIST/ottimizzazione;http://dbpedia.org/resource/Category:Optimization;E;;;ore beneficiation| production| quality controls| methods;optimization;;Optimization;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
840;http://linkeddata.ge.imati.cnr.it/resource/ThIST/ozono;http://dbpedia.org/resource/Category:Ozone;E;;;atmosphere| oxygen| stratosphere;ozone;;Ozone;;Oxidizing agents| Homonuclear triatomic molecules| Oxygen;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.535397547536564;0.0;0.0;0.8;1.0;1.0
841;http://linkeddata.ge.imati.cnr.it/resource/ThIST/pakistan;http://dbpedia.org/resource/Category:Pakistan;E;;Salt Range;Hindu Kush| Himalayas| Kashmir| Indus River| Karakoram| Indus Valley| Pamirs;Pakistan;;Pakistan;;Pashto-speaking countries and territories| South Asian countries| Countries in Asia| Federal republics| English-speaking countries and territories| Wikipedia categories named after countries;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.220446049250313e-16;0.0;0.0;0.0;1.0;1.0;1.0
842;http://linkeddata.ge.imati.cnr.it/resource/ThIST/paleobiologia;http://dbpedia.org/resource/Category:Paleobiology;E;;;geomicrobiology| fossils| paleontology| biology| biochemistry;paleobiology;;Paleobiology;;Branches of biology| Subfields of paleontology;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.1102230246251563e-16;0.30700187561476644;0.0;0.0;0.9166666666666666;1.0;1.0
843;http://linkeddata.ge.imati.cnr.it/resource/ThIST/paleoclimatologia;http://dbpedia.org/resource/Category:Paleoclimatology;E;;;climate| taiga environment| temperate environment| interglacial environment| arid environment| fossils| paleoecology| glacial periods| length of day| climatologic maps| arctic environment| subtropical environment| boreal environment| glaciation| O-18/O-16| hot guest| encrustations| paleotemperature| Boreal| cold guest| cycles| indicators| C-13/C-12| obliquity of the ecliptic| isotopes| humid environment| atmosphere| climate change| S-34/S-32| Milankovitch theory| paleoatmosphere| fluctuations| paleoclimate maps| glacial geology| paleogeography| tropical environment;paleoclimatology;;Paleoclimatology;;Climatology| Historical geology| Climate history;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-2.220446049250313e-16;0.2412174479236065;0.0;0.0;0.9375;1.0;1.0
844;http://linkeddata.ge.imati.cnr.it/resource/ThIST/paleogeografia;http://dbpedia.org/resource/Category:Paleogeography;E;;;isthmus| sea-level changes| ocean basins| biogeography| paleogeographic maps| stratigraphy| paleoclimatology| alluvial plains| paleoecology| buried channels| buried valleys| exhumation| sedimentation| sedimentary structures| plate tectonics| paleogeographic controls| basins| continental drift| paleocurrents| geomorphology| paleocurrent maps| geosynclines| geotectonic maps| Mesogaea| coastlines| sedimentary basins| shorelines| sebkha environment| transgression| land bridges| paleohydrology| reconstruction| basin analysis| paleoenvironment| geography;paleogeography;;Paleogeography;;Historical geography| Physical geography| Historical geology| Subfields of paleontology| Subfields of geology;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.2814175417242004;0.0;0.0;0.9285714285714286;1.0;1.0
845;http://linkeddata.ge.imati.cnr.it/resource/ThIST/paleontologia;http://dbpedia.org/resource/Category:Paleontology;E;;;cladistics| osteology| faunal provinces| extinct taxa| ornamentation| geomicrobiology| bipedalism| biogeography| jaws| stratigraphy| fossils| creationism| phylogeny| bibliography| biometry| casts| palynology| paleoecology| radiation| extinction| bones| species diversity| gradualism| type localities| biologic evolution| predation| biostratigraphy| paleopathology| geochronology| wood| paleozoology| skulls| ontogeny| miscellanea| isomorphism| vicariance| biocenoses| lexicons| trophic analysis| continental drift| staining| ultrastructure| sample preparation| problematic fossils| mass extinctions| taxonomy| diet| thanatocenoses| collecting| guide fossils| electron microscopy| historical geology| Darwinism| biogeographic maps| life origin| micropaleontology| geology| fossilization| skeletons| collections| catalogs| reproduction| larvae| paleobotany| nutrition| anatomy| speciation| punctuated equilibria| paleobiology| chemical fossils| shells| glossaries| adaptation| morphometry| synonymy| lectotypes;paleontology;;Paleontology;;Subfields of evolutionary biology| Earth sciences| Historical geology| Evolutionary biology| Subfields of geology;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.1102230246251563e-16;0.30700187561476644;0.0;0.0;0.9166666666666666;1.0;1.0
846;http://linkeddata.ge.imati.cnr.it/resource/ThIST/paleopatologia;http://dbpedia.org/resource/Category:Paleopathology;E;;;morphology| jaws| paleontology| bones| taphonomy| skulls| archaeology| skeletons| teeth| shells;paleopathology;;Paleopathology;;Pathology| Biological anthropology| Subfields of paleontology| Archaeological science;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.2814175417242004;0.0;0.0;0.9285714285714286;1.0;1.0
847;http://linkeddata.ge.imati.cnr.it/resource/ThIST/paleozoologia;http://dbpedia.org/resource/Category:Paleozoology;E;;;paleontology| Invertebrata| Vertebrata;paleozoology;;Paleozoology;;Subfields of zoology| Subfields of paleontology;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.30700187561476644;0.0;0.0;0.9166666666666666;1.0;1.0
848;http://linkeddata.ge.imati.cnr.it/resource/ThIST/palinologia;http://dbpedia.org/resource/Category:Palynology;E;;;pollen| geomicrobiology| biogeography| stratigraphy| paleontology| geochronology| pollen diagrams| pollen analysis| relative age| sample preparation| palynomorphs| micropaleontology| paleobotany;palynology;;Palynology;;Botany| Earth sciences| Microfossils;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.3752247137759312;0.0;0.0;0.9;1.0;1.0
849;http://linkeddata.ge.imati.cnr.it/resource/ThIST/parassitismo;http://dbpedia.org/resource/Category:Parasitism;E;;;fungi| epibiotism| commensalism| bacteria;parasitism;;Parasitism;;Predation| Parasitology| Symbiosis;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-2.220446049250313e-16;0.4221279217687845;0.0;0.0;0.9;1.0;1.0
850;http://linkeddata.ge.imati.cnr.it/resource/ThIST/pascolo;http://dbpedia.org/resource/Category:Grasslands;E;;;wetlands| revegetation| savannas| prairies| steppes| herbivorous taxa| ecology;grasslands;;Grasslands;;Biogeography| Ecosystems| Grasses;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4324488356348277;0.0;0.0;0.9;1.0;1.0
851;http://linkeddata.ge.imati.cnr.it/resource/ThIST/perla;http://dbpedia.org/resource/Category:Pearls;E;;;Mollusca| aragonite| gems;pearls;;Pearls;;Organic gemstones| Mollusc products;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.1102230246251563e-16;0.6754048017572879;0.0;0.0;0.8333333333333334;1.0;1.0
852;http://linkeddata.ge.imati.cnr.it/resource/ThIST/pesticida;http://dbpedia.org/resource/Category:Pesticides;E;;;waste disposal| pollutants| herbicides| environmental geology;pesticides;;Pesticides;;Chemical substances by utilization| Agricultural chemicals| Biocides| Pests (organism)| Industrial agriculture| Toxicology;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3377024008786449;0.0;0.0;0.9;1.0;1.0
853;http://linkeddata.ge.imati.cnr.it/resource/ThIST/petrolio;http://dbpedia.org/resource/Category:Petroleum;E;;natural gas| coalbed methane;oil-water interface| kerogen| aromatization| giant fields| migration| traps| reservoir properties| onshore| stratigraphic traps| organic materials| heavy oil| structural traps| potential deposits| petroleum exploration| petroleum engineering| hydrocarbons| source rocks| benzene| petroleum accumulation| stratigraphic wedges| bituminous shale| depletion| oil spills| diwa-type deposits| offshore| primary migration| pipelines| bitumens| seepage| naturally fractured reservoirs| reservoir rocks| fluidization| energy sources| oil-gas interface| Darcy's law| tertiary recovery| oil storage| drilling| oil and gas fields| tight sands| petroleum maps| geopressure| porosity| secondary migration| oil sands| cap rock| condensates| thermal maturity| secondary recovery| oil seeps;petroleum;;Petroleum;;Hydrocarbons| Oils| Resource extraction| Fossil fuels;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.220446049250313e-16;0.37522451464027023;0.0;0.0;0.8888888888888888;1.0;1.0
854;http://linkeddata.ge.imati.cnr.it/resource/ThIST/petrologia;http://dbpedia.org/resource/Category:Petrology;E;;;metasomatic rocks| volcanology| accessory minerals| sedimentary petrology| bibliography| palingenesis| petrography| petrogenesis| sediments| microscope methods| petrographic analysis| lexicons| banded structures| crystallography| education| binary system| staining| meteorites| lava| interlaboratory comparison| igneous rocks| silicate rocks| inclusions| modal analysis| standard materials| catalogs| mineralogy| metasomatism| sedimentary rocks| fluid inclusions| homogenization| melts| magmas| metamorphism| petrochemical coefficient| tektites| intrusions| petrographic norms| metamorphic rocks;petrology;;Petrology;;Subfields of geology| Rocks;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.37522451464027023;0.0;0.0;0.8888888888888888;1.0;1.0
