;Unnamed: 0;s;o;KindOfLink;sBT;sNT;sRT;sPrefLabel;sAltLabels;oPrefLabel;oDefinition;oAltLabels;oBT;oNT;oRT;similaritySInW;wmdistance;Mwmdistance;SMwmdistance;nhammingSim;MnhammingSim;SMnhammingSim
847;847;http://linkeddata.ge.imati.cnr.it/resource/ThIST/paleozoologia;http://dbpedia.org/resource/Category:Paleozoology;E;;;paleontology| Invertebrata| Vertebrata;paleozoology;;Paleozoology;;;Subfields of zoology| Subfields of paleontology;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
848;848;http://linkeddata.ge.imati.cnr.it/resource/ThIST/palinologia;http://dbpedia.org/resource/Category:Palynology;E;;;pollen| geomicrobiology| biogeography| stratigraphy| paleontology| geochronology| pollen diagrams| pollen analysis| relative age| sample preparation| palynomorphs| micropaleontology| paleobotany;palynology;;Palynology;;;Botany| Earth sciences| Microfossils;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
849;849;http://linkeddata.ge.imati.cnr.it/resource/ThIST/parassitismo;http://dbpedia.org/resource/Category:Parasitism;E;;;fungi| epibiotism| commensalism| bacteria;parasitism;;Parasitism;;;Predation| Parasitology| Symbiosis;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
850;850;http://linkeddata.ge.imati.cnr.it/resource/ThIST/pascolo;http://dbpedia.org/resource/Category:Grasslands;E;;;wetlands| revegetation| savannas| prairies| steppes| herbivorous taxa| ecology;grasslands;;Grasslands;;;Biogeography| Ecosystems| Grasses;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
851;851;http://linkeddata.ge.imati.cnr.it/resource/ThIST/perla;http://dbpedia.org/resource/Category:Pearls;E;;;Mollusca| aragonite| gems;pearls;;Pearls;;;Organic gemstones| Mollusc products;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
852;852;http://linkeddata.ge.imati.cnr.it/resource/ThIST/pesticida;http://dbpedia.org/resource/Category:Pesticides;E;;;waste disposal| pollutants| herbicides| environmental geology;pesticides;;Pesticides;;;Chemical substances by utilization| Agricultural chemicals| Biocides| Pests (organism)| Industrial agriculture| Toxicology;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
853;853;http://linkeddata.ge.imati.cnr.it/resource/ThIST/petrolio;http://dbpedia.org/resource/Category:Petroleum;E;;natural gas| coalbed methane;oil-water interface| kerogen| aromatization| giant fields| migration| traps| reservoir properties| onshore| stratigraphic traps| organic materials| heavy oil| structural traps| potential deposits| petroleum exploration| petroleum engineering| hydrocarbons| source rocks| benzene| petroleum accumulation| stratigraphic wedges| bituminous shale| depletion| oil spills| diwa-type deposits| offshore| primary migration| pipelines| bitumens| seepage| naturally fractured reservoirs| reservoir rocks| fluidization| energy sources| oil-gas interface| Darcy's law| tertiary recovery| oil storage| drilling| oil and gas fields| tight sands| petroleum maps| geopressure| porosity| secondary migration| oil sands| cap rock| condensates| thermal maturity| secondary recovery| oil seeps;petroleum;;Petroleum;;;Hydrocarbons| Oils| Resource extraction| Fossil fuels;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
854;854;http://linkeddata.ge.imati.cnr.it/resource/ThIST/petrologia;http://dbpedia.org/resource/Category:Petrology;E;;;metasomatic rocks| volcanology| accessory minerals| sedimentary petrology| bibliography| palingenesis| petrography| petrogenesis| sediments| microscope methods| petrographic analysis| lexicons| banded structures| crystallography| education| binary system| staining| meteorites| lava| interlaboratory comparison| igneous rocks| silicate rocks| inclusions| modal analysis| standard materials| catalogs| mineralogy| metasomatism| sedimentary rocks| fluid inclusions| homogenization| melts| magmas| metamorphism| petrochemical coefficient| tektites| intrusions| petrographic norms| metamorphic rocks;petrology;;Petrology;;;Subfields of geology| Rocks;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
855;855;http://linkeddata.ge.imati.cnr.it/resource/ThIST/pianeta;http://dbpedia.org/resource/Category:Planets;E;;Uranus| Saturn| terrestrial planets| asteroids| Mercury Planet| Neptune| Mars| Venus| Earth| Pluto| Jupiter| outer planets;planetesimals| condensation| terrestrial comparison| orbit| extraterrestrial geology| surface features| interplanetary comparison| solar system| planetology| planetary interiors| precession| meteoroids| Moon| Sun;planets;;Planets;;;Astronomical objects| Planemos| Substellar objects;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
856;856;http://linkeddata.ge.imati.cnr.it/resource/ThIST/pianificazione;http://dbpedia.org/resource/Category:Planning;E;;;programs| railroads| management| urban planning| land use| mitigation| associations| highways| geographic information systems| regional planning;planning;;Planning;;;Administration| Intention| Future;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
