s;o;KindOfLink
http://linkeddata.ge.imati.cnr.it/resource/ThIST/muritaniyah;http://eurovoc.europa.eu/1842;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/muritaniyah;http://eurovoc.europa.eu/1842;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/muritaniyah;http://eurovoc.europa.eu/1842;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/muritaniyah;http://eurovoc.europa.eu/1842;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/muritaniyah;http://eurovoc.europa.eu/1842;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/nigeria;http://eurovoc.europa.eu/2058;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/nigeria;http://eurovoc.europa.eu/2058;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/nigeria;http://eurovoc.europa.eu/2058;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/nigeria;http://eurovoc.europa.eu/2058;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/senegal;http://eurovoc.europa.eu/4092;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/senegal;http://eurovoc.europa.eu/4092;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/senegal;http://eurovoc.europa.eu/4092;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/senegal;http://eurovoc.europa.eu/4092;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/sierraleone;http://eurovoc.europa.eu/4161;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/sierraleone;http://eurovoc.europa.eu/4161;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/sierraleone;http://eurovoc.europa.eu/4161;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/tchad;http://eurovoc.europa.eu/4410;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/tchad;http://eurovoc.europa.eu/4410;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/tchad;http://eurovoc.europa.eu/4410;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/togo;http://eurovoc.europa.eu/4465;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/togo;http://eurovoc.europa.eu/4465;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/togo;http://eurovoc.europa.eu/4465;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/togo;http://eurovoc.europa.eu/4465;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/ferrolega;http://eurovoc.europa.eu/3837;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/americacentrale;http://eurovoc.europa.eu/1606;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/analisiqualitativa;http://eurovoc.europa.eu/6271;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/analisiquantitativa;http://eurovoc.europa.eu/6272;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/cromatografia;http://eurovoc.europa.eu/5300;N
http://linkeddata.ge.imati.cnr.it/resource/ThIST/spettrofotometria;http://eurovoc.europa.eu/5301;N
http://linkeddata.ge.imati.cnr.it/resource/ThIST/gronland;http://eurovoc.europa.eu/1188;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/gronland;http://eurovoc.europa.eu/1188;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/xilolo;http://eurovoc.europa.eu/1274;N
http://linkeddata.ge.imati.cnr.it/resource/ThIST/estremooriente;http://eurovoc.europa.eu/956;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/mongoluls;http://eurovoc.europa.eu/1968;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/srilanka;http://eurovoc.europa.eu/4246;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/srilanka;http://eurovoc.europa.eu/4246;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/qatar;http://eurovoc.europa.eu/2866;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/qatar;http://eurovoc.europa.eu/2866;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/qatar;http://eurovoc.europa.eu/2866;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/qatar;http://eurovoc.europa.eu/2866;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/al-bahrayn;http://eurovoc.europa.eu/4572;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/al-bahrayn;http://eurovoc.europa.eu/4572;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/al-bahrayn;http://eurovoc.europa.eu/4572;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/alarabiyahassuudiyah;http://eurovoc.europa.eu/2336;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/alarabiyahassuudiyah;http://eurovoc.europa.eu/2336;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/alarabiyahassuudiyah;http://eurovoc.europa.eu/2336;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/uman;http://eurovoc.europa.eu/2138;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/uman;http://eurovoc.europa.eu/2138;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/uman;http://eurovoc.europa.eu/2138;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/alarabiyahassuudiyah;http://eurovoc.europa.eu/2336;
http://linkeddata.ge.imati.cnr.it/resource/ThIST/alyaman;http://eurovoc.europa.eu/4775;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/alyaman;http://eurovoc.europa.eu/4775;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/alyaman;http://eurovoc.europa.eu/4775;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/alyaman;http://eurovoc.europa.eu/4775;E
