Broaders Of THIST Concept;THIST Concept's PrefLabel;THIST Concept  URI;AGROVOC Concept URI;Agrovoc Concept's PrefLabel;Broaders Of  Agrovoc Concept;"E =ExactMAtch ; C= CloseMatch ; B= broaderMatch ; N= NarrowMAtch   NA= in corrispondenza di una della righe dei mapping che secondo voi non sono da accettare;  (definizioni  relazioni di mapping sono rintracciabili su http://www.w3.org/TR/skos-reference/#mapping)";If E the 1;If C the 1;If N the 1;if Na 
Africa| Central Africa;Equatorial Guinea;http://linkeddata.ge.imati.cnr.it/resource/ThIST/guineaequatorial;http://aims.fao.org/aos/agrovoc/c_2627;Equatorial Guinea;Central Africa| Central Africa;E;1;0;0;0
Africa| Central Africa;Lake Kivu;http://linkeddata.ge.imati.cnr.it/resource/ThIST/lagokivu;http://aims.fao.org/aos/agrovoc/c_29709;Lake Kivu;African inland waters| African inland waters;E;1;0;0;0
Africa| Central Africa;Lake Kivu;http://linkeddata.ge.imati.cnr.it/resource/ThIST/lagokivu;http://aims.fao.org/aos/agrovoc/c_29709;Lake Kivu;Lakes| Lakes;E;1;0;0;0
Africa| Central Africa;Rwanda;http://linkeddata.ge.imati.cnr.it/resource/ThIST/rwanda;http://aims.fao.org/aos/agrovoc/c_6717;Rwanda;Central Africa| Central Africa;E;1;0;0;0
Africa| East Africa;Eritrea;http://linkeddata.ge.imati.cnr.it/resource/ThIST/eritra;http://aims.fao.org/aos/agrovoc/c_34927;Eritrea;East Africa| East Africa;C;0;1;0;0
Africa| East Africa;Eritrea;http://linkeddata.ge.imati.cnr.it/resource/ThIST/eritra;http://aims.fao.org/aos/agrovoc/c_34927;Eritrea;Sudano Sahelian Region| Sudano Sahelian Region;C;0;1;0;0
Africa| East Africa;Mozambique;http://linkeddata.ge.imati.cnr.it/resource/ThIST/mocambique;http://aims.fao.org/aos/agrovoc/c_4964;Mozambique;Southern Africa| Southern Africa;C;0;1;0;0
Africa| East Africa;Sudan;http://linkeddata.ge.imati.cnr.it/resource/ThIST/as-sudan;http://aims.fao.org/aos/agrovoc/c_7497;Sudan;East Africa| East Africa;E;1;0;0;0
Africa| East Africa;Comoros;http://linkeddata.ge.imati.cnr.it/resource/ThIST/comores;http://aims.fao.org/aos/agrovoc/c_1790;Comoros;East Africa| East Africa;E;1;0;0;0
Africa| East Africa;Ethiopia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/itiopya;http://aims.fao.org/aos/agrovoc/c_2676;Ethiopia;East Africa| East Africa;E;1;0;0;0
Africa| East Africa;Kenya;http://linkeddata.ge.imati.cnr.it/resource/ThIST/kenya;http://aims.fao.org/aos/agrovoc/c_4086;Kenya;East Africa| East Africa;E;1;0;0;0
Africa| East Africa;Malawi;http://linkeddata.ge.imati.cnr.it/resource/ThIST/malawi;http://aims.fao.org/aos/agrovoc/c_4532;Malawi;Southern Africa| Southern Africa;E;1;0;0;0
Africa| East Africa;Seychelles;http://linkeddata.ge.imati.cnr.it/resource/ThIST/seychelles;http://aims.fao.org/aos/agrovoc/c_7017;Seychelles;East Africa| East Africa;E;1;0;0;0
Africa| East Africa;Somalia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/soomaaliya;http://aims.fao.org/aos/agrovoc/c_7237;Somalia;East Africa| East Africa;E;1;0;0;0
Africa| East Africa;Zambia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/zambia;http://aims.fao.org/aos/agrovoc/c_8501;Zambia;Southern Africa| Southern Africa;E;1;0;0;0
Africa| East Africa| Djibouti Djibouti| Djibouti;Djibouti;http://linkeddata.ge.imati.cnr.it/resource/ThIST/djibouti;http://aims.fao.org/aos/agrovoc/c_2346;Djibouti;East Africa| East Africa| East Africa| East Africa;E;1;0;0;0
Africa| East Africa| Djibouti Djibouti| Djibouti;Djibouti Djibouti;http://linkeddata.ge.imati.cnr.it/resource/ThIST/djibouti;http://aims.fao.org/aos/agrovoc/c_2346;Djibouti;East Africa| East Africa| East Africa| East Africa;E;1;0;0;0
Africa| East Africa| East African Lakes;Lake Victoria;http://linkeddata.ge.imati.cnr.it/resource/ThIST/lagovittoria;http://aims.fao.org/aos/agrovoc/c_29726;Lake Victoria;African inland waters| African inland waters| African inland waters;E;1;0;0;0
Africa| East Africa| East African Lakes;Lake Victoria;http://linkeddata.ge.imati.cnr.it/resource/ThIST/lagovittoria;http://aims.fao.org/aos/agrovoc/c_29726;Lake Victoria;Lakes| Lakes| Lakes;E;1;0;0;0
Africa| East Africa| France;Mayotte;http://linkeddata.ge.imati.cnr.it/resource/ThIST/mayotte;http://aims.fao.org/aos/agrovoc/c_4665;Mayotte;East Africa| East Africa| East Africa;E;1;0;0;0
Africa| East African Lakes;Lake Tanganyika;http://linkeddata.ge.imati.cnr.it/resource/ThIST/lagotanganica;http://aims.fao.org/aos/agrovoc/c_29724;Lake Tanganyika;African inland waters| African inland waters;E;1;0;0;0
Africa| East African Lakes;Lake Tanganyika;http://linkeddata.ge.imati.cnr.it/resource/ThIST/lagotanganica;http://aims.fao.org/aos/agrovoc/c_29724;Lake Tanganyika;Lakes| Lakes;E;1;0;0;0
Africa| North Africa;Egypt;http://linkeddata.ge.imati.cnr.it/resource/ThIST/misr;http://aims.fao.org/aos/agrovoc/c_2503;Egypt;North Africa| North Africa;C;0;1;0;0
Africa| North Africa;Morocco;http://linkeddata.ge.imati.cnr.it/resource/ThIST/almaghrib;http://aims.fao.org/aos/agrovoc/c_4940;Morocco;North Africa| North Africa;E;1;0;0;0
Africa| North Africa;Libya;http://linkeddata.ge.imati.cnr.it/resource/ThIST/libiya;http://aims.fao.org/aos/agrovoc/c_4312;Libya;North Africa| North Africa;E;1;0;0;0
Africa| North Africa| Sahara;Western Sahara;http://linkeddata.ge.imati.cnr.it/resource/ThIST/saharaoccidentale;http://aims.fao.org/aos/agrovoc/c_8366;Western Sahara;West Africa| West Africa| West Africa;E;1;0;0;0
Africa| North Africa| Tunis Tunisia| Tunisia;Tunis Tunisia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/tunis;http://aims.fao.org/aos/agrovoc/c_8007;Tunisia;North Africa| North Africa| North Africa| North Africa;E;1;0;0;0
Africa| North Africa| Tunis Tunisia| Tunisia;Tunisia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/tunis;http://aims.fao.org/aos/agrovoc/c_8007;Tunisia;North Africa| North Africa| North Africa| North Africa;E;1;0;0;0
Africa| Southern Africa;Lesotho;http://linkeddata.ge.imati.cnr.it/resource/ThIST/lesotho;http://aims.fao.org/aos/agrovoc/c_4284;Lesotho;Southern Africa| Southern Africa;E;1;0;0;0
Africa| Southern Africa;Namibia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/namibia;http://aims.fao.org/aos/agrovoc/c_5063;Namibia;Southern Africa| Southern Africa;E;1;0;0;0
Africa| Southern Africa;Swaziland;http://linkeddata.ge.imati.cnr.it/resource/ThIST/swaziland;http://aims.fao.org/aos/agrovoc/c_7547;Swaziland;Southern Africa| Southern Africa;E;1;0;0;0
Africa| Southern Africa;Zimbabwe;http://linkeddata.ge.imati.cnr.it/resource/ThIST/zimbabwe;http://aims.fao.org/aos/agrovoc/c_8516;Zimbabwe;Southern Africa| Southern Africa;E;1;0;0;0
Africa| Southern Africa| France| Reunion;Europa Island;http://linkeddata.ge.imati.cnr.it/resource/ThIST/europa;http://aims.fao.org/aos/agrovoc/c_2724;Europe;Eurasia| Eurasia| Eurasia| Eurasia;E;1;0;0;0
Africa| Southern Africa| France| Reunion;Europe;http://linkeddata.ge.imati.cnr.it/resource/ThIST/europa;http://aims.fao.org/aos/agrovoc/c_2724;Europe;Eurasia| Eurasia| Eurasia| Eurasia;E;1;0;0;0
Africa| United Kingdom;Saint Helena;http://linkeddata.ge.imati.cnr.it/resource/ThIST/sainthelena;http://aims.fao.org/aos/agrovoc/c_7347;Saint Helena;Saint Helena, Ascension and Tristan da Cunha| Saint Helena, Ascension and Tristan da Cunha;E;1;0;0;0
Africa| West Africa;Mauritania;http://linkeddata.ge.imati.cnr.it/resource/ThIST/muritaniyah;http://aims.fao.org/aos/agrovoc/c_4660;Mauritania;West Africa| West Africa;C;0;1;0;0
Africa| West Africa;Cameroon;http://linkeddata.ge.imati.cnr.it/resource/ThIST/cameroon;http://aims.fao.org/aos/agrovoc/c_1229;Cameroon;Central Africa| Central Africa;E;1;0;0;0
Africa| West Africa;Congo;http://linkeddata.ge.imati.cnr.it/resource/ThIST/congo;http://aims.fao.org/aos/agrovoc/c_1811;Congo;Central Africa| Central Africa;E;1;0;0;0
Africa| West Africa;Ivory Coast;http://linkeddata.ge.imati.cnr.it/resource/ThIST/cotedivoire;http://aims.fao.org/aos/agrovoc/c_4027;Cote d'Ivoire;West Africa| West Africa;E;1;0;0;0
Africa| West Africa;Gambia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/gambia;http://aims.fao.org/aos/agrovoc/c_3177;Gambia;West Africa| West Africa;E;1;0;0;0
Africa| West Africa;Ghana;http://linkeddata.ge.imati.cnr.it/resource/ThIST/ghana;http://aims.fao.org/aos/agrovoc/c_3253;Ghana;West Africa| West Africa;E;1;0;0;0
Africa| West Africa;Guinea-Bissau;http://linkeddata.ge.imati.cnr.it/resource/ThIST/guine-bissau;http://aims.fao.org/aos/agrovoc/c_3427;Guinea-Bissau;West Africa| West Africa;E;1;0;0;0
Africa| West Africa;Guinea;http://linkeddata.ge.imati.cnr.it/resource/ThIST/guinee;http://aims.fao.org/aos/agrovoc/c_3423;Guinea;West Africa| West Africa;E;1;0;0;0
Africa| West Africa;Liberia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/liberia;http://aims.fao.org/aos/agrovoc/c_4307;Liberia;West Africa| West Africa;E;1;0;0;0
Africa| West Africa;Mali;http://linkeddata.ge.imati.cnr.it/resource/ThIST/mali;http://aims.fao.org/aos/agrovoc/c_4540;Mali;West Africa| West Africa;E;1;0;0;0
Africa| West Africa;Nigeria;http://linkeddata.ge.imati.cnr.it/resource/ThIST/nigeria;http://aims.fao.org/aos/agrovoc/c_5182;Nigeria;West Africa| West Africa;E;1;0;0;0
Africa| West Africa;Senegal;http://linkeddata.ge.imati.cnr.it/resource/ThIST/senegal;http://aims.fao.org/aos/agrovoc/c_6970;Senegal;West Africa| West Africa;E;1;0;0;0
Africa| West Africa;Sierra Leone;http://linkeddata.ge.imati.cnr.it/resource/ThIST/sierraleone;http://aims.fao.org/aos/agrovoc/c_7057;Sierra Leone;West Africa| West Africa;E;1;0;0;0
Africa| West Africa;Chad;http://linkeddata.ge.imati.cnr.it/resource/ThIST/tchad;http://aims.fao.org/aos/agrovoc/c_1487;Chad;Central Africa| Central Africa;E;1;0;0;0
Africa| West Africa;Togo;http://linkeddata.ge.imati.cnr.it/resource/ThIST/togo;http://aims.fao.org/aos/agrovoc/c_7801;Togo;West Africa| West Africa;E;1;0;0;0
America;Central America;http://linkeddata.ge.imati.cnr.it/resource/ThIST/americacentrale;http://aims.fao.org/aos/agrovoc/c_1434;Central America;Americas;E;1;0;0;0
analysis;qualitative analysis;http://linkeddata.ge.imati.cnr.it/resource/ThIST/analisiqualitativa;http://aims.fao.org/aos/agrovoc/c_35284;Qualitative analysis;Analytical methods;E;1;0;0;0
analysis;quantitative analysis;http://linkeddata.ge.imati.cnr.it/resource/ThIST/analisiquantitativa;http://aims.fao.org/aos/agrovoc/c_32660;Quantitative analysis;Analytical methods;E;1;0;0;0
analysis;spectral analysis;http://linkeddata.ge.imati.cnr.it/resource/ThIST/analisispettrale;http://aims.fao.org/aos/agrovoc/c_28964;Spectral analysis;analysis;E;1;0;0;0
analysis;thermal analysis;http://linkeddata.ge.imati.cnr.it/resource/ThIST/analisitermica;http://aims.fao.org/aos/agrovoc/c_7717;Thermal analysis;Analytical methods;E;1;0;0;0
analysis;autoradiography;http://linkeddata.ge.imati.cnr.it/resource/ThIST/autoradiografia;http://aims.fao.org/aos/agrovoc/c_9006;Autoradiography;Radiography;E;1;0;0;0
analysis;colorimetry;http://linkeddata.ge.imati.cnr.it/resource/ThIST/colorimetria;http://aims.fao.org/aos/agrovoc/c_16368;Colorimetry;Analytical methods;E;1;0;0;0
analysis;chromatography;http://linkeddata.ge.imati.cnr.it/resource/ThIST/cromatografia;http://aims.fao.org/aos/agrovoc/c_1594;Chromatography;Analytical methods;E;1;0;0;0
analysis;polarography;http://linkeddata.ge.imati.cnr.it/resource/ThIST/polarografia;http://aims.fao.org/aos/agrovoc/c_26805;Polarography;Analytical methods;E;1;0;0;0
analysis;spectrophotometry;http://linkeddata.ge.imati.cnr.it/resource/ThIST/spettrofotometria;http://aims.fao.org/aos/agrovoc/c_14497;Spectrophotometry;Spectrometry;E;1;0;0;0
analysis| mathematical methods| statistical analysis| mathematical geology;discriminant analysis;http://linkeddata.ge.imati.cnr.it/resource/ThIST/analisidiscriminante;http://aims.fao.org/aos/agrovoc/c_28859;Discriminant analysis;Statistical methods| Statistical methods| Statistical methods| Statistical methods;E;1;0;0;0
analysis| statistical analysis;covariance analysis;http://linkeddata.ge.imati.cnr.it/resource/ThIST/analisidellacovarianza;http://aims.fao.org/aos/agrovoc/c_28833;Analysis of covariance;Statistical methods| Statistical methods;E;1;0;0;0
analysis| statistical analysis;variance analysis;http://linkeddata.ge.imati.cnr.it/resource/ThIST/analisidellavarianza;http://aims.fao.org/aos/agrovoc/c_28834;Analysis of variance;Statistical methods| Statistical methods;E;1;0;0;0
analysis| statistical analysis;correspondence analysis;http://linkeddata.ge.imati.cnr.it/resource/ThIST/analisidicorrispondenza;http://aims.fao.org/aos/agrovoc/c_37345;Correspondence analysis;Statistical methods| Statistical methods;E;1;0;0;0
analysis| statistical analysis;factor analysis;http://linkeddata.ge.imati.cnr.it/resource/ThIST/analisifattoriale;http://aims.fao.org/aos/agrovoc/c_10729;Factorial analysis;Statistical methods| Statistical methods;E;1;0;0;0
Arctic Ocean;Greenland Sea;http://linkeddata.ge.imati.cnr.it/resource/ThIST/maredigroenlandia;http://aims.fao.org/aos/agrovoc/c_3382;Greenland Sea;Arctic Ocean;E;1;0;0;0
Arctic Ocean;Greenland Sea;http://linkeddata.ge.imati.cnr.it/resource/ThIST/maredigroenlandia;http://aims.fao.org/aos/agrovoc/c_3382;Greenland Sea;North Atlantic;E;1;0;0;0
Arctic Ocean;Kara Sea;http://linkeddata.ge.imati.cnr.it/resource/ThIST/maredikara;http://aims.fao.org/aos/agrovoc/c_4077;Kara Sea;Arctic Ocean;E;1;0;0;0
Arctic Ocean;Norwegian Sea;http://linkeddata.ge.imati.cnr.it/resource/ThIST/maredinorvegia;http://aims.fao.org/aos/agrovoc/c_5236;Norwegian Sea;North Atlantic;E;1;0;0;0
Arctic region| Denmark;Greenland;http://linkeddata.ge.imati.cnr.it/resource/ThIST/gronland;http://aims.fao.org/aos/agrovoc/c_3380;Greenland;Denmark| Denmark;E;1;0;0;0
aromatic hydrocarbons;xylene;http://linkeddata.ge.imati.cnr.it/resource/ThIST/xilolo;http://aims.fao.org/aos/agrovoc/c_8472;Xylene;Aromatic hydrocarbons;E;1;0;0;0
Asia;Mongolia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/mongoluls;http://aims.fao.org/aos/agrovoc/c_4908;Mongolia;East Asia;C;0;1;0;0
Asia;Gobi Desert;http://linkeddata.ge.imati.cnr.it/resource/ThIST/desertodelgobi;http://aims.fao.org/aos/agrovoc/c_29753;Gobi Desert;Deserts;E;1;0;0;0
Asia;Indus River;http://linkeddata.ge.imati.cnr.it/resource/ThIST/fiumeindo;http://aims.fao.org/aos/agrovoc/c_49945;Indus River;Asian inland waters;E;1;0;0;0
Asia;Indus River;http://linkeddata.ge.imati.cnr.it/resource/ThIST/fiumeindo;http://aims.fao.org/aos/agrovoc/c_49945;Indus River;Rivers;E;1;0;0;0
Asia;Kerala India;http://linkeddata.ge.imati.cnr.it/resource/ThIST/kerala;http://aims.fao.org/aos/agrovoc/c_4087;Kerala;India;E;1;0;0;0
Asia;Middle East;http://linkeddata.ge.imati.cnr.it/resource/ThIST/mediooriente;http://aims.fao.org/aos/agrovoc/c_4817;Middle East;geographical regions;E;1;0;0;0
Asia;Sri Lanka;http://linkeddata.ge.imati.cnr.it/resource/ThIST/srilanka;http://aims.fao.org/aos/agrovoc/c_7345;Sri Lanka;South Asia;E;1;0;0;0
Asia| Arabian Peninsula;Qatar;http://linkeddata.ge.imati.cnr.it/resource/ThIST/qatar;http://aims.fao.org/aos/agrovoc/c_6395;Qatar;Gulf states| Gulf states;E;1;0;0;0
Asia| Arabian Peninsula| Middle East;Bahrain;http://linkeddata.ge.imati.cnr.it/resource/ThIST/al-bahrayn;http://aims.fao.org/aos/agrovoc/c_780;Bahrain;Gulf states| Gulf states| Gulf states;E;1;0;0;0
Asia| Arabian Peninsula| Middle East;Saudi Arabia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/alarabiyahassuudiyah;http://aims.fao.org/aos/agrovoc/c_6822;Saudi Arabia;Gulf states| Gulf states| Gulf states;E;1;0;0;0
Asia| Arabian Peninsula| Middle East;Oman;http://linkeddata.ge.imati.cnr.it/resource/ThIST/uman;http://aims.fao.org/aos/agrovoc/c_5345;Oman;Gulf states| Gulf states| Gulf states;E;1;0;0;0
Asia| Arabian Peninsula| Middle East| Arabian Shield;Yemen;http://linkeddata.ge.imati.cnr.it/resource/ThIST/alyaman;http://aims.fao.org/aos/agrovoc/c_8483;Yemen;Western Asia| Western Asia| Western Asia| Western Asia;E;1;0;0;0
Asia| Arabian Peninsula| Near East| Middle East;United Arab Emirates;http://linkeddata.ge.imati.cnr.it/resource/ThIST/alimaratalarabiyahalmuttahidah;http://aims.fao.org/aos/agrovoc/c_8067;United Arab Emirates;Gulf states| Gulf states| Gulf states| Gulf states;E;1;0;0;0
Asia| China| Far East;Xizang China;http://linkeddata.ge.imati.cnr.it/resource/ThIST/tibet;http://aims.fao.org/aos/agrovoc/c_7762;Tibet;China| China| China;E;1;0;0;0
Asia| Commonwealth of Independent States;Armenia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/armenija;http://aims.fao.org/aos/agrovoc/c_8926;Armenia;Western Asia| Western Asia;E;1;0;0;0
Asia| Commonwealth of Independent States;Azerbaijan;http://linkeddata.ge.imati.cnr.it/resource/ThIST/azerbajdzan;http://aims.fao.org/aos/agrovoc/c_9026;Azerbaijan;Western Asia| Western Asia;E;1;0;0;0
Asia| Commonwealth of Independent States;Kyrgyzstan;http://linkeddata.ge.imati.cnr.it/resource/ThIST/kyrgyzstan;http://aims.fao.org/aos/agrovoc/c_33243;Kyrgyzstan;Central Asia| Central Asia;E;1;0;0;0
Asia| Commonwealth of Independent States;Uzbekistan;http://linkeddata.ge.imati.cnr.it/resource/ThIST/ozbekiston;http://aims.fao.org/aos/agrovoc/c_15121;Uzbekistan;Central Asia| Central Asia;E;1;0;0;0
Asia| Commonwealth of Independent States;Kazakhstan;http://linkeddata.ge.imati.cnr.it/resource/ThIST/qazaqstan;http://aims.fao.org/aos/agrovoc/c_11952;Kazakhstan;Central Asia| Central Asia;E;1;0;0;0
Asia| Commonwealth of Independent States;Tajikistan;http://linkeddata.ge.imati.cnr.it/resource/ThIST/tojikiston;http://aims.fao.org/aos/agrovoc/c_33246;Tajikistan;Central Asia| Central Asia;E;1;0;0;0
Asia| Commonwealth of Independent States;Turkmenistan;http://linkeddata.ge.imati.cnr.it/resource/ThIST/turkmenistan;http://aims.fao.org/aos/agrovoc/c_15047;Turkmenistan;Central Asia| Central Asia;E;1;0;0;0
Asia| Commonwealth of Independent States;Georgian Republic;http://linkeddata.ge.imati.cnr.it/resource/ThIST/sakartvelo;http://aims.fao.org/aos/agrovoc/c_33250;Georgia;Western Asia| Western Asia;N;0;0;1;0
Asia| Eurasia| Commonwealth of Independent States;Russia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/rossiya;http://aims.fao.org/aos/agrovoc/c_33240;Russian Federation;Eastern Europe| Eastern Europe| Eastern Europe;E;1;0;0;0
Asia| Far East;Thailand;http://linkeddata.ge.imati.cnr.it/resource/ThIST/muangthai;http://aims.fao.org/aos/agrovoc/c_7701;Thailand;South East Asia| South East Asia;C;0;1;0;0
Asia| Far East;Borneo;http://linkeddata.ge.imati.cnr.it/resource/ThIST/borneo;http://aims.fao.org/aos/agrovoc/c_1017;Borneo;South East Asia| South East Asia;E;1;0;0;0
Asia| Far East;Taiwan;http://linkeddata.ge.imati.cnr.it/resource/ThIST/chung-huamin-kuo;http://aims.fao.org/aos/agrovoc/c_7593;Taiwan;China| China;E;1;0;0;0
Asia| Far East;China;http://linkeddata.ge.imati.cnr.it/resource/ThIST/cina;http://aims.fao.org/aos/agrovoc/c_1556;China;East Asia| East Asia;E;1;0;0;0
Asia| Far East;Indochina;http://linkeddata.ge.imati.cnr.it/resource/ThIST/indocina;http://aims.fao.org/aos/agrovoc/c_3838;Indochina;South East Asia| South East Asia;E;1;0;0;0
Asia| Far East;Indonesia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/indonesia;http://aims.fao.org/aos/agrovoc/c_3840;Indonesia;South East Asia| South East Asia;E;1;0;0;0
Asia| Far East;Japan;http://linkeddata.ge.imati.cnr.it/resource/ThIST/nihon;http://aims.fao.org/aos/agrovoc/c_4039;Japan;East Asia| East Asia;E;1;0;0;0
Asia| Far East;Philippines;http://linkeddata.ge.imati.cnr.it/resource/ThIST/pilipinas;http://aims.fao.org/aos/agrovoc/c_5783;Philippines;South East Asia| South East Asia;E;1;0;0;0
Asia| Far East;Vietnam;http://linkeddata.ge.imati.cnr.it/resource/ThIST/vietnam;http://aims.fao.org/aos/agrovoc/c_8227;Viet Nam;Indochina| Indochina;E;1;0;0;0
Asia| Far East| Indochina;Cambodia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/k%C3%B4mpuchea;http://aims.fao.org/aos/agrovoc/c_4073;Cambodia;South East Asia| South East Asia| South East Asia;C;0;1;0;0
Asia| Far East| Indochina| Malaysian Peninsula| Singapore Singapore| Singapore;Singapore;http://linkeddata.ge.imati.cnr.it/resource/ThIST/singapura;http://aims.fao.org/aos/agrovoc/c_7077;Singapore;South East Asia| South East Asia| South East Asia| South East Asia| South East Asia| South East Asia;E;1;0;0;0
Asia| Far East| Indochina| Malaysian Peninsula| Singapore Singapore| Singapore;Singapore Singapore;http://linkeddata.ge.imati.cnr.it/resource/ThIST/singapura;http://aims.fao.org/aos/agrovoc/c_7077;Singapore;South East Asia| South East Asia| South East Asia| South East Asia| South East Asia| South East Asia;E;1;0;0;0
Asia| Far East| Indonesia;Java Indonesia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/giava;http://aims.fao.org/aos/agrovoc/c_4043;Java;Indonesia| Indonesia| Indonesia;E;1;0;0;0
Asia| Far East| Indonesia;Moluccas;http://linkeddata.ge.imati.cnr.it/resource/ThIST/maluku;http://aims.fao.org/aos/agrovoc/c_4552;Maluku;Indonesia| Indonesia| Indonesia;E;1;0;0;0
Asia| Far East| Indonesia;Timor Indonesia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/timor;http://aims.fao.org/aos/agrovoc/c_7780;Timor;Indonesia| Indonesia| Indonesia;E;1;0;0;0
Asia| Far East| Malaysian Peninsula;Malaysia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/malaysia;http://aims.fao.org/aos/agrovoc/c_4533;Malaysia;South East Asia| South East Asia| South East Asia;E;1;0;0;0
Asia| India;Delhi India;http://linkeddata.ge.imati.cnr.it/resource/ThIST/delhi;http://aims.fao.org/aos/agrovoc/c_2164;Delhi;India| India;E;1;0;0;0
Asia| Indian Peninsula;Bangladesh;http://linkeddata.ge.imati.cnr.it/resource/ThIST/bangladesh;http://aims.fao.org/aos/agrovoc/c_810;Bangladesh;South Asia| South Asia;E;1;0;0;0
