;s;o;KindOfLinkRevised;KindOfLink;sBT;sNT;sRT;sPrefLabel;sAltLabels;oPrefLabel;oAltLabels;oBT;oNT;oRT;RT_similaritySInW;RT_wmdistance;RT_Mwmdistance;RT_SMwmdistance;RT_nhammingSim;RT_MnhammingSim;RT_SMnhammingSim;BT_similaritySInW;BT_wmdistance;BT_Mwmdistance;BT_SMwmdistance;BT_nhammingSim;BT_MnhammingSim;BT_SMnhammingSim;PrefLabel_similaritySInW;PrefLabel_wmdistance;PrefLabel_Mwmdistance;PrefLabel_SMwmdistance;PrefLabel_nhammingSim;PrefLabel_MnhammingSim;PrefLabel_SMnhammingSim
604;http://linkeddata.ge.imati.cnr.it/resource/ThIST/idrologia;http://eurovoc.europa.eu/1278;E;E;;river banks| floods;percolation| retention| wadis| runoff| laminar flow| hydrogeology| hydrographs| atmospheric precipitation| bedforms| meteorology| sediment traps| drought| radioactive tracers| surface water balance| unsteady flow| hydrostatic pressure| pluviometry| braided streams| hydrometry| reservoirs| dye tracers| precipitation| fluorimetry| multiphase flow| surface water| snow| limnology| karst hydrology| hydrochemistry| applied geology| hydrologic maps| critical flow| evapotranspiration| water balance| gauging| flowmeters| sediment supply| sediments| purification| sedimentation| tidewater glaciers| meltwater| evaporation| eutrophication| environmental geology| suspension| transmissivity| springs| discharge| waterlogging| pollution| hydrological methods| geomorphology| eddy flow| prospecting| glaciers| intermittent springs| exsurgence| cascades| rain| water resources| Rijeka Croatia| rivers| rain gage| hydrochemical maps| pump tests| channel geometry| hydrologic cycle| low water| lakes| fluvial currents| paleokarst| paleohydrology| atmosphere| rapids| water| water quality| water table| infiltration| hydrosphere| lysimeters| ice| representative basins| ecology| underground streams| tracers| glacial geology| steady flow| basin management| waterways| water supply| catchment hydrodynamics| ground water| riverbed;hydrology;;hydrology;limnology| hydrography| river hydrology;earth sciences;;freshwater| water management in agriculture| water resources| water;311.3593536347;0.8661123233;3.1238943435;307.0533550956;0.0022779043;1;29.831049506;0;0;0;0;0;0;0;0;0;0;0;1;1;1
605;http://linkeddata.ge.imati.cnr.it/resource/ThIST/limnologia;http://eurovoc.europa.eu/1278;W;;;;glacial lakes| ponds| hydrology| paleolimnology| seiches| geomorphology| lakes| lacustrine deposit;limnology;;hydrology;limnology| hydrography| river hydrology;earth sciences;;freshwater| water management in agriculture| water resources| water;23.7223482679;1.401001197;2.8549587054;24.2809624005;0.0102040816;0.4;1.8209457209;0;0;0;0;0;0;0;-0.5256382926;1.1653303756;1.1653303756;1.1653303756;0.5555555556;0.5555555556;0.5555555556
606;http://linkeddata.ge.imati.cnr.it/resource/ThIST/imbottigliamento;http://eurovoc.europa.eu/722;E;E;;;potability| water resources| drinking water| water| water quality;bottling;;bottling;;preparation for market;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2.220446049250313e-16;0;0;0;1;1;1
607;http://linkeddata.ge.imati.cnr.it/resource/ThIST/immigrazione;http://eurovoc.europa.eu/1302;E;E;;;;;;immigration;;migration;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
608;http://linkeddata.ge.imati.cnr.it/resource/ThIST/impattoambientale;http://eurovoc.europa.eu/3139;E;E;;;railroads| risk assessment| urban geology| waste disposal| human activity| applied geology| check dam| environmental geology| pollution| conservation| geologic hazards| environmental impact evaluation| land use| reclamation| preventive measures| ecology| dams| nuclear facilities;environmental impact;;environmental impact;effect on the environment| ecological balance sheet| eco-balance| environmental effect| environmental assessment| ecological assessment;environmental policy;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.2609724302;0;2.3552756897;4.7105513795;1;1;2
609;http://linkeddata.ge.imati.cnr.it/resource/ThIST/importazione;http://eurovoc.europa.eu/1309;E;E;;;economics;import;;import;;trading operation;;import tax| free circulation| customs valuation| import monopoly| countervailing charge;0.9376353021;1.3130253165;3.0010849072;3.0010849072;0;0.2222222222;0.2222222222;0;0;0;0;0;0;0;2.220446049250313e-16;0;0;0;1;1;1
610;http://linkeddata.ge.imati.cnr.it/resource/ThIST/incidentenucleare;http://eurovoc.europa.eu/921;E;E;;;pollution| nuclear energy| nuclear facilities;nuclear accidents;;nuclear accident;radioactive risk| nuclear damage| nuclear risk| radioactive accident;nuclear safety;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.8195546109;0.2066804062;1.5554594335;3.035993361;0.9411764706;1;1.8888888889
611;http://linkeddata.ge.imati.cnr.it/resource/ThIST/indicatoreambientale;http://eurovoc.europa.eu/8550;E;E;;;environment;environmental indicators;;environmental indicator;;environmental policy;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.8027601582;0.1345128783;1.6776282318;3.3209023751;0.9583333333;1;1.9
612;http://linkeddata.ge.imati.cnr.it/resource/ThIST/industriachimica;http://eurovoc.europa.eu/1362;E;E;;;industry| economic geology| petroleum geology;chemical industry;;chemical industry;chemical production;;;biochemistry| chemical pollution| chemistry| pharmaceutical industry| electrochemistry| special chemicals| petrochemicals| industrial chemistry;26.1704839028;0.9233584899;2.4416330233;11.2642777433;0;1;1.8392857143;0;0;0;0;0;0;0;0;0;0;0;0;0;0
613;http://linkeddata.ge.imati.cnr.it/resource/ThIST/industriametallurgica;http://eurovoc.europa.eu/3820;E;E;;;;;;metallurgical industry;metallurgical production;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
