,s,o,KindOfLink,oBT,oNT,oRT,oPrefLabel,oAltLabels,sBT,sNT,sRT,sPrefLabel,sAltLabels
444,http://linkeddata.ge.imati.cnr.it/resource/ThIST/oceanopacifico,http://aims.fao.org/aos/agrovoc/c_5493,E,Marine areas,Antarctic Pacific| Eastern Pacific| Gulf of California| North Pacific| South Pacific| Gulf of Tehuantepec| Central Pacific| Western Pacific,,Pacific Ocean,,Japan,Kuril Trench| Cocos Plate| Northwest Pacific| Aleutian Trench| Pacific Basin| Northeast Pacific| Manila Trench| San Diego Trough| Timor Trough| Bering Sea| Peru-Chile Trench| North Pacific| West Pacific| Java Sea| Coral Sea| Southwest Pacific| Southeast Pacific| Japan Trench| South Pacific| Nazca Plate| East Pacific| Tonga Trench| Kuroshio| Central Pacific,Borneo| Fiji| Philippines| Johnston Atoll| Pitcairn Islands| New Caledonia| American Samoa| Indian Plate| Galapagos Islands| United States of America| Pacific Plate| Tonga island arc| Samoa| Polynesia| Melanesia| Ross Sea| Tonga| Vanuatu| Timor Indonesia| Oceania| French Polynesia| Micronesia| Tehuantepec Isthemus| Sumatra Indonesia| Antarctic Ocean| Kiribati| El Nino,Pacific Ocean,
445,http://linkeddata.ge.imati.cnr.it/resource/ThIST/lago,http://aims.fao.org/aos/agrovoc/c_4160,E,Surface water| Inland waters,Lake Edward| Lake Chad| Lake Nyasa| Lake Maggiore| Lake Titicaca| Lake Huron| Lake Albert| Lake Lugano| Lake Geneva| Lake Mweru| Lake Michigan| Lake Turkana| Caspian Sea| Lake St Clair| Lake Ontario| Great Lakes| Lake Hovsgol| Lake Victoria| Lake Superior| Lake Scutari| Neusiedler Lake| Lake Kivu| Lake Volta| Lake Constance| Lake Tanganyika| Lake Kariba| Lake Erie,Water reservoirs,Lakes,Open water,lacustrine features| Cosenza Italy,glacial lakes| crater lakes| extinct lakes| meromictic lakes| karstic lake,spillways| lacustrine basin| wave motion| periglacial features| reservoirs| glacial features| ponds| hydrometers| paleoecology| fluviolacustrine environment| surface water| hydrology| limnology| water balance| hydrogen sulfide| sedimentation| tidewater glaciers| lacustrine environment| seiches| eutrophication| lagoons| geomorphology| lake sediments| salt lakes| water resources| glaciolacustrine environment| drainage| lacustrine deposit| hydrosphere| ecology| thermocline| water supply,lakes,
446,http://linkeddata.ge.imati.cnr.it/resource/ThIST/laghi,http://aims.fao.org/aos/agrovoc/c_4160,E,Surface water| Inland waters,Lake Edward| Lake Chad| Lake Nyasa| Lake Maggiore| Lake Titicaca| Lake Huron| Lake Albert| Lake Lugano| Lake Geneva| Lake Mweru| Lake Michigan| Lake Turkana| Caspian Sea| Lake St Clair| Lake Ontario| Great Lakes| Lake Hovsgol| Lake Victoria| Lake Superior| Lake Scutari| Neusiedler Lake| Lake Kivu| Lake Volta| Lake Constance| Lake Tanganyika| Lake Kariba| Lake Erie,Water reservoirs,Lakes,Open water,Vicenza Italy,,,,
447,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cuba,http://aims.fao.org/aos/agrovoc/c_1997,E,Caribbean,Pinar del Rio| Oriente| Camaguey| Matanzas| Havana| Las Villas,,Cuba,Republic of Cuba,Caribbean region| Latin America| Greater Antilles| Central America| Antilles,Santa Clara Cuba| Santiago de Cuba| La Habana Cuba,Caribbean Sea| Sierra Maestra,Cuba,
448,http://linkeddata.ge.imati.cnr.it/resource/ThIST/costarica,http://aims.fao.org/aos/agrovoc/c_1920,E,Central America,,,Costa Rica,Republic of Costa Rica,Latin America| Central America,San José Costa Rica,,Costa Rica,
449,http://linkeddata.ge.imati.cnr.it/resource/ThIST/elsalvador,http://aims.fao.org/aos/agrovoc/c_2508,E,Central America,,,El Salvador,Salvador| Republic of El Salvador,Latin America| Central America,San Salvador El Salvador,,El Salvador,
450,http://linkeddata.ge.imati.cnr.it/resource/ThIST/guatemala,http://aims.fao.org/aos/agrovoc/c_3418,E,Central America,,,Guatemala,Republic of Guatemala,Latin America| Guatemala| Guatemala City Guatemala| Central America,Guatemala| Guatemala City Guatemala,Peten| Rio Usumacinta| Yucatan Peninsula,Guatemala,
451,http://linkeddata.ge.imati.cnr.it/resource/ThIST/guatemala,http://aims.fao.org/aos/agrovoc/c_3418,E,Central America,,,Guatemala,Republic of Guatemala,Latin America| Guatemala| Guatemala City Guatemala| Central America,Guatemala| Guatemala City Guatemala,Peten| Rio Usumacinta| Yucatan Peninsula,Guatemala City Guatemala,
452,http://linkeddata.ge.imati.cnr.it/resource/ThIST/panama,http://aims.fao.org/aos/agrovoc/c_5524,E,Central America,,,Panama,Republic of Panama,Latin America| Panama| Panama City Panama| Central America,Panama Canal Zone| Panama| Panama City Panama,,Panama,
453,http://linkeddata.ge.imati.cnr.it/resource/ThIST/panama,http://aims.fao.org/aos/agrovoc/c_5524,E,Central America,,,Panama,Republic of Panama,Latin America| Panama| Panama City Panama| Central America,Panama Canal Zone| Panama| Panama City Panama,,Panama City Panama,
