;Unnamed: 0;Unnamed: 0.1;s;o;KindOfLink;oBT;oNT;oRT;oPrefLabel;oAltLabels;sBT;sNT;sRT;sPrefLabel;sAltLabels;BT_similaritySInW;BT_wmdistance;BT_Mwmdistance;BT_SMwmdistance;BT_nhammingSim;BT_MnhammingSim;BT_SMnhammingSim;PrefLabel_similaritySInW;PrefLabel_wmdistance;PrefLabel_Mwmdistance;PrefLabel_SMwmdistance;PrefLabel_nhammingSim;PrefLabel_MnhammingSim;PrefLabel_SMnhammingSim;RT_similaritySInW;RT_wmdistance;RT_Mwmdistance;RT_SMwmdistance;RT_nhammingSim;RT_MnhammingSim;RT_SMnhammingSim
10;10;10;http://linkeddata.ge.imati.cnr.it/resource/ThIST/sahel;http://eurovoc.europa.eu/3804;E;sub-Saharan Africa;;drought| desertification| desert| arid zone;Sahel;Sahel countries;Africa;;Niger| Chad| Mauritania| Mali| Sahara| Senegal;Sahel;;0.0;1.24395636594528;2.0478017195125533;2.0478017195125533;0.05555555555555558;1.0;1.0;-1.0;0.0;0.0;0.0;1.0;1.0;1.0;2.939687863223611;1.2568257495405732;3.04077147151562;15.874465671121206;0.17391304347826084;0.33333333333333337;1.1690476190476191
11;11;11;http://linkeddata.ge.imati.cnr.it/resource/ThIST/burundi;http://eurovoc.europa.eu/5072;E;ACP countries| East Africa;;;Burundi;Republic of Burundi;Africa| Central Africa;Bujumbura Burundi;East African Rift| Lake Tanganyika| Nile River| Nilo River Basin;Burundi;;3.5739727144134505;0.886638985227254;2.9824306566989685;8.657466956377819;0.07692307692307687;1.0;2.142857142857143;-1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12;12;12;http://linkeddata.ge.imati.cnr.it/resource/ThIST/gabon;http://eurovoc.europa.eu/1124;E;CAEMC countries| ACP countries| Central Africa;;;Gabon;Gabonese Republic;Africa| Central Africa;Libreville Gabon;Ogooué River;Gabon;;5.4374067551282135;0.9320138661196056;2.6926056429798844;7.4510790376564495;0.0;1.0;3.0;-1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13;13;13;http://linkeddata.ge.imati.cnr.it/resource/ThIST/guineaequatorial;http://eurovoc.europa.eu/1218;E;CAEMC countries| ACP countries| Central Africa;;;Equatorial Guinea;Republic of Equatorial Guinea;Africa| Central Africa;Bioko Island| Malabo Equatorial Guinea;Gulf of Guinea;Equatorial Guinea;;5.4374067551282135;0.9320138661196056;2.6926056429798844;7.4510790376564495;0.0;1.0;3.0;2.177406804442965;0.0;1.6276175713005785;3.2552351426011565;1.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14;14;14;http://linkeddata.ge.imati.cnr.it/resource/ThIST/rwanda;http://eurovoc.europa.eu/3784;E;ACP countries| East Africa;;;Rwanda;Republic of Rwanda;Africa| Central Africa;Kigali Rwanda;East African Rift| Lake Kivu;Rwanda;;3.5739727144134505;0.886638985227254;2.9824306566989685;8.657466956377819;0.07692307692307687;1.0;2.142857142857143;-1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
15;15;15;http://linkeddata.ge.imati.cnr.it/resource/ThIST/as-sudan;http://eurovoc.europa.eu/4217;E;ACP countries| CAEU countries| Arab League countries| East Africa;;;Sudan;Republic of Sudan;Africa| East Africa;Khartoum Sudan;Nubia| Blue Nile| Nile River| Sahara| Nile Valley;Sudan;;8.780032579733879;1.2266009075820865;3.4812430838609045;9.44610439725884;0.030769230769230767;1.0;3.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
16;16;16;http://linkeddata.ge.imati.cnr.it/resource/ThIST/comores;http://eurovoc.europa.eu/33;E;ACP countries| Arab League countries| East Africa;;;Comoros;Union of the Comoros;Africa| East Africa;Moroni Comoros;Indian Ocean| Mayotte| Mozambique Channel;Comoros;;8.159583758196161;1.2073055510223685;3.4812430838609045;9.44610439725884;0.04081632653061229;1.0;3.0;-1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
17;17;17;http://linkeddata.ge.imati.cnr.it/resource/ThIST/ertra;http://eurovoc.europa.eu/5617;E;ACP countries| Horn of Africa;;;Eritrea;State of Eritrea;Africa| East Africa;Asmara Etiopia| Dahlak Islands| Mitsiwa Eritrea;Red Sea| East African Rift| Afar| Red Sea Basin| Afar Depression;Eritrea;;2.9902626874230145;1.1882157668125584;3.4812430838609045;8.23971647853747;0.06896551724137934;1.0;2.0;-1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
18;18;18;http://linkeddata.ge.imati.cnr.it/resource/ThIST/itiopya;http://eurovoc.europa.eu/891;E;ACP countries| Horn of Africa;;;Ethiopia;;Africa| East Africa;Red Sea| Adis Abeba Ethiopia| Afar| Blue Nile| Tigre Ethiopia| Acobo River| Dankalia;Lake Rudolf| Red Sea Basin| Ethiopian Rift| Nile River;Ethiopia;;2.9902626874230145;1.1882157668125584;3.4812430838609045;8.23971647853747;0.06896551724137934;1.0;2.0;-1.1102230246251563e-16;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
19;19;19;http://linkeddata.ge.imati.cnr.it/resource/ThIST/kenya;http://eurovoc.europa.eu/1557;E;ACP countries| EAC countries| East Africa;;;Kenya;Republic of Kenya;Africa| East Africa;Nairobi Kenya;Lake Rudolf| East African Rift| Lake Victoria| Mount Kenya;Kenya;;5.995492114132113;1.0313163569343309;3.4812430838609045;9.44610439725884;0.048780487804878085;1.0;3.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20;20;20;http://linkeddata.ge.imati.cnr.it/resource/ThIST/malawi;http://eurovoc.europa.eu/1766;E;ACP countries| East Africa;;;Malawi;Republic of Malawi| Nyasaland;Africa| East Africa;Lilongwe;East African Rift| Nyasa Lake;Malawi;;4.7545944710566825;0.9464904156813132;3.4812430838609045;9.44610439725884;0.07692307692307687;1.0;3.0;-1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
21;21;21;http://linkeddata.ge.imati.cnr.it/resource/ThIST/mocambique;http://eurovoc.europa.eu/2018;E;ACP countries| East Africa;;;Mozambique;Republic of Mozambique;Africa| East Africa;Maputo Mozambique;Nyasa Lake| Zambezi river;Mozambique;;4.7545944710566825;0.9464904156813132;3.4812430838609045;9.44610439725884;0.07692307692307687;1.0;3.0;-1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
22;22;22;http://linkeddata.ge.imati.cnr.it/resource/ThIST/seychelles;http://eurovoc.europa.eu/4148;E;ACP countries| East Africa;;;Seychelles;Seychelle Islands| Republic of Seychelles;Africa| East Africa;Victoria Seychelles;Indian Ocean| islands;Seychelles;;4.7545944710566825;0.9464904156813132;3.4812430838609045;9.44610439725884;0.07692307692307687;1.0;3.0;-1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
23;23;23;http://linkeddata.ge.imati.cnr.it/resource/ThIST/soomaaliya;http://eurovoc.europa.eu/4212;E;ACP countries| CAEU countries| Arab League countries| Horn of Africa;;;Somalia;;Africa| East Africa;Muqdisho Somalia| Afar Depression| Migiurtin;Gulf of Adenl;Somalia;;7.015700796100209;1.3340350442740927;3.4812430838609045;9.181919554601368;0.029411764705882363;1.0;2.25;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
