Broaders Of THIST Concept;THIST Concept's PrefLabel;THIST Concept  URI;CGIics Concept URI;CGIics Concept's PrefLabel;Broaders Of  CGIics Concept;"E =ExactMAtch ; C= CloseMatch ; B= broaderMatch ; N= NarrowMAtch   NA= in corrispondenza di una della righe dei mapping che secondo voi non sono da accettare;  (definizioni  relazioni di mapping sono rintracciabili su http://www.w3.org/TR/skos-reference/#mapping)"
Jurassic| Lower Jurassic| Liassic| lower Liassic| Mesozoic;Sinemurian;http://linkeddata.ge.imati.cnr.it/resource/ThIST/sinemuriano;http://resource.geosciml.org/classifier/ics/ischart/Sinemurian;Sinemurian;Early/Lower Jurassic| Early/Lower Jurassic| Early/Lower Jurassic| Early/Lower Jurassic| Early/Lower Jurassic;E
Llandoverian| Paleozoic| Silurian| Lower Silurian;Telychian;http://linkeddata.ge.imati.cnr.it/resource/ThIST/telychiano;http://resource.geosciml.org/classifier/ics/ischart/Telychian;Telychian;Llandovery| Llandovery| Llandovery| Llandovery;E
Cenozoic| Paleocene| upper Paleocene| Paleogene| Tertiary;Thanetian;http://linkeddata.ge.imati.cnr.it/resource/ThIST/thanetiano;http://resource.geosciml.org/classifier/ics/ischart/Thanetian;Thanetian;Paleocene| Paleocene| Paleocene| Paleocene| Paleocene;E
Jurassic| Upper Jurassic| Malm| Mesozoic| Portlandian;Tithonian;http://linkeddata.ge.imati.cnr.it/resource/ThIST/titoniano;http://resource.geosciml.org/classifier/ics/ischart/Tithonian;Tithonian;Late/Upper Jurassic| Late/Upper Jurassic| Late/Upper Jurassic| Late/Upper Jurassic| Late/Upper Jurassic;E
Jurassic| Lower Jurassic| Liassic| upper Liassic| Mesozoic;Toarcian;http://linkeddata.ge.imati.cnr.it/resource/ThIST/toarciano;http://resource.geosciml.org/classifier/ics/ischart/Toarcian;Toarcian;Early/Lower Jurassic| Early/Lower Jurassic| Early/Lower Jurassic| Early/Lower Jurassic| Early/Lower Jurassic;E
Cenozoic| Miocene| upper Miocene| Neogene| Tertiary;Tortonian;http://linkeddata.ge.imati.cnr.it/resource/ThIST/tortoniano;http://resource.geosciml.org/classifier/ics/ischart/Tortonian;Tortonian;Miocene| Miocene| Miocene| Miocene| Miocene;E
Carboniferous| Lower Carboniferous| Dinantian| Mississippian| Paleozoic;Tournaisian;http://linkeddata.ge.imati.cnr.it/resource/ThIST/tournaisiano;http://resource.geosciml.org/classifier/ics/ischart/Tournaisian;Tournaisian;Lower Mississippian| Lower Mississippian| Lower Mississippian| Lower Mississippian| Lower Mississippian;E
Ordovician| Lower Ordovician| Paleozoic;Tremadocian;http://linkeddata.ge.imati.cnr.it/resource/ThIST/tremadoc;http://resource.geosciml.org/classifier/ics/ischart/Tremadocian;Tremadocian;Early/Lower Ordovician| Early/Lower Ordovician| Early/Lower Ordovician;E
Mesozoic;Triassic;http://linkeddata.ge.imati.cnr.it/resource/ThIST/triassico;http://resource.geosciml.org/classifier/ics/ischart/Triassic;Triassic;Mesozoic;E
Cretaceous| Upper Cretaceous| Mesozoic;Turonian;http://linkeddata.ge.imati.cnr.it/resource/ThIST/turoniano;http://resource.geosciml.org/classifier/ics/ischart/Turonian;Turonian;Late/Upper Cretaceous| Late/Upper Cretaceous| Late/Upper Cretaceous;E
Cretaceous| Lower Cretaceous| Mesozoic;Valanginian;http://linkeddata.ge.imati.cnr.it/resource/ThIST/valanginiano;http://resource.geosciml.org/classifier/ics/ischart/Valanginian;Valanginian;Lower Cretaceous| Lower Cretaceous| Lower Cretaceous;E
Carboniferous| Lower Carboniferous| Dinantian| Paleozoic;Visean;http://linkeddata.ge.imati.cnr.it/resource/ThIST/viseano;http://resource.geosciml.org/classifier/ics/ischart/Visean;Visean;Middle Mississippian| Middle Mississippian| Middle Mississippian| Middle Mississippian;E
Cenozoic| Eocene| lower Eocene| Paleogene| Tertiary;Ypresian;http://linkeddata.ge.imati.cnr.it/resource/ThIST/ypresiano;http://resource.geosciml.org/classifier/ics/ischart/Ypresian;Ypresian;Eocene| Eocene| Eocene| Eocene| Eocene;E
Neogene| Pliocene| lower Pliocene;Zanclean;http://linkeddata.ge.imati.cnr.it/resource/ThIST/zancleano;http://resource.geosciml.org/classifier/ics/ischart/Zanclean;Zanclean;Pliocene| Pliocene| Pliocene;E
