;s;o;KindOfLinkRevised;KindOfLink;sBT;sNT;sRT;sPrefLabel;sAltLabels;oPrefLabel;oAltLabels;oBT;oNT;oRT;RT_similaritySInW;RT_wmdistance;RT_Mwmdistance;RT_SMwmdistance;RT_nhammingSim;RT_MnhammingSim;RT_SMnhammingSim;BT_similaritySInW;BT_wmdistance;BT_Mwmdistance;BT_SMwmdistance;BT_nhammingSim;BT_MnhammingSim;BT_SMnhammingSim;PrefLabel_similaritySInW;PrefLabel_wmdistance;PrefLabel_Mwmdistance;PrefLabel_SMwmdistance;PrefLabel_nhammingSim;PrefLabel_MnhammingSim;PrefLabel_SMnhammingSim
1241;http://linkeddata.ge.imati.cnr.it/resource/ThIST/gigantismo;http://aims.fao.org/aos/agrovoc/c_3258;E;E;;;;;;Gigantism;;Growth disorders;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1242;http://linkeddata.ge.imati.cnr.it/resource/ThIST/glossario;http://aims.fao.org/aos/agrovoc/c_49851;E;E;;;monographs| publications| sedimentary petrology| stratigraphy| bibliography| paleontology| atlas| structural geology| lexicons| education| geology| textbooks| dictionaries| catalogs;glossaries;;glossary;glossaries;term list;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.4486108082;0.8173983483;0.8173983483;0.8173983483;0.7;0.7;0.7
1243;http://linkeddata.ge.imati.cnr.it/resource/ThIST/golfo;http://aims.fao.org/aos/agrovoc/c_50112;E;E;;;bays| shore features| coastlines| shorelines| fjords;gulf;;gulfs;gulf;Surface water;Gulf of Lion| Gulf of Oman| Golfo di Genova| Gulf of Venezuela| Gulf of Guinea| Gulf of Asinara| Gulf of Saint Lawrence| Gulf of Aden| Gulf of California| Gulf of San Matias| Gulf of Suez| Gulf of San Jorge| Gulf of Aqaba| Gulf of Alaska| Gulf of Moro| Gulf of Tehuantepec| Gulf of Saronikos| Gulf of Naples| Gulf of Paria| Gulf of Cadiz| Gulf of Bothnia| Gulf of Finland| Gulf of Thailand| Gulf of Mexico| Persian Gulf;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.3972605366;0.5738862985;0.5738862985;0.5738862985;0.8;0.8;0.8
1244;http://linkeddata.ge.imati.cnr.it/resource/ThIST/golfodellasinara;http://aims.fao.org/aos/agrovoc/c_50094;E;E;;;;;;Gulf of Asinara;;Mediterranean Sea| gulfs;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1245;http://linkeddata.ge.imati.cnr.it/resource/ThIST/golfodemexico;http://aims.fao.org/aos/agrovoc/c_3436;E;E;;;Caribbean Sea| United States of America| Mexico| Yucatan Peninsula| Tehuantepec Isthemus;Gulf of Mexico;;Gulf of Mexico;;Western Central Atlantic| gulfs;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.1624612557;0;2.7594558166;5.5189116332;1;1;2
1246;http://linkeddata.ge.imati.cnr.it/resource/ThIST/golfodigenova;http://aims.fao.org/aos/agrovoc/c_50097;E;E;;;;;;Golfo di Genova;Gulf of Genoa;Mediterranean Sea| gulfs;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1247;http://linkeddata.ge.imati.cnr.it/resource/ThIST/golfodinapoli;http://aims.fao.org/aos/agrovoc/c_50101;E;E;;;Procida Island| Capri Island| Ischia| Sorrento Peninsula;Bay of Naples;;Gulf of Naples;;Mediterranean Sea| gulfs;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5375746123;0.9220193487;2.8383776074;5.2618194671;0;1;1.1666666667
1248;http://linkeddata.ge.imati.cnr.it/resource/ThIST/grandine;http://aims.fao.org/aos/agrovoc/c_3469;E;E;;;atmospheric precipitation| meteorology;hail;;Hail;;Weather hazards| precipitation;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2.220446049250313e-16;1.087383848;0;0;0.75;1;1
1249;http://linkeddata.ge.imati.cnr.it/resource/ThIST/gravimetria;http://aims.fao.org/aos/agrovoc/c_16372;E;E;;;gravity profile| relief effects| gravimeters| solid-earth geophysics| gravity field;gravimetry;;Gravimetry;Gravimetric analysis;Measurement| Analytical methods;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2.220446049250313e-16;0.3843984279;0;0;0.9;1;1
1250;http://linkeddata.ge.imati.cnr.it/resource/ThIST/gryllotalpa;http://aims.fao.org/aos/agrovoc/c_3404;E;E;;;;;;Gryllotalpa;Mole crickets;Gryllotalpidae;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1251;http://linkeddata.ge.imati.cnr.it/resource/ThIST/guam;http://aims.fao.org/aos/agrovoc/c_3408;E;E;;;;;;Guam;;Oceania;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1252;http://linkeddata.ge.imati.cnr.it/resource/ThIST/guscio;http://aims.fao.org/aos/agrovoc/c_330976;E;E;;;dermal structures| frustules| Invertebrata| chitin| shells;tests;;tests;;methods;Skin tests| Paternity tests| Laying tests| liver function tests;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
