s;o;KindOfLink
http://linkeddata.ge.imati.cnr.it/resource/ThIST/analisiqualitativa;http://aims.fao.org/aos/agrovoc/c_35284;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/analisiquantitativa;http://aims.fao.org/aos/agrovoc/c_32660;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/analisispettrale;http://aims.fao.org/aos/agrovoc/c_28964;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/analisitermica;http://aims.fao.org/aos/agrovoc/c_7717;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/autoradiografia;http://aims.fao.org/aos/agrovoc/c_9006;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/colorimetria;http://aims.fao.org/aos/agrovoc/c_16368;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/cromatografia;http://aims.fao.org/aos/agrovoc/c_1594;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/polarografia;http://aims.fao.org/aos/agrovoc/c_26805;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/spettrofotometria;http://aims.fao.org/aos/agrovoc/c_14497;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/analisidiscriminante;http://aims.fao.org/aos/agrovoc/c_28859;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/analisidellacovarianza;http://aims.fao.org/aos/agrovoc/c_28833;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/analisidellavarianza;http://aims.fao.org/aos/agrovoc/c_28834;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/analisidicorrispondenza;http://aims.fao.org/aos/agrovoc/c_37345;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/analisifattoriale;http://aims.fao.org/aos/agrovoc/c_10729;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/maredigroenlandia;http://aims.fao.org/aos/agrovoc/c_3382;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/maredigroenlandia;http://aims.fao.org/aos/agrovoc/c_3382;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/maredikara;http://aims.fao.org/aos/agrovoc/c_4077;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/maredinorvegia;http://aims.fao.org/aos/agrovoc/c_5236;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/gronland;http://aims.fao.org/aos/agrovoc/c_3380;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/xilolo;http://aims.fao.org/aos/agrovoc/c_8472;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/mongoluls;http://aims.fao.org/aos/agrovoc/c_4908;C
http://linkeddata.ge.imati.cnr.it/resource/ThIST/desertodelgobi;http://aims.fao.org/aos/agrovoc/c_29753;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/fiumeindo;http://aims.fao.org/aos/agrovoc/c_49945;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/fiumeindo;http://aims.fao.org/aos/agrovoc/c_49945;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/kerala;http://aims.fao.org/aos/agrovoc/c_4087;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/mediooriente;http://aims.fao.org/aos/agrovoc/c_4817;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/srilanka;http://aims.fao.org/aos/agrovoc/c_7345;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/qatar;http://aims.fao.org/aos/agrovoc/c_6395;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/al-bahrayn;http://aims.fao.org/aos/agrovoc/c_780;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/alarabiyahassuudiyah;http://aims.fao.org/aos/agrovoc/c_6822;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/uman;http://aims.fao.org/aos/agrovoc/c_5345;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/alyaman;http://aims.fao.org/aos/agrovoc/c_8483;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/alimaratalarabiyahalmuttahidah;http://aims.fao.org/aos/agrovoc/c_8067;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/tibet;http://aims.fao.org/aos/agrovoc/c_7762;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/armenija;http://aims.fao.org/aos/agrovoc/c_8926;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/azerbajdzan;http://aims.fao.org/aos/agrovoc/c_9026;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/kyrgyzstan;http://aims.fao.org/aos/agrovoc/c_33243;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/ozbekiston;http://aims.fao.org/aos/agrovoc/c_15121;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/qazaqstan;http://aims.fao.org/aos/agrovoc/c_11952;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/tojikiston;http://aims.fao.org/aos/agrovoc/c_33246;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/turkmenistan;http://aims.fao.org/aos/agrovoc/c_15047;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/sakartvelo;http://aims.fao.org/aos/agrovoc/c_33250;N
http://linkeddata.ge.imati.cnr.it/resource/ThIST/rossiya;http://aims.fao.org/aos/agrovoc/c_33240;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/muangthai;http://aims.fao.org/aos/agrovoc/c_7701;C
http://linkeddata.ge.imati.cnr.it/resource/ThIST/borneo;http://aims.fao.org/aos/agrovoc/c_1017;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/chung-huamin-kuo;http://aims.fao.org/aos/agrovoc/c_7593;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/cina;http://aims.fao.org/aos/agrovoc/c_1556;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/indocina;http://aims.fao.org/aos/agrovoc/c_3838;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/indonesia;http://aims.fao.org/aos/agrovoc/c_3840;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/nihon;http://aims.fao.org/aos/agrovoc/c_4039;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/pilipinas;http://aims.fao.org/aos/agrovoc/c_5783;E
