,s,o,KindOfLink,sBT,sNT,sRT,sPrefLabel,sAltLabels,oPrefLabel,oDefinition,oAltLabels,oBT,oNT,oRT
238,http://linkeddata.ge.imati.cnr.it/resource/ThIST/duomo,http://dbpedia.org/resource/Category:Domes,C,folds,,volcanoes| uplifts| geomorphology| salt domes| batholiths| laccoliths| anticlines| morphostructures| diapirs| intrusions,domes,,Domes,,,Roofs| Buildings and structures by shape| Buildings and structures by type| Ceilings,,
239,http://linkeddata.ge.imati.cnr.it/resource/ThIST/duomo,http://dbpedia.org/resource/Category:Domes,E,folds,,volcanoes| uplifts| geomorphology| salt domes| batholiths| laccoliths| anticlines| morphostructures| diapirs| intrusions,domes,,Domes,,,Roofs| Buildings and structures by shape| Buildings and structures by type| Ceilings,,
240,http://linkeddata.ge.imati.cnr.it/resource/ThIST/diaclasi,http://dbpedia.org/resource/Category:Joints,E,fractures,,conjugate folds| cross fractures| stereographic projection| fissures| release fractures| bedding joints| structural analysis| oblique orientation| strike| linear orientation| columnar joints| cleats,joints,,Joints,,,Musculoskeletal system,,
241,http://linkeddata.ge.imati.cnr.it/resource/ThIST/geomagnetismo,http://dbpedia.org/resource/Category:Geomagnetism,E,geophysics,magnetic field,magnetic observation| magnetization| dynamos| isogons| paleomagnetism| magnetism| Earth,geomagnetism,,Geomagnetism,,,Geophysics| Magnetism| Structure of the Earth,,
242,http://linkeddata.ge.imati.cnr.it/resource/ThIST/terremoto,http://dbpedia.org/resource/Category:Earthquakes,E,geophysics,Molise earthquake 1805| Calabria earthquake 1783| Fucino earthquake 1915| induced earthquakes| microearthquakes| Casamicciola earthquake 1883| deep-focus earthquakes| Umbria-Marche earthquake 1997| Friuli earthquake 1976| shallow-focus earthquakes| intermediate-focus earthquakes| Napoli earthquake 1857| seismic hazard| volcanic earthquakes| Abruzzo earthquake 1984| Liguria earthquake 1887| Irpinia earthquake 1980| hystorical earthquake| Messina earthquake 1908,seismic energy| Richter Scale| isoseismic maps| seismic zoning| seismograms| magnitude| intraplate processes| faults| stick-slip| moonquakes| detection| focal mechanism| tiltmeters| vibration| damage| reservoirs| cratering| main shocks| surface waves| applied geology| focus| clinometers| foundations| ground motion| arrival time| aftershocks| seismic intensity| mantle| explosions| paleoseismicity| epicenters| plate tectonics| seismic gaps| elastic waves| geologic hazards| radon emanometry| b-values| swarms| earthquake prediction| Q| rock mechanics| dilatancy| fluid injection| Mohorovicic discontinuity| icequakes| acoustical emissions| quiescence| microseisms| teleseismic signals| GEOS| soil mechanics| seismic moment| seismic response| seismic sources| slope stability| seismographs| stress drops| crust| modified Mercalli scale| effects| foreshocks| seismic migration| accelerograms| microzonation| marsquakes| periodicity| seismology| nuclear facilities| magnitude-frequency ratio,earthquakes,,Earthquakes,,,Geological hazards| Natural disasters| Seismology| Risk management,,Seismology
243,http://linkeddata.ge.imati.cnr.it/resource/ThIST/autostrada,http://dbpedia.org/resource/Category:Highways,E,geotechnics,,geomembranes| geotextiles| soils| railroads| land subsidence| embankments| planning| applied geology| construction| foundations| bridges| road tests| rock mechanics| site exploration| feasibility studies| soil mechanics| reinforced materials| seismic response| slope stability| engineering properties| tunnels,highways,,Highways,,,Roads by type| Road infrastructure,,
244,http://linkeddata.ge.imati.cnr.it/resource/ThIST/nasa,http://dbpedia.org/resource/Category:NASA,E,government agencies,,space programs,NASA,,NASA,,,"Webby Award winners| 1958 establishments in Washington, D.C.| Independent agencies of the United States government| Wikipedia categories named after government agencies| Wikipedia categories named after scientific organizations| Organizations based in Washington, D.C.| Wikipedia categories named after organizations based in the United States| Government agencies established in 1958| Aerospace agencies| Government of the United States| Space program of the United States| Aerospace| Space agencies",,
245,http://linkeddata.ge.imati.cnr.it/resource/ThIST/bromuri,http://dbpedia.org/resource/Category:Bromides,E,halides,,bromide ion,bromides,,Bromides,,,Halides| Salts| Bromine compounds,,Metal halides| Nonmetal halides
246,http://linkeddata.ge.imati.cnr.it/resource/ThIST/fluoruri,http://dbpedia.org/resource/Category:Fluorides,E,halides,weberite| thomsenolite| lepidolite| fluorite| ralstonite| cryolite| topaz| fluocerite| sellaite| pachnolite| clinohumite| pyrochlore| villiaumite,fluoride ion,fluorides,,Fluorides,,,Halides| Salts| Fluorine compounds,,
247,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ioduri,http://dbpedia.org/resource/Category:Iodides,E,halides,,,iodides,,Iodides,,,Iodine compounds| Halides,,Metal halides| Nonmetal halides
248,http://linkeddata.ge.imati.cnr.it/resource/ThIST/fluorite,http://dbpedia.org/resource/Category:Fluorite,E,halides| fluorides,,fluorspar,fluorite,,Fluorite,,,Gemstones| Minerals,,
249,http://linkeddata.ge.imati.cnr.it/resource/ThIST/astato,http://dbpedia.org/resource/Category:Astatine,E,halogens,,,astatine,,Astatine,,,Halogens| Metalloids| Chemical elements| Wikipedia categories named after chemical elements,,
250,http://linkeddata.ge.imati.cnr.it/resource/ThIST/bromo,http://dbpedia.org/resource/Category:Bromine,E,halogens,,bromide ion| brines| salt| bromine deposits,bromine,,Bromine,,,Diatomic nonmetals| Halogens| Chemical elements| Wikipedia categories named after chemical elements,,
251,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cloro,http://dbpedia.org/resource/Category:Chlorine,E,halogens,Cl-36| Cl-37/Cl-35,salt,chlorine,,Chlorine,,,Diatomic nonmetals| Halogens| Chemical elements| Wikipedia categories named after chemical elements,,
252,http://linkeddata.ge.imati.cnr.it/resource/ThIST/iodio,http://dbpedia.org/resource/Category:Iodine,E,halogens,I-131| I-129,I/Xe| brines| iodine deposits,iodine,,Iodine,,,Diatomic nonmetals| Halogens| Staining dyes| Antiseptics| Chemical elements| Wikipedia categories named after chemical elements,,
253,http://linkeddata.ge.imati.cnr.it/resource/ThIST/batolite,http://dbpedia.org/resource/Category:Batholiths,E,intrusions,,lopoliths| stocks| dikes| plutons| igneous rocks| laccoliths| domes,batholiths,,Batholiths,,,Intrusions,,
254,http://linkeddata.ge.imati.cnr.it/resource/ThIST/diatrema,http://dbpedia.org/resource/Category:Diatremes,E,intrusions,,volcanic necks| pipes| breccia pipes| volcanic features,diatremes,,Diatremes,,,Intrusions| Volcanoes,,
255,http://linkeddata.ge.imati.cnr.it/resource/ThIST/dicco,http://dbpedia.org/resource/Category:Dikes,E,intrusions,ring dikes,cauldrons| dike swarms| veins| ring structures| batholiths| igneous rocks| clastic dikes| laccoliths| sills| ring complexes,dikes,,Dikes,,,Artificial landforms| Coastal construction| Infrastructure| Geotechnical engineering| Flood control,,
256,http://linkeddata.ge.imati.cnr.it/resource/ThIST/arthropoda,http://dbpedia.org/resource/Category:Arthropoda,E,Invertebrata,Cavellinidae| Ophiomorpha| Palaeodictyopteroida| Trilobitomorpha| Lepidopteroida| Trilobita| Bairdia| Cytherocopina| Proetidae| Beyrichicopina| Candona| Dipteri| Coleopteroida| Cytherellidae| Cryptolithus| Trilobitoidea| Entotropha| Bairdiidae| Agnostida| Xiphosura| Psocopteroida| Odonata| Heteroptera| Dermapteroida| Raphidiodea| Arachnida| Cirripedia| Ptychopariida| Thysanopteroida| Entomozocopina| Cytheracea| Protorthoptera| Leperditicopida| Paleocopida| Eurypterida| Mecopteroida| Ophiomorpha nodosa| Plecoptera| Kirkbyocopina| Brachyura| Bairdiomorpha| Loxoconcha| Odontopleurida| Hymenoptera| Darwinula| Chelicerata| Myodocopina| Asaphidae| Trachyleberididae| Mandibulata| Ephemeropteroida| Siphonapteroida| Coleoptera| Lepidoptera| Ostracoda| Neuropteroida| Redlichiida| Dechenellidae| Insecta| Phacopina| Malacostraca| Orthopteroida| Myriapoda| Archostemata| Callianassa| Hymenopteroida| Eridostraca| Leptocythere| Branchiopoda| Bairdiacea| Cytherelloidea| Blattopteroida| Lichida| Cypridocopina| Olenidae| Podocopida| Healdiidae| Cytherella| Platycopida| Archeocopida| Kirkbyocopida| Crustacea| Merostomata| Hemipteroida| Cytheridae| Corynexochida| Odonatopteroida| Scutelluidae| Ectotropha| Phacops| Cladocopina| Cyprididae| Copepoda| Phacopida,,Arthropoda,,Arthropoda,,,,,
257,http://linkeddata.ge.imati.cnr.it/resource/ThIST/echinodermata,http://dbpedia.org/resource/Category:Echinodermata,E,Invertebrata,Blastoidea| Cyclocystoidea| Homalozoa| Homostelea| Echinoidea| Edrioasteroidea| Holothuroidea| Crinozoa| Asteroidea| Stelleroidea| Helicoplacoidea| Stylophora| Ophiocistioidea| Parablastoidea| Echinozoa| Asterozoa| Homoiostelea| Ophiuroidea| Paracrinoidea| Lepidocystoidea| Machaeridia| Delocrinus| Somasteroidea| Camptostromatoidea| Cystoidea| Edrioblastoidea| Eocrinoidea| Crinoidea| Inadunata,Receptaculitaceae| reef builders| sclerites,Echinodermata,,Echinodermata,,,,,
258,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ceratitida,http://dbpedia.org/resource/Category:Ceratitida,E,Mollusca| Tetrabranchiata| Cephalopoda| Ammonoidea| Invertebrata,Ceratitidae| Ceratites,,Ceratitida,,Ceratitida,,,Ammonites by classification,,
259,http://linkeddata.ge.imati.cnr.it/resource/ThIST/goniatitida,http://dbpedia.org/resource/Category:Goniatitida,E,Mollusca| Tetrabranchiata| Cephalopoda| Ammonoidea| Invertebrata,Goniatites| Goniatitidae,,Goniatitida,,Goniatitida,,,Ammonites by classification,,
260,http://linkeddata.ge.imati.cnr.it/resource/ThIST/actiniaria,http://dbpedia.org/resource/Category:Actiniaria,E,Zoantharia| Coelenterata| Invertebrata| Anthozoa,,,Actiniaria,,Actiniaria,,,Hexacorallia,,
261,http://linkeddata.ge.imati.cnr.it/resource/ThIST/scleractinia,http://dbpedia.org/resource/Category:Scleractinia,E,Zoantharia| Coelenterata| Invertebrata| Anthozoa,Acropora palmata| Montastrea| Porites| Acropora cervicornis,madreporic limestone| biogenesis| Tabulata| Rugosa,Scleractinia,,Scleractinia,,,Hexacorallia,,
262,http://linkeddata.ge.imati.cnr.it/resource/ThIST/arachnida,http://dbpedia.org/resource/Category:Arachnida,E,Arthropoda| Invertebrata| Chelicerata,,,Arachnida,,Arachnida,,,,,
263,http://linkeddata.ge.imati.cnr.it/resource/ThIST/conchostraca,http://dbpedia.org/resource/Category:Branchiopoda,E,Arthropoda| Invertebrata| Mandibulata| Crustacea,,,Branchiopoda,,Branchiopoda,,,Crustaceans,,
264,http://linkeddata.ge.imati.cnr.it/resource/ThIST/hymenoptera,http://dbpedia.org/resource/Category:Hymenoptera,E,Arthropoda| Invertebrata| Mandibulata| Insecta| Hymenopteroida,,Raphidiodea,Hymenoptera,,Hymenoptera,,,Insects by classification,,Wasps
265,http://linkeddata.ge.imati.cnr.it/resource/ThIST/lepidoptera,http://dbpedia.org/resource/Category:Lepidoptera,E,Lepidopteroida| Arthropoda| Invertebrata| Mandibulata| Insecta,,Raphidiodea,Lepidoptera,,Lepidoptera,,,Insects by classification,,
266,http://linkeddata.ge.imati.cnr.it/resource/ThIST/plecoptera,http://dbpedia.org/resource/Category:Plecoptera,E,Arthropoda| Invertebrata| Mandibulata| Insecta,,,Plecoptera,,Plecoptera,,,Insects by classification,,
267,http://linkeddata.ge.imati.cnr.it/resource/ThIST/odonata,http://dbpedia.org/resource/Category:Odonata,E,Arthropoda| Invertebrata| Mandibulata| Insecta| Odonatopteroida,,,Odonata,,Odonata,,,Insects by classification| Predators,,
268,http://linkeddata.ge.imati.cnr.it/resource/ThIST/agnostida,http://dbpedia.org/resource/Category:Agnostida,E,Trilobitomorpha| Trilobita| Arthropoda| Invertebrata,,,Agnostida,,Agnostida,,,Trilobite taxonomy,,
269,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cardiidae,http://dbpedia.org/resource/Category:Cardiidae,E,Mollusca| Invertebrata| Bivalvia,Cardium,,Cardiidae,,Cardiidae,,,Bivalve families,,
270,http://linkeddata.ge.imati.cnr.it/resource/ThIST/anthozoa,http://dbpedia.org/resource/Category:Anthozoa,E,Coelenterata| Invertebrata,Heliotitidae| Corallimorpharia| Favosites| Zoantharia| Chaetetidae| Palaeofavosites| Acropora palmata| Favositidae| Montastrea| Zoanthiniaria| Ceriantipatharia| Octocorallia| Heterocorallia| Scleractinia| Porites| Heliolites| Hexactiniaria| Actiniaria| Tabulata| Acropora cervicornis| Rugosa,spicules,Anthozoa,,Anthozoa,,,Cnidarians,,
271,http://linkeddata.ge.imati.cnr.it/resource/ThIST/hydrozoa,http://dbpedia.org/resource/Category:Hydrozoa,E,Coelenterata| Invertebrata,,,Hydrozoa,,Hydrozoa,,,Cnidarians,,
272,http://linkeddata.ge.imati.cnr.it/resource/ThIST/scyphozoa,http://dbpedia.org/resource/Category:Scyphozoa,E,Coelenterata| Invertebrata,Conularida,,Scyphozoa,,Scyphozoa,,,Cnidarians,,
273,http://linkeddata.ge.imati.cnr.it/resource/ThIST/crinoidea,http://dbpedia.org/resource/Category:Crinoidea,E,Echinodermata| Crinozoa| Invertebrata,Delocrinus| Inadunata,,Crinoidea,,Crinoidea,,,Crinozoa,,
274,http://linkeddata.ge.imati.cnr.it/resource/ThIST/paracrinoidea,http://dbpedia.org/resource/Category:Paracrinoidea,E,Echinodermata| Crinozoa| Invertebrata,,,Paracrinoidea,,Paracrinoidea,,,Crinozoa,,
275,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cerithiidae,http://dbpedia.org/resource/Category:Cerithiidae,E,Mollusca| Invertebrata| Mesogastropoda| Gastropoda,Cerithium,,Cerithiidae,,Cerithiidae,,,Gastropod families| Sorbeoconcha,,
276,http://linkeddata.ge.imati.cnr.it/resource/ThIST/protista,http://dbpedia.org/resource/Category:Protista,E,Invertebrata| microfossils,Nodosaria| Globotruncanidae| Allogromiina| Archaediscidae| Globigerinoides trilobus| Globigerinoides| Orbitolina| Globorotalia inflata| Bulimina| Rotaliacea| Calpionella| Uvigerinidae| Nephrolepidina| Rhizopodea| Nassellina| Carterinacea| Osculosida| Hantkenina| Miliolidae| Trochammina| Fusulinina| Hantkenidae| Globorotaliidae| Discocyclina| Bolivinitidae| Globigerinoides ruber| Orbitoidacea| Globigerinidae| Radiolaria| Bolivina| Cassidulinacea| Haplophragmoides| Nummulitidae| Triticites| Bolivinoides| Orbitoididae| Spirillinacea| Rotalipora| Distephanus| Sphaeroidinella dehiscens| Spumellina| Uvigerina| Alveolinidae| Calpionellites| Globigerina| Globorotalia menardii| Hedbergella| Miogypsinidae| Rotaliina| Textulariina| Asterocyclina| Thecamoeba| Globigerinacea| Ammodiscacea| Cibicides| Ataxophragmiidae| Endothyra| Dictyocha| Heterostegina depressa| Ammobaculites| Robertinacea| Globorotalia truncatulinoides| Heterostegina| Nodosariidae| Alveolinellidae| Stomiosphaera| Orbulina universa| Amphistegina| Globigerina bulloides| Lituolidae| Phaeodarina| Tintinnidae| Schwagerina| foraminifera| Globigerina pachyderma| ebridians| Anomalinidae| Quinqueloculina| Calpionellidae| Triticites ventricosus| Nodosariacea| Orbulina| Silicoflagellata| Gabonella| Globigerinoides sacculifer| Lituolacea| Foraminiferida| Archaeomonadaceae| Lagenidae| Neogloboquadrina pachyderma| Heterohelicidae| Fusulinidae| Discorbacea| Alveolina| Orbitolinidae| Globocassidulina subglobosa| Operculina| Globorotalia pachyderma| Nummulites| Lenticulina| Globorotalia| Lepidocyclina| Acantharina| Astrorhizidae| Porulosida| Elphidium| Globotruncana| Rotalia| Miogypsina| Ammodiscidae| Miliolacea| Miliolina| Buliminacea| Ophthalmidium,zooxanthellae| plankton| microorganisms| algae| bacteria| Metazoa,Protista,,Protista,,,Microbiology| Microorganisms| Eukaryotes| Antonie van Leeuwenhoek,,
277,http://linkeddata.ge.imati.cnr.it/resource/ThIST/foraminifera,http://dbpedia.org/resource/Category:Foraminifera,E,Protista| Invertebrata| microfossils,Nodosaria| Globotruncanidae| Allogromiina| Archaediscidae| Globigerinoides trilobus| Globigerinoides| Orbitolina| Globorotalia inflata| Bulimina| Rotaliacea| Uvigerinidae| Nephrolepidina| Carterinacea| Hantkenina| Miliolidae| Trochammina| Fusulinina| Hantkenidae| Globorotaliidae| Discocyclina| Bolivinitidae| Globigerinoides ruber| Orbitoidacea| Globigerinidae| Bolivina| Cassidulinacea| Haplophragmoides| Nummulitidae| Triticites| Bolivinoides| Orbitoididae| Spirillinacea| Rotalipora| Sphaeroidinella dehiscens| Uvigerina| Alveolinidae| Globigerina| Globorotalia menardii| Hedbergella| Miogypsinidae| Rotaliina| Textulariina| Asterocyclina| Globigerinacea| Ammodiscacea| Cibicides| Ataxophragmiidae| Endothyra| Heterostegina depressa| Ammobaculites| Robertinacea| Globorotalia truncatulinoides| Heterostegina| Nodosariidae| Alveolinellidae| Orbulina universa| Amphistegina| Globigerina bulloides| Lituolidae| Schwagerina| Globigerina pachyderma| Anomalinidae| Quinqueloculina| Triticites ventricosus| Nodosariacea| Orbulina| Gabonella| Globigerinoides sacculifer| Lituolacea| Lagenidae| Neogloboquadrina pachyderma| Heterohelicidae| Fusulinidae| Discorbacea| Alveolina| Orbitolinidae| Globocassidulina subglobosa| Operculina| Globorotalia pachyderma| Nummulites| Lenticulina| Globorotalia| Lepidocyclina| Astrorhizidae| Elphidium| Globotruncana| Rotalia| Miogypsina| Ammodiscidae| Miliolacea| Miliolina| Buliminacea| Ophthalmidium,plankton| Receptaculitaceae| ooze| micropaleontology| Foraminiferida| planktonic taxa,foraminifera,,Foraminifera,,,Amoeboids| Rhizaria,,
278,http://linkeddata.ge.imati.cnr.it/resource/ThIST/distephanus,http://dbpedia.org/resource/Category:Distephanus,E,Protista| Invertebrata| microfossils| Silicoflagellata,,,Distephanus,,Distephanus,,,Vernonieae,,
279,http://linkeddata.ge.imati.cnr.it/resource/ThIST/chaetognatha,http://dbpedia.org/resource/Category:Chaetognatha,E,worms| Invertebrata,,,Chaetognatha,,Chaetognatha,,,Invertebrate taxonomy,,
280,http://linkeddata.ge.imati.cnr.it/resource/ThIST/nematomorpha,http://dbpedia.org/resource/Category:Nematomorpha,E,worms| Invertebrata,,,Nematomorpha,,Nematomorpha,,,Nematoida,,
281,http://linkeddata.ge.imati.cnr.it/resource/ThIST/priapulida,http://dbpedia.org/resource/Category:Priapulida,E,worms| Invertebrata,,,Priapulida,,Priapulida,,,Protostomes,,
282,http://linkeddata.ge.imati.cnr.it/resource/ThIST/amman,http://dbpedia.org/resource/Category:Amman,E,Jordan,,,Amman,,Amman,,,Decapolis| Populated places in the Amman Governorate| Wikipedia categories named after populated places in Jordan| Capitals in Asia| Wikipedia categories named after capitals,,
283,http://linkeddata.ge.imati.cnr.it/resource/ThIST/astana,http://dbpedia.org/resource/Category:Astana,E,Kazakhstan,,,Astana,,Astana,,,Cities and towns in Kazakhstan| Populated places in Kazakhstan| Regions of Kazakhstan| Capitals in Asia| Wikipedia categories named after capitals,,
284,http://linkeddata.ge.imati.cnr.it/resource/ThIST/lago,http://dbpedia.org/resource/Category:Lakes,E,lacustrine features| Cosenza Italy,glacial lakes| crater lakes| extinct lakes| meromictic lakes| karstic lake,spillways| lacustrine basin| wave motion| periglacial features| reservoirs| glacial features| ponds| hydrometers| paleoecology| fluviolacustrine environment| surface water| hydrology| limnology| water balance| hydrogen sulfide| sedimentation| tidewater glaciers| lacustrine environment| seiches| eutrophication| lagoons| geomorphology| lake sediments| salt lakes| water resources| glaciolacustrine environment| drainage| lacustrine deposit| hydrosphere| ecology| thermocline| water supply,lakes,,Lakes,,,Limnology| Fluvial landforms| Hydrology| Bodies of water,,Reservoirs
285,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cuba,http://dbpedia.org/resource/Category:Cuba,E,Caribbean region| Latin America| Greater Antilles| Central America| Antilles,Santa Clara Cuba| Santiago de Cuba| La Habana Cuba,Caribbean Sea| Sierra Maestra,Cuba,,Cuba,,,Island countries| Wikipedia categories named after islands| Countries in the Caribbean| Countries in North America| Former regions and territories of the United States| Communist states| Latin American countries| Wikipedia categories named after countries| Republics| Greater Antilles,,
286,http://linkeddata.ge.imati.cnr.it/resource/ThIST/guatemala,http://dbpedia.org/resource/Category:Guatemala,E,Latin America| Guatemala| Guatemala City Guatemala| Central America,Guatemala| Guatemala City Guatemala,Peten| Rio Usumacinta| Yucatan Peninsula,Guatemala,,Guatemala,,,Countries in North America| Wikipedia categories named after countries| Republics| Countries in Central America,,
287,http://linkeddata.ge.imati.cnr.it/resource/ThIST/guatemala,http://dbpedia.org/resource/Category:Guatemala,E,Latin America| Guatemala| Guatemala City Guatemala| Central America,Guatemala| Guatemala City Guatemala,Peten| Rio Usumacinta| Yucatan Peninsula,Guatemala City Guatemala,,Guatemala,,,Countries in North America| Wikipedia categories named after countries| Republics| Countries in Central America,,
288,http://linkeddata.ge.imati.cnr.it/resource/ThIST/panama,http://dbpedia.org/resource/Category:Panama,E,Latin America| Panama| Panama City Panama| Central America,Panama Canal Zone| Panama| Panama City Panama,,Panama,,Panama,,,Spanish-speaking countries and territories| Countries in North America| Wikipedia categories named after countries| Republics| Countries in Central America,,
289,http://linkeddata.ge.imati.cnr.it/resource/ThIST/panama,http://dbpedia.org/resource/Category:Panama,E,Latin America| Panama| Panama City Panama| Central America,Panama Canal Zone| Panama| Panama City Panama,,Panama City Panama,,Panama,,,Spanish-speaking countries and territories| Countries in North America| Wikipedia categories named after countries| Republics| Countries in Central America,,
290,http://linkeddata.ge.imati.cnr.it/resource/ThIST/chile,http://dbpedia.org/resource/Category:Chile,E,South America| Latin America,Patagonia| Strait of Magellan,Atacama Desert| Andes| Patagonian Andes| Patagonia| Tierra del Fuego,Chile,,Chile,,,Spanish-speaking countries and territories| Countries in South America| Wikipedia categories named after countries| States and territories established in 1818| Republics,,
291,http://linkeddata.ge.imati.cnr.it/resource/ThIST/colombia,http://dbpedia.org/resource/Category:Colombia,E,South America| Latin America,Magdalena River| Bogota Colombia,Orinoco River| Andes| Orinoco River Basin| Amazon River Basin| Magdalena River Basin,Colombia,,Colombia,,,Spanish-speaking countries and territories| Andean Community| Countries in South America| Wikipedia categories named after countries| Republics,,
292,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ecuador,http://dbpedia.org/resource/Category:Ecuador,E,South America| Latin America,Galapagos Islands| Quito Ecuador,Andes| Amazon River Basin,Ecuador,,Ecuador,,,Spanish-speaking countries and territories| Andean Community| Countries in South America| Wikipedia categories named after countries| Republics,,
293,http://linkeddata.ge.imati.cnr.it/resource/ThIST/paraguay,http://dbpedia.org/resource/Category:Paraguay,E,South America| Latin America,Asunción Paraguay,ParanÓ River| Gran Chaco| Paraguay River| ParanÓ River Basin,Paraguay,,Paraguay,,,Spanish-speaking countries and territories| Landlocked countries| Countries in South America| Wikipedia categories named after countries| Republics,,
294,http://linkeddata.ge.imati.cnr.it/resource/ThIST/uruguay,http://dbpedia.org/resource/Category:Uruguay,E,South America| Latin America,Montevideo Uruguay,Rio Uruguay| Rio de la Plata| Uruguay River Basin,Uruguay,,Uruguay,,,Spanish-speaking countries and territories| Countries in South America| Wikipedia categories named after countries,,
295,http://linkeddata.ge.imati.cnr.it/resource/ThIST/venezuela,http://dbpedia.org/resource/Category:Venezuela,E,South America| Latin America,Venezuelan Andes| Caracas,Orinoco River| Andes| Orinoco River Basin| Amazon River Basin| Guayanas Massif,Venezuela,,Venezuela,,,Spanish-speaking countries and territories| Countries in South America| Wikipedia categories named after countries,,
296,http://linkeddata.ge.imati.cnr.it/resource/ThIST/vilnius,http://dbpedia.org/resource/Category:Vilnius,E,Lithuania,,,Vilnius,,Vilnius,,,Capitals of Lithuanian counties| Cities in Lithuania| Cities in Vilnius County| Capitals in Europe| Vilnius City Municipality| Wikipedia categories named after capitals,,
297,http://linkeddata.ge.imati.cnr.it/resource/ThIST/skopje,http://dbpedia.org/resource/Category:Skopje,E,Macedonia,,,Skopje,,Skopje,,,Cities in the Republic of Macedonia| Skopje Statistical Region| Capitals in Europe| Wikipedia categories named after capitals,,
298,http://linkeddata.ge.imati.cnr.it/resource/ThIST/antananarivo,http://dbpedia.org/resource/Category:Antananarivo,E,Madagascar,,,Antananarivo,,Antananarivo,,,Cities in Madagascar| Capitals in Africa| Populated places in Madagascar| Wikipedia categories named after capitals,,
299,http://linkeddata.ge.imati.cnr.it/resource/ThIST/lilongwe,http://dbpedia.org/resource/Category:Lilongwe,E,Malawi,,,Lilongwe,,Lilongwe,,,"Capitals in Africa| Populated places in Malawi| Wikipedia categories named after capitals| Central Region, Malawi",,
300,http://linkeddata.ge.imati.cnr.it/resource/ThIST/valletta,http://dbpedia.org/resource/Category:Valletta,E,Malta,,,Valletta,,Valletta,,,World Heritage Sites in Malta| Fortified settlements| Local councils of Malta| Towns in Malta| Capitals in Europe| Wikipedia categories named after capitals,,
301,http://linkeddata.ge.imati.cnr.it/resource/ThIST/pilone,http://dbpedia.org/resource/Category:Piers,E,marine installations,,,piers,,Piers,,,Transport buildings and structures| Coastal construction| Water transport| Water transport infrastructure,,Piers by country
302,http://linkeddata.ge.imati.cnr.it/resource/ThIST/fort-de-france,http://dbpedia.org/resource/Category:Martinique,E,Martinique,,,Martinique,,Martinique,,,Outermost regions of the European Union| Departments of France| Island countries| Regions of France| Caribbean territories or dependencies| Wikipedia categories named after islands| Windward Islands| Wikipedia categories named after former countries| Islands of France| French North America| Overseas departments of France,,
303,http://linkeddata.ge.imati.cnr.it/resource/ThIST/martinique,http://dbpedia.org/resource/Category:Martinique,E,Caribbean region| Lesser Antilles| France| Central America| Antilles| West Indies,Martinique| Mount Pelee,Caribbean Sea,Martinique,,Martinique,,,Outermost regions of the European Union| Departments of France| Island countries| Regions of France| Caribbean territories or dependencies| Wikipedia categories named after islands| Windward Islands| Wikipedia categories named after former countries| Islands of France| French North America| Overseas departments of France,,
304,http://linkeddata.ge.imati.cnr.it/resource/ThIST/frana,http://dbpedia.org/resource/Category:Landslides,E,mass movements,rockfalls| earthflows| paleolandslide| Vajont landslide,rockslides| soil erosion| slumping| engineering geology| retaining walls| soils| sackung| erosion| avalanches| mudflows| applied geology| roof bolts| debris flows| mudslides| slope| slopes| disarray| gravity sliding| gravity flows| geomorphology| geologic hazards| deep gravity deformation| creep| stability monitoring| debris cones| talus slopes| slope stability,landslides,,Landslides,,,Geological hazards| Natural disasters,,
305,http://linkeddata.ge.imati.cnr.it/resource/ThIST/nouakchott,http://dbpedia.org/resource/Category:Nouakchott,E,Mauritania,,,Nouakchott,,Nouakchott,,,Populated places in Mauritania| Capitals in Africa| Regions of Mauritania| Wikipedia categories named after capitals,,
306,http://linkeddata.ge.imati.cnr.it/resource/ThIST/isoladirodi,http://dbpedia.org/resource/Category:Rhodes,E,Mediterranean region| Europe| Europa Island| Dodecanese| Southern Europe| Greek Aegean Islands,,,Rhodes,,Rhodes,,,Mediterranean islands| Municipalities of the South Aegean| Dodecanese| Islands of the South Aegean| Wikipedia categories named after islands| Tourism in Greece| Former Italian colonies| Landforms of Rhodes (regional unit)| Dorian colonies| Mediterranean port cities and towns in Greece,,Rhodes (city)
307,http://linkeddata.ge.imati.cnr.it/resource/ThIST/isoladicreta,http://dbpedia.org/resource/Category:Crete,E,Mediterranean region| Europe| Europa Island| Southern Europe| Greece,,Mediterranean Sea| Hellenides,Crete,,Crete,,,Mediterranean islands| Wikipedia categories named after islands| Islands of Greece| Archipelagoes of the Mediterranean Sea| Traditional geographic divisions of Greece| Administrative regions of Greece| Aegean islands,,
308,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cicladi,http://dbpedia.org/resource/Category:Cyclades,E,Mediterranean region| Europe| Europa Island| Southern Europe| Greece| Greek Aegean Islands,Thera,,Cyclades,,Cyclades,,,Landforms of the South Aegean| Wikipedia categories named after islands| Prefectures of Greece| Archipelagoes of the Mediterranean Sea| Archipelagoes of Greece| Traditional geographic divisions of Greece| Aegean islands,,
